grid_ms,mass_pre,mass_post
0.0,0.0,0.0
10.0,0.6461842339232376,0.5966475790954254
20.0,0.02051963785587728,0.011822311507330046
30.0,0.004099436426459358,0.0015612217298356797
40.0,0.0014332072583713778,0.00020026437862604834
50.0,0.00016764194927353413,3.669261545154421e-05
60.0,4.4944338151977064e-05,3.271878233036247e-05
70.0,2.2831614488831803e-05,1.4715818403618599e-05
80.0,1.1006159046096969e-05,5.1138037048114855e-06
90.0,9.570746378465804e-06,2.548834542097869e-06
100.0,5.323808046261609e-06,1.0839212230797227e-06
110.0,8.181795360240547e-06,7.185395866804421e-07
120.0,4.074599676019714e-06,8.745665298833089e-07
130.0,2.730932640330587e-06,7.294031589739863e-07
140.0,1.6977419533869156e-06,1.0585541485554213e-06
150.0,7.903172033141777e-07,8.868783756513345e-07
160.0,2.5747932083667746e-07,8.009601668733951e-07
170.0,7.381741973388385e-08,5.36342190940799e-07
180.0,3.776966214941974e-08,4.283005301574042e-07
190.0,7.251954630035314e-08,3.96080841348639e-07
200.0,5.272275146930146e-08,3.1113100513019177e-07
210.0,3.06313044370849e-08,6.093363400206285e-07
220.0,4.811224926204671e-08,6.675861796231491e-07
230.0,6.306466436282634e-08,5.876132234205975e-07
240.0,1.3928002985380446e-07,1.3027846266680072e-06
250.0,1.0345909828153328e-07,1.25933785207925e-06
260.0,2.3872462304426536e-07,2.521212341164933e-06
270.0,3.70238048340594e-07,3.1691504261062997e-06
280.0,5.02597036372112e-07,5.414633142422426e-06
290.0,5.406524911229636e-07,8.523567757384609e-06
300.0,2.8502044045218896e-07,1.1097967494640618e-05
310.0,1.545655511963682e-07,1.104154754236623e-05
320.0,1.7078660244788169e-07,1.7588614999367687e-05
330.0,1.5320499379438495e-07,2.619495232443849e-05
340.0,1.3207200676986932e-07,4.5197497001562844e-05
350.0,1.2547024837750651e-07,6.620858789831059e-05
360.0,8.703192567706695e-08,8.364605264133296e-05
370.0,1.6108694436661595e-07,0.00012737510878917037
380.0,1.5025009304547575e-07,9.214140848953248e-05
390.0,8.048243406922601e-08,0.0001640914037780441
400.0,1.6614687716521567e-07,0.0002546802812853097
410.0,4.028816220592983e-07,0.0003961398543414939
420.0,8.423424102250132e-07,0.001199701138123036
430.0,8.504757318096793e-07,0.0034943958037375717
440.0,1.2585358196295781e-06,0.004554211503177452
450.0,1.2731395092504007e-06,0.03159688886123971
460.0,1.5816301941289524e-06,0.1366074306023751
470.0,1.6873647798660899e-06,0.020448285842309805
480.0,3.483170277637291e-06,0.0057642258023348865
490.0,2.4395262255804232e-06,0.0024235195753967292
500.0,3.3672658825762078e-06,0.0009785247592237936
510.0,6.31362962141543e-06,0.0003497429617644873
520.0,1.3562013149005202e-05,0.00024806924750486845
530.0,9.888736229691433e-06,0.0002769601598622405
540.0,2.1503718888166976e-05,9.541377902323418e-05
550.0,2.027258360255044e-05,0.00013643688039751252
560.0,3.47271183940833e-05,9.756109282306573e-05
570.0,3.7173039358958914e-05,1.0635531249359276e-05
580.0,4.067771431464203e-05,6.72846547690451e-06
590.0,7.746086441313178e-05,4.504687088904215e-06
600.0,7.15478397073017e-05,5.807722535771111e-06
610.0,0.00011477651944192093,7.962844096606596e-06
620.0,0.00015171501653986794,9.129375988974364e-06
630.0,0.0001844126538174138,6.602673070051949e-06
640.0,0.00019132523093505068,3.0491671204508647e-06
650.0,0.0002653881745567874,2.4254638161541197e-06
660.0,0.0002618304583615027,4.849151653320901e-06
670.0,0.0005769214589378662,1.0725017328073492e-05
680.0,0.0004639598628719347,1.0546655262491115e-05
690.0,0.0007230508768920006,6.1370005832420904e-06
700.0,0.0013903604270288873,4.88875028561147e-06
710.0,0.002480769097442002,4.271895968058036e-06
720.0,0.0027783126432554665,2.9514424293831823e-06
730.0,0.005287262385803148,5.192308827249033e-06
740.0,0.013340686295483791,3.2472687740182695e-06
750.0,0.04379219797232827,2.5945727892716477e-06
760.0,0.0916599653319016,4.361410346587815e-06
770.0,0.022277130745656803,6.783703568853453e-06
780.0,0.006279608039977714,9.47618931164558e-06
790.0,0.002826278545851595,1.9484029486719908e-05
800.0,0.002158832768672201,3.054910778899812e-05
810.0,0.0012529838611584803,7.53700999843751e-05
820.0,0.0008040649434560551,9.5413623380735e-05
830.0,0.0008262249684860424,0.0004572323957959092
840.0,0.00017265154823281628,0.0005499081624199879
850.0,0.00021932909679718768,0.0010236190141227485
860.0,4.190973531068639e-05,0.0017514553184770625
870.0,4.712797263894141e-05,0.003090690470322472
880.0,5.4489503441357944e-05,0.0022254024249788234
890.0,5.41745007477121e-06,0.009589844063726302
900.0,2.2277820955792596e-06,0.01279585907016163
910.0,1.4152714583046661e-06,0.036089624491363784
920.0,1.4921510781911314e-06,0.009146888424010983
930.0,3.61864360029918e-06,0.0024130008488687806
940.0,2.64269270189496e-06,0.0022636806311667553
950.0,3.4355946448832955e-06,0.004821583635743205
960.0,3.158083586704681e-06,0.0009450013516682968
970.0,3.7654163452418227e-06,0.0006795032566451223
980.0,2.3411744074230215e-06,0.00018464074378041944
990.0,6.612364805501947e-07,0.000959077654752655
1000.0,8.817684565204119e-07,0.00020862032733797844
1010.0,6.639502226843277e-07,8.627699320080827e-05
1020.0,4.1043436932388467e-07,0.00017462007554216568
1030.0,3.433961037191605e-07,0.00024102671956466909
1040.0,3.1084115170396944e-07,0.00023512958978211542
1050.0,5.61401135990497e-07,4.301191305322404e-05
1060.0,1.3855953218865013e-06,6.237308023578528e-05
1070.0,9.053701488330227e-07,4.26059865135396e-05
1080.0,1.0009969072669633e-06,0.00011584871781706495
1090.0,1.8079821085260288e-06,5.402819719582434e-05
1100.0,3.707172808292033e-06,3.735731609521103e-05
1110.0,9.280554896770996e-06,2.6450708148230504e-05
1120.0,1.2538398274534538e-05,4.608945466154449e-06
1130.0,1.2637621491182988e-05,2.7977895209684e-05
1140.0,5.245620307834281e-06,3.641378948072729e-05
1150.0,2.8684772203774126e-06,0.00011144425375076253
1160.0,1.5023509186808407e-06,0.0001828005748818591
1170.0,2.7375705916565534e-06,0.0003092504352345781
1180.0,4.397365503578975e-06,7.324320109612016e-05
1190.0,4.0939777651990636e-06,0.00026170503857957117
1200.0,6.345981291022341e-06,0.0002602692602565459
1210.0,3.2018853008363233e-06,0.0001552058716142
1220.0,1.7785648398867046e-06,0.00021386457726333923
1230.0,1.1453238716883152e-06,0.0003622279788659527
1240.0,1.1030376738809475e-06,0.00035493714030201625
1250.0,1.853039200279556e-06,0.000311383633182702
1260.0,2.248086095083355e-06,0.00044257247321106014
1270.0,2.869353914537822e-06,0.00044316902610792413
1280.0,4.730682818032645e-06,0.0009954560833072671
1290.0,5.009675569252723e-06,0.0006283194674889879
1300.0,1.065236769493623e-05,0.000916369117397313
1310.0,1.3653559738148206e-05,0.002701883109421344
1320.0,1.6591809877344317e-05,0.0023878753611505958
1330.0,5.427869976460204e-05,0.0034218001943221435
1340.0,3.8620747455096935e-05,0.0020355048057212454
1350.0,7.179168655716618e-05,0.0051945365037907865
1360.0,4.4335802880718196e-05,0.006240807404932255
1370.0,5.6756922066230826e-05,0.002602043663189948
1380.0,9.848476692970188e-05,0.004257888755496312
1390.0,0.00016015066345576414,0.0020711830211574034
1400.0,0.0002009574688421263,0.001568448483001477
1410.0,0.00037121936621862573,0.0019417306247316154
1420.0,0.00027398723035852154,0.000850385148635614
1430.0,0.0010263576233986067,0.0007692107058851603
1440.0,0.0007686151736595539,0.00010111604199692383
1450.0,0.0007975264151948183,0.00026168612880202375
1460.0,0.0007751461665269527,0.00017552682370278817
1470.0,0.0018979229703407184,3.6984471265168115e-05
1480.0,0.005769603561060304,0.00018035527718943576
1490.0,0.010440390980222567,4.5078085117990914e-05
1500.0,0.006123648200278886,0.0002999361675077255
1510.0,0.016387912332105493,0.0002623437343411077
1520.0,0.01083659577325858,0.0004910447357252116
1530.0,0.008898783276040066,3.267295766488812e-05
1540.0,0.002652870095524617,7.587564990414825e-05
1550.0,0.000572295944779344,0.0003909243893511312
1560.0,8.883619860691381e-05,2.6141488136099754e-05
1570.0,1.4161022668421975e-05,6.118616774883282e-05
1580.0,1.7896213994129575e-05,6.0441404916138115e-05
1590.0,0.0005045519208804492,8.838292804744478e-06
1600.0,0.00023280465972267002,8.54010530592218e-07
1610.0,2.9219312259673006e-05,8.34221202399236e-07
1620.0,1.1886499462593274e-05,4.345535885599524e-06
1630.0,5.435638832350292e-06,4.6680342376571396e-05
1640.0,4.036358202930787e-05,2.261847740026525e-05
1650.0,2.066925818012438e-05,0.00016410980865855864
1660.0,2.1968402284595264e-05,0.0003206605811924905
1670.0,4.3870748702469676e-05,0.00012116253792020087
1680.0,1.6299026397118647e-05,0.0004210789865926557
1690.0,1.0967156977522928e-05,0.00021254788132670259
1700.0,7.098146055593027e-06,0.00013240676087853125
1710.0,1.2061353577608708e-05,0.00019718214082521847
1720.0,2.906712660979377e-06,0.0005193396359868033
1730.0,8.983314077164272e-06,5.8670208150470905e-05
1740.0,2.6264106512267354e-05,0.00010156806608605624
1750.0,3.31578691642942e-05,0.0003669391946854608
1760.0,1.4996607683000176e-05,0.0006836449545039611
1770.0,3.6818645782819115e-06,0.0007697126338584443
1780.0,4.3143669693300266e-06,0.0014523029599765296
1790.0,5.021156577240327e-06,0.002294233345573037
1800.0,1.598537627921031e-05,0.0006426344699646065
1810.0,6.052785476232103e-05,0.0009737008224174222
1820.0,1.6819669147667105e-05,0.005605869707252904
1830.0,1.0239921457133831e-05,0.002033610859944936
1840.0,1.4871989312879464e-05,0.0006870523291857692
1850.0,1.9851325894566667e-05,0.0004232043531380936
1860.0,7.335353295369032e-06,0.0005900053525773403
1870.0,1.4036329975330424e-06,0.000313667656897178
1880.0,4.4404570064434135e-06,0.00025018131148375994
1890.0,3.2469099411587446e-05,3.850873587663555e-05
1900.0,9.447447232570787e-05,1.3568760809652611e-05
1910.0,4.5580932493382635e-05,1.0643928262816729e-05
1920.0,3.081227265923023e-06,0.00010665901925447881
1930.0,5.66326297548155e-06,4.2439582923746014e-05
1940.0,1.6847756737351675e-06,0.00012854069318064663
1950.0,5.987188107265641e-07,1.4792078723226812e-05
1960.0,2.8662286945456996e-06,2.387650953562219e-05
1970.0,1.5169391379557227e-05,8.770835095625425e-06
1980.0,4.943149147629464e-05,3.0250351689710865e-05
1990.0,0.0005028940549299552,8.158458323234123e-05
2000.0,0.00019598953948225358,4.505986142057876e-06
2010.0,3.6404601826432215e-05,7.446683158422375e-05
2020.0,5.084330533605327e-06,6.1950395625355985e-06
2030.0,5.440183086624972e-06,1.8561315449744285e-05
2040.0,2.8514470454609225e-06,0.00012146036398504677
2050.0,5.32818776838975e-06,0.00011801374842872782
2060.0,1.7095700099767155e-05,0.0002284881988582788
2070.0,8.953967331844895e-05,0.00013937899018619016
2080.0,2.28857369812618e-05,0.00026027348868862087
2090.0,6.337275772228923e-05,8.851607807663473e-05
2100.0,9.11905543520706e-05,7.6863601926726e-05
2110.0,7.435655235158093e-05,0.0007676670117812322
