sender,n_pre,n_post,p10_pre,p10_post,p50_pre,p50_post,d_p10_ms,d_p50_ms,mechanical_d_p10_ms,mechanical_d_p50_ms,ell_q10_pre_ms,ell_q10_post_ms,ell_q50_pre_ms,ell_q50_post_ms,p_k1_pre,p_k1_post
0xbce729580490534fdaa5a4306c49c019418e2823,14703,24016,193.0,209.0,571.0,480.0,16.0,-91.0,-29.993948928643483,-149.9697446432174,117.98617945095188,163.98012837959536,195.93089725475943,254.90064189797684,0.7516833299326668,0.45436375749500335
0x32564234df8961ae1d640be2cba4aeab54151551,4742,14132,166.0,126.0,526.5,352.5,-40.0,-174.0,-29.993948928643483,-149.9697446432174,90.98617945095188,80.98012837959536,151.43089725475943,127.40064189797684,0.7511598481653311,0.6662892725728843
0x7cda585e917fecb3a33c6d5a8f8a15dd956694dc,319,3283,175.0,166.20000000000005,383.0,388.0,-8.799999999999955,5.0,-29.993948928643483,-149.9697446432174,99.98617945095188,121.1801283795954,7.930897254759429,162.90064189797684,0.799373040752351,0.627170271093512
0x278d858f05b94576c1e6f73285886876ff6ef8d2,102,2851,243.0,219.0,490.0,428.0,-24.0,-62.0,-29.993948928643483,-149.9697446432174,167.98617945095188,173.98012837959536,114.93089725475943,202.90064189797684,0.8627450980392157,0.5548930199929849
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,672,1875,674.1,207.0,881.0,644.0,-467.1,-237.0,-29.993948928643483,-149.9697446432174,599.0861794509519,161.98012837959536,505.93089725475943,418.9006418979768,0.25744047619047616,0.2224
0x3bc367866468d4f80096be899b66ab29d03f2717,310,671,155.8,166.0,556.0,392.0,10.199999999999989,-164.0,-29.993948928643483,-149.9697446432174,80.78617945095189,120.98012837959536,180.93089725475943,166.90064189797684,0.6548387096774193,0.5991058122205664
0x6777c00839fe6ccfc84f08a44704108471bb1fe4,480,620,477.30000000000007,197.9,805.0,507.0,-279.4000000000001,-298.0,-29.993948928643483,-149.9697446432174,402.286179450952,152.88012837959536,429.93089725475943,281.9006418979768,0.37916666666666665,0.4
0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,181,220,65.0,47.800000000000004,738.0,546.0,-17.199999999999996,-192.0,-29.993948928643483,-149.9697446432174,-10.01382054904812,2.780128379595368,362.93089725475943,320.9006418979768,0.5082872928176796,0.45
0x9999b0cdd35d7f3b281ba02efc0d228486940515,55,190,144.4,92.50000000000001,560.0,461.5,-51.89999999999999,-98.5,-29.993948928643483,-149.9697446432174,69.38617945095189,47.48012837959538,184.93089725475943,236.40064189797684,0.6,0.47368421052631576
0x1b81d678ffb9c0263b24a97847620c99d213eb14,70,142,166.0,89.0,945.5,777.0,-77.0,-168.5,-29.993948928643483,-149.9697446432174,90.98617945095188,43.980128379595364,570.4308972547594,551.9006418979768,0.42857142857142855,0.3591549295774648
0xca852767b43a395ac1dd54737193eba5e20c78bd,268,94,96.10000000000001,131.8,720.0,887.0,35.7,167.0,-29.993948928643483,-149.9697446432174,21.08617945095189,86.78012837959537,344.93089725475943,661.9006418979768,0.5149253731343284,0.35106382978723405
