sender,n_arb_strict,share,arb_share_of_own_swaps,n_cex,tau_p10_ms,tau_p50_ms,p_k1,overshoot_bps,arb_loss_sum_quote,volume_quote,share_same_block
0x32564234df8961ae1d640be2cba4aeab54151551,12277,0.4482456460622878,0.515905366222633,7869,470.80000000000007,1218.0,0.6440462574660059,1.0143924197575147,73767.74852887617,118264654.97876269,0.003991203062637452
0x802b65b5d9016621e66003aed0b16615093f328b,4720,0.17233195808536272,0.19266092493571166,1552,470.5000000000001,1288.0,0.6585051546391752,0.6597402704706383,12749.453766465333,23644962.441385917,0.361228813559322
0xaf30736465dec110ec6ab68d3a22e4b24968401f,4705,0.17178429296432873,0.46095816596453415,1538,894.1,1611.0,0.4466840052015605,1.6298531207134277,36745.550860035466,64744080.01109568,0.32709883103081827
0xba53da030f3504db8cf0309bb89791950d0ce5e6,3186,0.11632407170761985,0.17763157894736842,1641,594.0,1338.0,0.6020719073735528,0.35125972642391057,6188.07540622746,11833327.218895089,0.00031387319522912746
0xbddbcbaa9cf9603b7055aad963506ede71692f12,865,0.03158202197962686,0.46934346174715136,387,420.2,1576.0,0.4728682170542636,0.460736067764661,2738.440573980203,5483376.466790776,0.3260115606936416
0x4d93ce2e938724381600bc61469a6de798e87cb6,228,0.008324509839716675,0.060445387062566275,104,696.7,1307.0,0.7211538461538461,0.8916999406188644,1135.2372568230048,2199740.9397590053,0.11403508771929824
0xd9c500dff816a1da21a48a732d3498bf09dc9aeb,202,0.007375223629924422,0.058029301924734274,71,213.0,3707.0,0.323943661971831,0.22792501415135677,652.2358577096543,1869904.1516505773,0.13861386138613863
0xf6687cd56aec1a0faaba12feb6781398ab47fb21,134,0.004892475081236993,0.09483368719037509,57,225.4,1137.0,0.6666666666666666,0.21709621197447085,194.37328288667118,388302.6313523444,0.3208955223880597
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,124,0.004527365000547665,0.010364426613172852,29,217.60000000000005,1369.0,0.5517241379310345,0.2759709526352169,225.77951303339307,471989.27967305656,0.1774193548387097
0xde9e4fe32b049f821c7f3e9802381aa470ffca73,111,0.004052721895651539,0.07665745856353591,32,428.4,3398.5,0.34375,0.19120451749129627,299.163435174647,723272.3612144613,0.18018018018018017
0x27f9f6fda8f78bc50c8f51289114f727b8c0a8b8,79,0.00288436963744569,0.12061068702290076,27,260.0,2581.0,0.3333333333333333,0.23087759719534248,150.15205917973512,305903.59798887983,0.20253164556962025
0x7b1f9eb7ab8cbdb1ce2cd96d74234c75c2fd028c,58,0.0021176384679981015,0.13488372093023257,31,1000.0,1554.0,0.41935483870967744,0.3583603618253615,119.72114417205303,227721.25769880824,0.0
0x6e4141d33021b52c91c28608403db4a0ffb50ec6,55,0.0020081054437913032,0.088,14,,,,0.1510908820676558,96.04055154532172,221631.4487973165,0.10909090909090909
0xe0ad8db26ea39ac29fe31b3621dd31c8ee9aefc8,54,0.00197159443572237,0.19148936170212766,7,,,,0.7620572618254866,198.2016926247134,375472.7703250929,0.7777777777777778
0x1b81d678ffb9c0263b24a97847620c99d213eb14,51,0.001862061411515572,0.03823088455772114,12,,,,0.1223293557205146,70.61044484326102,158733.0650167019,0.1568627450980392
