sender,n_pre,n_post,p10_pre,p10_post,p50_pre,p50_post,d_p10_ms,d_p50_ms,mechanical_d_p10_ms,mechanical_d_p50_ms,ell_q10_pre_ms,ell_q10_post_ms,ell_q50_pre_ms,ell_q50_post_ms,p_k1_pre,p_k1_post
0xba53da030f3504db8cf0309bb89791950d0ce5e6,4011,10832,814.0,683.0,2298.0,1453.0,-131.0,-845.0,-150.00687658562114,-750.0343829281056,513.9303077802913,532.9371843659123,797.6515389014562,702.6859218295618,0.7162802293692346,0.5352658788774003
0xaf30736465dec110ec6ab68d3a22e4b24968401f,9778,6304,1254.0,815.3000000000001,3183.0,1635.0,-438.69999999999993,-1548.0,-150.00687658562114,-750.0343829281056,953.9303077802913,665.2371843659124,1682.6515389014562,884.6859218295618,0.47494375127838,0.44701776649746194
0x802b65b5d9016621e66003aed0b16615093f328b,4333,4912,1111.0,443.0,2910.0,1349.0,-668.0,-1561.0,-150.00687658562114,-750.0343829281056,810.9303077802913,292.93718436591234,1409.6515389014562,598.6859218295618,0.5319639972305562,0.5973127035830619
0x4d93ce2e938724381600bc61469a6de798e87cb6,1476,2056,1465.0,762.0,3684.0,1684.0,-703.0,-2000.0,-150.00687658562114,-750.0343829281056,1164.9303077802913,611.9371843659123,2183.651538901456,933.6859218295618,0.40447154471544716,0.428988326848249
0x32564234df8961ae1d640be2cba4aeab54151551,1246,1025,482.0,568.0,2365.0,1422.0,86.0,-943.0,-150.00687658562114,-750.0343829281056,181.93030778029123,417.93718436591234,864.6515389014562,671.6859218295618,0.7279293739967897,0.5482926829268293
0x1b81d678ffb9c0263b24a97847620c99d213eb14,188,213,306.79999999999995,167.8,2080.0,1360.0,-138.99999999999994,-720.0,-150.00687658562114,-750.0343829281056,6.730307780291184,17.737184365912384,579.6515389014562,609.6859218295618,0.7021276595744681,0.5539906103286385
0xbddbcbaa9cf9603b7055aad963506ede71692f12,224,205,731.5,552.2000000000002,2970.0,1965.0,-179.29999999999984,-1005.0,-150.00687658562114,-750.0343829281056,431.43030778029123,402.1371843659125,1469.6515389014562,1214.6859218295617,0.5044642857142857,0.35609756097560974
0xc83c288d798cc1322be26482ab05cee5ffd6988c,193,177,1266.2,679.8000000000001,2837.0,2481.0,-586.4,-356.0,-150.00687658562114,-750.0343829281056,966.1303077802913,529.7371843659124,1336.6515389014562,1730.6859218295617,0.5751295336787565,0.3107344632768362
0xde9e4fe32b049f821c7f3e9802381aa470ffca73,132,169,198.90000000000003,180.20000000000002,2340.5,1284.0,-18.700000000000017,-1056.5,-150.00687658562114,-750.0343829281056,-101.16969221970874,30.13718436591239,840.1515389014562,533.6859218295618,0.5984848484848485,0.5621301775147929
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,127,125,162.8,165.0,1784.0,1121.0,2.1999999999999886,-663.0,-150.00687658562114,-750.0343829281056,-137.26969221970876,14.937184365912373,283.6515389014562,370.68592182956183,0.6456692913385826,0.624
0xf6687cd56aec1a0faaba12feb6781398ab47fb21,118,71,431.1000000000001,326.0,3048.0,1470.0,-105.10000000000008,-1578.0,-150.00687658562114,-750.0343829281056,131.0303077802913,175.93718436591237,1547.6515389014562,719.6859218295618,0.4830508474576271,0.5070422535211268
