grid_ms,mass_pre,mass_post
0.0,0.0,0.0
10.0,0.9284513692880806,0.8782903187167161
20.0,0.015668232942787165,0.012385019465787565
30.0,0.00251420516377804,0.0015446770051438408
40.0,0.000475466136172155,0.00017220760981495533
50.0,7.925044252427001e-05,2.1640150850279e-05
60.0,3.9058997479473434e-05,6.76536899189308e-06
70.0,1.8301454596451383e-06,8.513183894974069e-06
80.0,1.526786797509687e-07,1.3612678075048104e-05
90.0,1.1036789214609507e-08,1.1513269200775127e-05
100.0,6.527984607256576e-09,5.062759511307512e-06
110.0,1.5582610260128083e-09,1.3643607430649245e-06
120.0,2.1492057972367883e-10,1.0926264638549094e-06
130.0,2.4566072407895975e-11,4.89392519933803e-07
140.0,2.837056152224356e-12,5.778748526092783e-07
150.0,2.1280600918388856e-12,1.8163106483680978e-07
160.0,6.171329508051073e-13,9.080627046265031e-08
170.0,4.1142948746471356e-13,2.9380164875689086e-08
180.0,1.2765242018886247e-12,2.1307825692473808e-08
190.0,1.015285418394795e-12,8.195828748484837e-09
200.0,5.752187281958085e-13,4.17547712203324e-09
210.0,1.1092828029138158e-13,3.802481714447642e-09
220.0,3.087932168662469e-14,2.5598568384852796e-09
230.0,4.180860706101836e-15,9.36088142282103e-10
240.0,1.1735539981586351e-15,1.6772867719015887e-09
250.0,1.0153410567140246e-15,8.785613053723866e-10
260.0,1.4400725107618448e-16,4.051966250136197e-10
270.0,9.01537531351968e-17,2.53154623970162e-10
280.0,4.7923513761926905e-17,7.67401041166704e-11
290.0,5.491402372813945e-16,8.73462082317507e-11
300.0,7.917883388444226e-16,5.726224746523449e-11
310.0,9.504196408208163e-16,3.240598511391242e-11
320.0,8.1108009908151065e-16,3.734469722230128e-11
330.0,5.325928307585702e-16,1.8612211889993342e-11
340.0,3.994397923328381e-16,7.048138583452649e-12
350.0,7.765324360130009e-17,6.050707788700397e-12
360.0,3.159855159067259e-17,1.740465011216906e-12
370.0,2.883136989294596e-16,1.4430199927624797e-12
380.0,6.262084329851916e-16,8.686452083172772e-13
390.0,1.8236654050999374e-16,2.5133846868374576e-12
400.0,1.0550896770400354e-16,7.805512045480228e-12
410.0,1.3852888298855926e-15,7.12528418886912e-12
420.0,7.642911768047247e-16,9.49213349897273e-12
430.0,6.949979569807402e-16,1.4532813320157745e-11
440.0,5.709250538277171e-16,1.026636043619474e-11
450.0,3.402391172399949e-16,1.4006824337655666e-11
460.0,3.1834871978883615e-16,1.1860138516340025e-11
470.0,1.115295905863095e-16,1.016946883860629e-11
480.0,3.322003932275031e-17,1.1798927064892243e-11
490.0,7.930518136241251e-17,5.498976236121802e-12
500.0,9.378567283844903e-15,5.909308295367468e-12
510.0,3.0779178418135965e-15,4.828585052559657e-12
520.0,6.8966339280077865e-15,6.080818892380068e-12
530.0,1.4821000592913173e-15,1.2547302984892475e-11
540.0,1.5015896519579718e-15,3.0668800479137954e-11
550.0,6.57628902943478e-16,1.136627920009583e-11
560.0,4.266395929405156e-16,9.243807114436395e-12
570.0,3.0894880442334124e-16,4.173227892058104e-12
580.0,7.154178766233424e-16,3.255491522649304e-12
590.0,3.9691792059302375e-16,4.874387568586626e-12
600.0,6.778210141308932e-17,5.6170234447339e-12
610.0,3.095728251037448e-17,7.94703457283729e-12
620.0,1.411496431982183e-17,8.064130897942323e-12
630.0,6.95966537162953e-18,9.809787381437673e-12
640.0,4.749461901960876e-18,2.575077854568448e-11
650.0,1.2775250196835464e-17,3.319396063144142e-11
660.0,2.169513820705493e-17,2.3673362172292267e-11
670.0,3.4011193651379966e-17,4.74615391117634e-11
680.0,7.131922265450161e-17,7.25646066762274e-11
690.0,3.4428809544775776e-17,3.467897668841818e-11
700.0,2.0525027962329824e-17,7.932647861208551e-11
710.0,3.513524939473054e-17,6.859814807488331e-11
720.0,1.0993960408043543e-17,1.1508807453598668e-10
730.0,6.398895794716651e-17,1.4338394397558833e-10
740.0,7.841742657393137e-17,1.5177367617330092e-10
750.0,1.6084148953753222e-17,1.6734667759723175e-10
760.0,1.9195799035072336e-17,2.3161014435409146e-10
770.0,1.2033665299467159e-17,3.242357220270274e-10
780.0,1.0163502082084445e-16,4.045376705350432e-10
790.0,5.745561856458203e-17,5.012208674392334e-10
800.0,4.0114681708770646e-17,5.462400601462614e-10
810.0,5.1808000200231554e-17,6.841399271401139e-10
820.0,2.162601704001638e-16,7.649928382532583e-10
830.0,6.376115068359578e-16,4.2755178445074797e-10
840.0,2.563553090699923e-15,5.190923220345373e-10
850.0,6.068206588679064e-16,6.732420131323288e-10
860.0,5.86338253890481e-16,5.540443179189546e-10
870.0,1.1277953278872942e-15,7.901452881737158e-10
880.0,2.269854328279364e-16,1.1206335432968478e-09
890.0,2.3600596763544895e-16,1.70723699455204e-09
900.0,1.3380859211329608e-16,4.086194278227805e-09
910.0,3.3635649344312896e-16,3.7031261596218727e-09
920.0,4.955341627471089e-16,3.032920321594199e-09
930.0,1.4909892069725263e-15,2.9562764705852347e-09
940.0,1.5917774686320015e-15,6.193875898915567e-09
950.0,1.0816371864550966e-15,7.623202970544141e-09
960.0,8.434042552373873e-16,6.052363281599596e-09
970.0,5.616892442458895e-16,6.197010342266958e-09
980.0,4.737794735926275e-16,6.818362245275601e-09
990.0,4.804440941483461e-16,6.861327213520501e-09
1000.0,2.2549569076769986e-16,8.823556993191865e-09
1010.0,2.824447218065803e-16,3.979240289938378e-09
1020.0,5.150136339556219e-16,5.915031369103709e-09
1030.0,1.5963468320001075e-15,4.916279218597359e-09
1040.0,1.2703339725181325e-15,4.895685957826579e-09
1050.0,1.9753312637272174e-15,1.8703490993932302e-08
1060.0,1.3874163254141125e-14,3.569515531728739e-08
1070.0,2.578848361884403e-14,6.266594548563481e-08
1080.0,8.748160966045293e-14,6.804445202336916e-08
1090.0,1.2847623511219208e-13,8.567396330800454e-08
1100.0,8.343902041987345e-14,1.0622367503186142e-07
1110.0,5.011270633134359e-14,1.3734386574600937e-07
1120.0,6.768383261810781e-14,1.708766052983945e-07
1130.0,7.242794680418058e-14,2.3644936805502386e-07
1140.0,1.276958232579268e-13,1.616340457108696e-07
1150.0,4.7781579049151063e-14,1.855324324544592e-07
1160.0,2.0828422456690436e-14,1.3849040570127097e-07
1170.0,3.6848803577873773e-14,1.3719204593975995e-07
1180.0,1.3202530899330745e-13,2.090643046936031e-07
1190.0,1.7384024728862063e-13,1.9118078572068569e-07
1200.0,1.3659867563690275e-13,3.072764698694445e-07
1210.0,1.5408698680811207e-13,7.317425929382158e-07
1220.0,2.7891939689436906e-13,1.1139940181555696e-06
1230.0,7.229062990441697e-13,2.955718701265632e-06
1240.0,4.590816386061738e-13,2.6225010382847844e-06
1250.0,3.4007063402437417e-13,3.0264353739289574e-06
1260.0,2.331069174565157e-13,4.02787721279662e-06
1270.0,2.186192451741574e-12,1.5568047565387675e-05
1280.0,4.5961415625242556e-12,2.237515687615372e-05
1290.0,2.2662856216832157e-12,3.7523293557221656e-05
1300.0,4.303799532186141e-12,3.6241366588649886e-05
1310.0,3.822478237200901e-12,7.022743877348059e-05
1320.0,4.657496057987453e-12,7.345823809742787e-05
1330.0,4.284579488846353e-12,8.764999120611105e-05
1340.0,3.1017052214514075e-12,8.764405732384366e-05
1350.0,2.4870451080026957e-12,9.89845951795797e-05
1360.0,2.576508757872067e-12,0.00010765373788777984
1370.0,2.2312813234125125e-12,0.00013726075974369414
1380.0,3.2577169977676324e-12,0.00019347204725000936
1390.0,2.4199704199377618e-12,0.0002352243855640289
1400.0,3.4449870361116522e-12,0.0003718233112092081
1410.0,4.314530209826734e-12,0.0005219978932741725
1420.0,2.520215353471197e-12,0.0006862185806135771
1430.0,1.8247792672658615e-12,0.0007733407151027223
1440.0,2.1735663496473354e-12,0.0014677179688437085
1450.0,3.5209923008804393e-12,0.001268300439410981
1460.0,3.4687982089767374e-12,0.0027750722092211373
1470.0,3.247153884634556e-12,0.0032237332229132993
1480.0,2.815032544211288e-12,0.002160327523724361
1490.0,2.5038548999646943e-12,0.006807770662194942
1500.0,1.0417321865946265e-11,0.012105084061784196
1510.0,5.2254766242624535e-12,0.03972070815701169
1520.0,3.886917284437525e-12,0.009929742370887326
1530.0,9.593096785204429e-12,0.0007755240677756151
1540.0,1.3674153819895159e-11,0.0003137895876937089
1550.0,3.539523012553325e-11,0.00012385495166492382
1560.0,1.5337311671414625e-10,0.0005996799582858888
1570.0,7.543119837277781e-11,0.00011782307790895267
1580.0,1.5480138094427541e-10,3.3457770711728997e-05
1590.0,1.2787448647126013e-10,2.877402072742033e-06
1600.0,1.229820935517242e-10,5.676658046581211e-06
1610.0,3.8780931399660254e-10,9.583242693975704e-07
1620.0,4.452544138287246e-10,5.243010604675547e-07
1630.0,6.01985167215809e-10,4.0278606161286203e-07
1640.0,1.796959275596287e-09,5.8756267786242097e-08
1650.0,8.073837672880604e-09,1.1041299143067334e-07
1660.0,7.3952230610096004e-09,4.4645618498599465e-08
1670.0,2.0844230239190052e-08,1.9604200071089185e-08
1680.0,1.7726014363410874e-08,6.480557844712365e-09
1690.0,1.6247755583887004e-08,2.9063277461591414e-08
1700.0,1.911877649990456e-08,3.374965098141905e-08
1710.0,2.5824949643259354e-08,1.3901689478886216e-07
1720.0,2.3686959974032487e-08,6.210918503405439e-08
1730.0,3.8113553136025934e-08,1.535585720906122e-08
1740.0,2.373531468173861e-08,1.1901783893070584e-09
1750.0,1.0895009573746134e-07,8.620950286762985e-10
1760.0,6.306742623467078e-08,4.6153169015327397e-10
1770.0,1.5704417253418657e-07,8.242565273025004e-10
1780.0,1.5163047036221945e-07,3.871951474596163e-09
1790.0,1.617234879074631e-07,1.4002654341772886e-08
1800.0,2.8050448075433843e-07,7.439551853572737e-08
1810.0,1.50921087632432e-07,5.016230010278871e-08
1820.0,8.108611105029639e-08,1.2806158662623996e-08
1830.0,4.2431949265436494e-08,7.90977280257353e-09
1840.0,7.214618549162614e-08,3.5274339581105987e-09
1850.0,5.9112749165782186e-08,9.689293387100216e-10
1860.0,1.110934153841367e-07,3.827757058505308e-10
1870.0,8.039543813304533e-08,1.6038005333575555e-09
1880.0,5.007909389503977e-08,1.588834259837999e-09
1890.0,3.276584071444981e-08,1.4901770408602276e-10
1900.0,3.336178234890184e-08,6.577823616706264e-12
1910.0,3.0743937760051554e-08,2.3520174836423884e-12
1920.0,5.2552223031490906e-08,2.1554685075922448e-12
1930.0,5.6274976947514505e-08,7.761081633691406e-13
1940.0,1.0365019509113876e-07,8.447185308804957e-13
1950.0,6.956741194425921e-08,1.9801096813538934e-13
1960.0,5.029515079507162e-08,5.079983406662506e-14
1970.0,1.0256699474403661e-07,3.0515805322892867e-13
1980.0,7.417985709773364e-08,2.941963654042835e-13
1990.0,5.101638904139251e-08,3.0646803553682524e-13
2000.0,3.018000318516918e-08,7.669291796024184e-14
2010.0,1.0649857742969342e-07,2.2051827941644135e-13
2020.0,1.2628958290809637e-07,1.880920872464226e-13
2030.0,2.7109716076453713e-07,2.1832434418323656e-13
2040.0,2.0116777419999228e-07,2.817943194713524e-13
2050.0,1.529919274463786e-07,1.4605371422122455e-12
2060.0,9.29380843215956e-08,5.615903965236632e-12
2070.0,5.365223205541273e-08,1.1684515009329118e-11
2080.0,3.5064093552228486e-08,9.037290915642223e-11
2090.0,6.693620193775748e-08,3.812914616302846e-10
2100.0,1.679393218233242e-07,7.978620995218787e-11
2110.0,1.0991574619837314e-07,2.036225305818352e-11
2120.0,7.748732649541368e-08,1.2744113175740154e-11
2130.0,9.694775993437654e-08,3.936456057026341e-12
2140.0,6.832871800312878e-08,2.5053693505144715e-12
2150.0,9.221365972205929e-08,3.7712262188509773e-13
2160.0,1.9498875796559426e-07,1.1370210965625278e-13
2170.0,1.1839117205155766e-07,3.4771937807424536e-14
2180.0,1.3422560641585538e-07,8.281436019146772e-14
2190.0,1.5221382629204454e-07,3.224054858944845e-13
2200.0,2.5760498553691625e-07,2.474077680579852e-13
2210.0,2.007409509359051e-07,9.680382753233004e-13
2220.0,2.39479751215401e-07,1.2398510730299591e-12
2230.0,2.0110255220394382e-07,2.1454731194905885e-12
2240.0,7.041164786907658e-07,7.241129909133875e-13
2250.0,5.095736242286033e-07,1.9691054312355584e-13
2260.0,5.648230070174716e-07,2.0452952117872588e-13
2270.0,1.0861761387734835e-06,2.904212303403948e-13
2280.0,6.942526743288798e-07,6.172393960190864e-13
2290.0,1.5520238081129983e-06,1.787676901694622e-12
2300.0,1.9024900432341673e-06,3.2158355056593e-13
2310.0,1.484252209285223e-06,9.346430275124531e-13
2320.0,1.2167037977128844e-06,1.1872537099530773e-12
2330.0,2.597924466639832e-06,1.093632919887271e-12
2340.0,2.682995028917844e-06,1.2563923962871772e-12
2350.0,1.5154226641817273e-06,2.4131546499462227e-12
2360.0,1.730529338254407e-06,1.8173066168941673e-12
2370.0,1.2522696510524667e-06,1.248474680075e-12
2380.0,2.69134057385987e-06,2.6566226508847157e-12
2390.0,3.0780595791607273e-06,1.825205093979029e-12
2400.0,2.341763595057428e-06,8.350882472032155e-13
2410.0,2.96275160875134e-06,6.085088985818723e-12
2420.0,2.0400939165388338e-06,1.276755196898253e-11
2430.0,1.5511472417124693e-06,2.4178729190818373e-11
2440.0,1.1499559771756696e-06,2.047339104059729e-11
2450.0,8.311681492490993e-07,1.7856483724582564e-10
2460.0,1.1966377718823566e-06,4.106400919093431e-10
2470.0,1.6393583345976514e-06,2.1213871733951106e-09
2480.0,1.934569200287912e-06,9.854409129480113e-09
2490.0,2.3418177493323538e-06,3.044374162428393e-08
2500.0,2.908000449470732e-06,2.832911506878274e-08
2510.0,2.2103241340189595e-06,1.5668648648164808e-08
2520.0,1.5196924412867594e-06,5.41814778548299e-08
2530.0,1.2756637690969246e-06,1.5066267894312047e-07
2540.0,1.8014233397237584e-06,2.086412817014884e-07
2550.0,1.512229449196254e-06,1.208918583909534e-07
2560.0,1.148354871047106e-06,4.205795160224734e-07
2570.0,2.5423293936040882e-06,1.9637855767254453e-07
2580.0,2.188337638057752e-06,3.3737496301295125e-07
2590.0,1.9311784259377127e-06,5.804572610957962e-07
2600.0,2.739864443252043e-06,4.025209980470314e-07
2610.0,2.2433167945468507e-06,1.7297104300816324e-06
2620.0,1.8364440695095678e-06,1.327488270754501e-06
2630.0,4.537440251542909e-06,2.305869055528484e-06
