sender,n_pre,n_post,p10_pre,p10_post,p50_pre,p50_post,d_p10_ms,d_p50_ms,mechanical_d_p10_ms,mechanical_d_p50_ms,ell_q10_pre_ms,ell_q10_post_ms,ell_q50_pre_ms,ell_q50_post_ms,p_k1_pre,p_k1_post
0xba53da030f3504db8cf0309bb89791950d0ce5e6,1540,14031,631.5,369.0,1907.0,1040.0,-262.5,-867.0,-150.00687658562114,-750.0343829281056,331.43030778029123,218.93718436591237,406.6515389014562,289.68592182956183,0.9175324675324675,0.8816905423704654
0x2fba633d7b9bfe947cfa7d2d86aef05014b41024,818,3005,335.0,393.0,1887.5,1033.0,58.0,-854.5,-150.00687658562114,-750.0343829281056,34.93030778029123,242.93718436591237,387.1515389014562,282.68592182956183,0.9706601466992665,0.9537437603993344
0xde9e4fe32b049f821c7f3e9802381aa470ffca73,425,2636,177.80000000000004,98.5,1182.0,670.5,-79.30000000000004,-511.5,-150.00687658562114,-750.0343829281056,-122.26969221970873,-51.56281563408763,-318.3484610985438,-79.81407817043817,0.8964705882352941,0.8968133535660091
0x32564234df8961ae1d640be2cba4aeab54151551,8141,2175,736.0,392.4,2035.0,983.0,-343.6,-1052.0,-150.00687658562114,-750.0343829281056,435.93030778029123,242.33718436591235,534.6515389014562,232.68592182956183,0.8812185235229087,0.8491954022988506
0x4d93ce2e938724381600bc61469a6de798e87cb6,2151,1513,972.0,568.2,2303.0,1167.0,-403.79999999999995,-1136.0,-150.00687658562114,-750.0343829281056,671.9303077802913,418.1371843659124,802.6515389014562,416.68592182956183,0.8451882845188284,0.8268341044282882
0x802b65b5d9016621e66003aed0b16615093f328b,1716,1079,786.5,465.8,1992.0,1046.0,-320.7,-946.0,-150.00687658562114,-750.0343829281056,486.43030778029123,315.7371843659124,491.6515389014562,295.68592182956183,0.8793706293706294,0.9128822984244671
0xaf30736465dec110ec6ab68d3a22e4b24968401f,1953,938,358.40000000000003,162.7,1511.0,801.5,-195.70000000000005,-709.5,-150.00687658562114,-750.0343829281056,58.330307780291264,12.637184365912361,10.651538901456206,51.185921829561835,0.9590373783922171,0.9520255863539445
0x5efc784d444126ecc05f22c49ff3fbd7d9f4868a,351,671,122.0,93.0,991.0,572.0,-29.0,-419.0,-150.00687658562114,-750.0343829281056,-178.06969221970877,-57.06281563408763,-509.3484610985438,-178.31407817043817,0.9515669515669516,0.9418777943368107
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,670,528,160.8,124.10000000000001,1173.5,768.0,-36.7,-405.5,-150.00687658562114,-750.0343829281056,-139.26969221970876,-25.96281563408762,-326.8484610985438,17.685921829561835,0.8880597014925373,0.8787878787878788
0x21bc3de3de5a774a6f0c5805729e8290b8bdc9da,66,427,283.5,112.6,1192.5,652.0,-170.9,-540.5,-150.00687658562114,-750.0343829281056,-16.56969221970877,-37.46281563408763,-307.8484610985438,-98.31407817043817,0.9848484848484849,0.9297423887587822
0x0000000055eca968153aeffa4e421f9cd2680f01,1088,317,1130.5,100.20000000000002,2436.5,992.0,-1030.3,-1444.5,-150.00687658562114,-750.0343829281056,830.4303077802913,-49.86281563408761,936.1515389014562,241.68592182956183,0.8290441176470589,0.9116719242902208
0x1b81d678ffb9c0263b24a97847620c99d213eb14,710,263,290.0,129.00000000000006,1398.0,757.0,-160.99999999999994,-641.0,-150.00687658562114,-750.0343829281056,-10.06969221970877,-21.06281563408757,-102.3484610985438,6.685921829561835,0.8859154929577465,0.8555133079847909
0xc83c288d798cc1322be26482ab05cee5ffd6988c,331,241,1149.0,557.0,2268.0,1094.0,-592.0,-1174.0,-150.00687658562114,-750.0343829281056,848.9303077802913,406.93718436591234,767.6515389014562,343.68592182956183,0.8942598187311178,0.8257261410788381
0xbddbcbaa9cf9603b7055aad963506ede71692f12,221,74,388.0,565.0,1360.0,1260.0,177.0,-100.0,-150.00687658562114,-750.0343829281056,87.93030778029123,414.93718436591234,-140.3484610985438,509.68592182956183,0.8235294117647058,0.7297297297297297
0x0f4a1d7fdf4890be35e71f3e0bbc4a0ec377eca3,144,61,180.4,112.0,1238.0,812.0,-68.4,-426.0,-150.00687658562114,-750.0343829281056,-119.66969221970876,-38.06281563408763,-262.3484610985438,61.685921829561835,0.8958333333333334,0.7377049180327869
0x2d3b5ca3e5ff50b12cd9d58216abaaa6b3836443,117,60,454.00000000000006,230.6,1520.0,919.5,-223.40000000000006,-600.5,-150.00687658562114,-750.0343829281056,153.9303077802913,80.53718436591237,19.651538901456206,169.18592182956183,0.905982905982906,0.9
