sender,n_arb_strict,share,arb_share_of_own_swaps,n_cex,tau_p10_ms,tau_p50_ms,p_k1,overshoot_bps,arb_loss_sum_quote,volume_quote,share_same_block
0x32564234df8961ae1d640be2cba4aeab54151551,8635,0.3320259930018841,0.5573844564936742,5520,459.0,1102.5,0.7221014492753624,0.9917363371007815,41773.83253543991,71348136.71562529,0.005442964678633469
0xba53da030f3504db8cf0309bb89791950d0ce5e6,5842,0.22463182989195216,0.2578452575363022,2817,468.6,1241.0,0.6663116790912318,0.3499790765090269,9947.442062129667,19153814.563702043,0.0005135227661759672
0xaf30736465dec110ec6ab68d3a22e4b24968401f,4328,0.16641673395624254,0.501564491829876,1456,882.5,1490.5,0.5068681318681318,1.5934289678868823,29075.028047345622,51053587.63444828,0.2562384473197782
0x802b65b5d9016621e66003aed0b16615093f328b,4154,0.15972622755412005,0.17243669572436696,1346,335.0,1035.0,0.7949479940564635,0.5095845547396797,7332.263750011927,13754688.174554292,0.3649494463168031
0xbddbcbaa9cf9603b7055aad963506ede71692f12,1114,0.04283462144807167,0.5264650283553876,509,376.0,1446.0,0.5304518664047151,0.49988906930573573,3415.595964960749,6805590.451934985,0.31867145421903054
0x6777c00839fe6ccfc84f08a44704108471bb1fe4,574,0.02207098088976045,0.4470404984423676,369,373.00000000000006,1535.0,0.4742547425474255,0.3692667240185592,1647.9729371124927,3360721.7914472553,0.0
0xd9c500dff816a1da21a48a732d3498bf09dc9aeb,103,0.00396047218056677,0.044073598630723146,35,282.0,1308.0,0.5714285714285714,0.19918657418994112,234.24574348630145,763362.1946043778,0.24271844660194175
0x1b81d678ffb9c0263b24a97847620c99d213eb14,100,0.003845118621909486,0.023618327822390175,24,80.90000000000003,1375.5,0.5416666666666666,0.08097825391334845,117.35602462772829,286335.47083291825,0.26
0xde9e4fe32b049f821c7f3e9802381aa470ffca73,100,0.003845118621909486,0.08635578583765112,32,331.8,2783.0,0.375,0.16950731394053556,219.3531907409903,542067.0539831991,0.09
0x4d93ce2e938724381600bc61469a6de798e87cb6,87,0.0033452532010612526,0.07967032967032966,33,947.6,1376.0,0.696969696969697,0.9630969235819744,401.5157845364416,750560.4789385024,0.11494252873563218
0xf6687cd56aec1a0faaba12feb6781398ab47fb21,82,0.0031529972699657783,0.10875331564986737,39,286.0,833.0,0.7948717948717948,0.31170785695380887,149.0295139507196,289169.3003517235,0.25609756097560976
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,71,0.002730034221555735,0.03158362989323844,18,,,,1.146508437082471,434.66116999690763,675384.1314203758,0.1267605633802817
0xe0ad8db26ea39ac29fe31b3621dd31c8ee9aefc8,68,0.0026146806628984504,0.2085889570552147,6,,,,0.8440289017480825,261.3689387554933,486439.0711409352,0.7941176470588235
0xca852767b43a395ac1dd54737193eba5e20c78bd,68,0.0026146806628984504,0.06601941747572816,11,,,,0.028953350263056423,35.29142986473072,75405.18297805503,0.16176470588235295
0xc8b731becc15e9ef2d6d8e5ce2d5c2436c067ab9,66,0.0025377782904602605,0.13953488372093023,7,,,,0.49932385614103386,171.69830523359434,314254.49628323206,0.7878787878787878
