sender,n_arb_strict,share,arb_share_of_own_swaps,n_cex,tau_p10_ms,tau_p50_ms,p_k1,overshoot_bps,arb_loss_sum_quote,volume_quote,share_same_block
0xaf30736465dec110ec6ab68d3a22e4b24968401f,25557,0.31488098171603174,0.5545020611846387,13135,437.0,822.0,0.42900647125999236,1.6424167926534063,65557.79872284213,113360064.98090845,0.1610908948624643
0xba53da030f3504db8cf0309bb89791950d0ce5e6,24352,0.30003449805332416,0.43289366089522524,15429,303.0,734.0,0.52090219716119,0.577195796419298,27309.855510993613,51527856.900004424,0.0002874507227332457
0x32564234df8961ae1d640be2cba4aeab54151551,8017,0.09877531910699325,0.7126222222222223,5584,278.0,588.5,0.6378939828080229,1.1625424150098393,18455.460267840892,34568729.60971849,0.01097667456654609
0x802b65b5d9016621e66003aed0b16615093f328b,7691,0.09475876004139766,0.13652016472593012,3727,279.0,629.0,0.6514623021196673,0.5950060392819078,5941.017309713651,10934337.618498387,0.24210115719672345
0x6777c00839fe6ccfc84f08a44704108471bb1fe4,7468,0.092011236508797,0.6307965199763493,5194,530.0,911.0,0.3155564112437428,0.9668127506469112,14240.909727879105,26879620.363109134,0.0002678093197643278
0x971435fc38eed5e0aaff0dd717d0d16a02a4110e,3290,0.04053521265585728,0.28626120247106934,293,66.60000000000001,501.0,0.6825938566552902,0.22045084924290043,971.1466185926912,1874305.3436245413,0.23434650455927053
0xe0ad8db26ea39ac29fe31b3621dd31c8ee9aefc8,952,0.01172933813020551,0.5199344620425996,358,240.3,793.5,0.48044692737430167,0.5092724680386208,1158.2275689193916,2375333.1666908497,0.3329831932773109
0xc83c288d798cc1322be26482ab05cee5ffd6988c,470,0.005790744665122468,0.3298245614035088,193,417.2,686.0,0.5699481865284974,1.924269361701786,1390.5941298972778,2247657.219490923,0.05531914893617021
0x901c6931ddcba1e639a40e68265be791784cd2c0,317,0.003905672465625154,0.42154255319148937,152,526.6,715.5,0.5921052631578947,3.0137165534708052,1862.809448479804,2740171.0518171983,0.08832807570977919
0x031942f26a094be40414f442a2f1295e3a5c1680,308,0.003794785865654724,0.43319268635724334,176,382.0,642.5,0.6477272727272727,0.5147112436619049,752.1547016058917,1987805.5789382374,0.2077922077922078
0x4d93ce2e938724381600bc61469a6de798e87cb6,280,0.0034498053324133852,0.3553299492385787,115,401.8,673.0,0.591304347826087,2.087614512110065,876.5298839589798,1291794.3731546537,0.08214285714285714
0x2d3b5ca3e5ff50b12cd9d58216abaaa6b3836443,242,0.0029816174658715685,0.426056338028169,175,352.40000000000003,916.0,0.36,0.458211425513725,240.0769101986591,483629.91946126753,0.004132231404958678
0x0b0b18effe597714da672faf5c5f8736532c0a7e,193,0.0023779015326992263,0.5039164490861618,81,217.0,727.0,0.5185185185185185,0.4284879144022991,258.97386895399666,538703.2147127811,0.33678756476683935
0xbddbcbaa9cf9603b7055aad963506ede71692f12,187,0.0023039771327189396,0.4722222222222222,98,315.0,794.5,0.46938775510204084,1.0158031767829776,384.94636135931523,760288.930889209,0.3155080213903743
0x22ca19f13c5979d93bbe7b082e8e084a6c7b2511,180,0.0022177319994086046,0.19543973941368079,28,116.9,534.0,0.6785714285714286,2.11626795263857,693.3726801510504,1220004.4227115125,0.5166666666666667
