sender,n_arb_strict,share,arb_share_of_own_swaps,n_cex,tau_p10_ms,tau_p50_ms,p_k1,overshoot_bps,arb_loss_sum_quote,volume_quote,share_same_block
0xba53da030f3504db8cf0309bb89791950d0ce5e6,23414,0.3775294667763105,0.3960687461939238,15010,556.0,1281.0,0.664823451032645,0.954406458133328,23200.79011298227,41497026.90508569,0.000469804390535577
0x32564234df8961ae1d640be2cba4aeab54151551,10640,0.17156032828649284,0.6529610309911016,7070,487.0,1171.0,0.6833097595473833,1.6100392714610632,21219.894729739513,35976611.917123295,0.018421052631578946
0x802b65b5d9016621e66003aed0b16615093f328b,7934,0.12792853802866863,0.1526855647287493,3713,318.0,996.0,0.7780770266630757,0.6964335208668022,6002.874196356032,11085059.383007906,0.25699521048651375
0xaf30736465dec110ec6ab68d3a22e4b24968401f,7547,0.12168851480997758,0.5475188624492164,3660,733.9000000000001,1468.5,0.5297814207650273,2.842940462391498,24721.601092158613,40511120.11627383,0.08453690208029681
0x7af9e4af669ee8a1dd25a86f65f38028fd562640,6036,0.09732501330237509,0.3165678921697173,685,425.40000000000003,1532.0,0.48759124087591244,0.38516377583986294,2501.5419796525844,4755812.264129734,0.6883697813121272
0x971435fc38eed5e0aaff0dd717d0d16a02a4110e,2701,0.04355116980280237,0.33830160320641284,471,778.0,1595.0,0.43736730360934184,0.5357130327607319,891.3016394686415,1681715.148930319,0.6305072195483155
0x4d93ce2e938724381600bc61469a6de798e87cb6,864,0.013931214627775359,0.4516466283324621,433,684.4,1374.0,0.625866050808314,2.2584966770347634,2040.2687045745724,3431186.4330179286,0.08101851851851852
0xc83c288d798cc1322be26482ab05cee5ffd6988c,348,0.00561118366952063,0.39590443686006827,160,658.6,1272.5,0.64375,2.681912245095956,1132.7750104512966,1655046.311202493,0.1206896551724138
0xde9e4fe32b049f821c7f3e9802381aa470ffca73,219,0.003531175929956949,0.0611731843575419,95,181.8,984.0,0.6105263157894737,0.34717055052933155,169.4367935957547,393059.05802177824,0.2648401826484018
0xbddbcbaa9cf9603b7055aad963506ede71692f12,219,0.003531175929956949,0.33900928792569657,96,652.0,1965.0,0.3229166666666667,1.6098327266958308,465.1069420147809,812417.7362306954,0.3698630136986301
0x22ca19f13c5979d93bbe7b082e8e084a6c7b2511,207,0.003337686837904513,0.1820580474934037,36,238.5,1015.0,0.8611111111111112,3.3899973973775968,740.2211371517624,1149381.742835921,0.5314009661835749
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,167,0.002692723197729728,0.017352452202826267,51,256.0,1052.0,0.6274509803921569,1.8854541830115534,455.7590445418274,628209.4249268675,0.23952095808383234
0xf6687cd56aec1a0faaba12feb6781398ab47fb21,149,0.0024024895596510745,0.16855203619909503,96,347.0,1302.0,0.65625,1.7765886523639827,490.7281226500278,625389.1214338008,0.18120805369127516
0xd9c500dff816a1da21a48a732d3498bf09dc9aeb,113,0.0018220222834937681,0.03911388023537556,44,80.1,770.5,0.75,0.5249625754448344,120.89065922542346,369723.55619916675,0.36283185840707965
0xe0ad8db26ea39ac29fe31b3621dd31c8ee9aefc8,97,0.001564036827423854,0.22401847575057737,15,,,,1.907660434102269,190.74049688502504,336676.3357669336,0.6494845360824743
