grid_ms,mass_pre,mass_post
0.0,0.0,0.0
10.0,0.8335217506645931,0.642365906811009
20.0,0.024754361265336252,0.02416704274351398
30.0,0.006179204055922272,0.006803966719646561
40.0,0.0014929744224247924,0.003572748932316381
50.0,0.00037904528681514894,0.0012627789149766524
60.0,0.00015119320496108317,0.00030979505264724304
70.0,3.3515052315682805e-05,0.00011135165805075573
80.0,3.078676999103461e-05,3.421721689169027e-05
90.0,1.21552823291808e-05,2.5151466927076167e-05
100.0,1.1093675409413506e-05,1.103327373071652e-05
110.0,7.346101127526868e-06,6.32428403797438e-06
120.0,3.970808623396777e-06,6.717224950060198e-06
130.0,2.8676592294151146e-06,4.088894584854452e-06
140.0,2.137755724985298e-06,2.075572557434073e-06
150.0,1.4755472995910008e-06,1.0431224532075697e-06
160.0,9.507911894951799e-07,4.868102069209523e-07
170.0,3.3431020170032136e-07,2.791762163255496e-07
180.0,1.4821222302860636e-07,1.6925856784985972e-07
190.0,7.864045210361239e-08,1.4240104026849398e-07
200.0,9.689806004414843e-08,6.804222728748973e-08
210.0,4.8905245415918074e-08,6.311885980362595e-08
220.0,5.980704532720801e-08,4.2886583027480536e-08
230.0,3.4812041699375534e-08,3.696969662016761e-08
240.0,3.335718802280446e-08,3.441058867911589e-08
250.0,3.967155665549134e-08,4.308793209120995e-08
260.0,3.240492568090864e-08,4.6046466393369946e-08
270.0,2.7775039388595378e-08,6.995231914584504e-08
280.0,2.4212451132286492e-08,6.534072749882922e-08
290.0,1.6340881375515966e-08,6.693253520906514e-08
300.0,1.4889205859820186e-08,1.3601863453757924e-07
310.0,2.3244585381621808e-08,1.431688576845356e-07
320.0,2.993391553413006e-08,1.8576663076748118e-07
330.0,2.0021024489508948e-08,1.310998531583926e-07
340.0,1.4432259508350957e-08,1.6566166012095562e-07
350.0,1.2857816402290688e-08,1.707900131354e-07
360.0,2.2963012764420906e-08,1.8323585340927934e-07
370.0,1.502913598514733e-08,1.430960477129076e-07
380.0,1.1860334917948713e-08,2.90618787120315e-07
390.0,6.396260699722931e-09,3.4032515078918617e-07
400.0,3.979595284613968e-09,1.5581316837263118e-07
410.0,2.8557612794069454e-09,1.816837606531023e-07
420.0,1.113007118235345e-09,2.7832269756662455e-07
430.0,1.2152619594873085e-09,2.921235798887392e-07
440.0,7.407583287731769e-10,3.3129993375608896e-07
450.0,8.811579576418619e-10,2.6974227458197555e-07
460.0,6.589353964724771e-10,4.458667292125877e-07
470.0,3.522301076019793e-10,5.500465933825595e-07
480.0,6.062847947539039e-10,4.179216145531682e-07
490.0,7.275181584973717e-10,4.593984544570589e-07
500.0,9.934395021079847e-10,9.987873148428111e-07
510.0,8.003415712462381e-10,1.4845098991597986e-06
520.0,2.9693650870387237e-10,2.4304552575340315e-06
530.0,3.102630975777449e-10,3.4624856703171065e-06
540.0,4.5700668928011763e-10,9.363044637247303e-06
550.0,6.533784439340846e-10,1.4659431029841818e-05
560.0,3.818739979986513e-10,1.3293167109972083e-05
570.0,5.456677719203145e-10,1.5365407917043486e-05
580.0,7.658772335583979e-10,1.578002897289026e-05
590.0,7.643103275149179e-10,1.6823786597755635e-05
600.0,6.826566339036244e-10,1.782188960490076e-05
610.0,5.593610142372832e-10,2.5696333286976677e-05
620.0,3.9116218920527703e-10,4.0417022133507236e-05
630.0,7.316465070789721e-10,3.53233817390775e-05
640.0,8.915643977199036e-10,4.0345150547292935e-05
650.0,1.2371316296220797e-09,4.454247354590476e-05
660.0,1.097446208654749e-09,0.00010784628583204186
670.0,7.593024647051244e-10,0.00020311293357299555
680.0,9.060252982636874e-10,0.00045630558176310503
690.0,8.290073437386027e-10,0.0008700630322160786
700.0,9.249126913553183e-10,0.0014087828440801867
710.0,9.694624501110625e-10,0.0016681572434473794
720.0,1.2403916123991332e-09,0.002198793127418319
730.0,1.161171817057625e-09,0.004269909516055388
740.0,1.3773357649706855e-09,0.00913556669399486
750.0,1.5237193405251234e-09,0.0341125344775426
760.0,1.5453069995369224e-09,0.10257684083945487
770.0,2.339414568492263e-09,0.029863771816364897
780.0,3.750713216103307e-09,0.006424730392458801
790.0,2.3388276094831533e-09,0.002483341763943732
800.0,2.7895253742062815e-09,0.0017518020833270603
810.0,3.6930402013073527e-09,0.0005949782771113441
820.0,5.968368462801792e-09,0.00017818010473906167
830.0,6.088332380181318e-09,8.866057839451461e-05
840.0,9.20966256373049e-09,6.937974601486215e-05
850.0,1.0012034965080695e-08,7.106923683295495e-05
860.0,1.5490049230222497e-08,2.9274250204133655e-05
870.0,1.595906166160694e-08,3.25943841285306e-05
880.0,2.2491515079940026e-08,4.821281157094067e-05
890.0,1.54835799640257e-08,2.6003934611002022e-05
900.0,1.6220448822249295e-08,6.32079711594336e-05
910.0,2.053834317129731e-08,2.8855272731162948e-05
920.0,1.9790687072041804e-08,0.00010003594276240982
930.0,1.776867037467844e-08,9.176575955644607e-05
940.0,2.1773624986357773e-08,9.545219157273804e-05
950.0,1.9819925618716673e-08,0.00015886951680128884
960.0,2.1973383374665854e-08,0.0002011794997450556
970.0,2.7862570898291065e-08,0.0002229453296258285
980.0,3.4140539086527105e-08,0.00015408001957805195
990.0,3.552075634934546e-08,9.599788173520495e-05
1000.0,4.448395436742435e-08,0.00010866623577810816
1010.0,3.7817163701777526e-08,7.435397833360273e-05
1020.0,3.636928443402126e-08,3.0515600590687343e-05
1030.0,4.1854119253148965e-08,1.1693702925851443e-05
1040.0,4.783935092235865e-08,1.1503989707736983e-05
1050.0,5.3452689036207925e-08,3.7474142855029495e-06
1060.0,4.327851369374603e-08,2.855646862904871e-06
1070.0,6.61762263153723e-08,7.604253112522765e-07
1080.0,1.0039188065333045e-07,5.605805175837011e-07
1090.0,1.0452239564465056e-07,8.538331931610487e-07
1100.0,1.355726833176171e-07,6.570626046110147e-07
1110.0,1.4236959295048177e-07,5.078122591744018e-07
1120.0,2.23024852144067e-07,5.760525516542659e-07
