sender,n_arb_strict,share,arb_share_of_own_swaps,n_cex,tau_p10_ms,tau_p50_ms,p_k1,overshoot_bps,arb_loss_sum_quote,volume_quote,share_same_block
0x7cda585e917fecb3a33c6d5a8f8a15dd956694dc,328,0.3656633221850613,0.20538509705698185,221,254.0,884.0,0.4253393665158371,1.5452570742957834,0.7762859336923675,305.4532768554045,0.07621951219512195
0x802b65b5d9016621e66003aed0b16615093f328b,240,0.26755852842809363,0.13675213675213677,173,294.2,786.0,0.4797687861271676,1.528197875821668,0.4115087561031314,161.04041434657,0.07916666666666666
0x32564234df8961ae1d640be2cba4aeab54151551,208,0.2318840579710145,0.12659768715763847,102,397.2,3714.5,0.22549019607843138,2.4497631161677713,0.6734076318930586,248.02751252190998,0.004807692307692308
0x278d858f05b94576c1e6f73285886876ff6ef8d2,30,0.033444816053511704,0.08902077151335312,11,,,,2.2354809312986825,0.10583269624505513,40.59640509747294,0.26666666666666666
0xaf30736465dec110ec6ab68d3a22e4b24968401f,25,0.027870680044593088,0.08865248226950355,6,,,,5.162862253669152,0.1770238582866448,57.54132979191395,0.52
0x903b82900b26abfe778efa6a05c088217670ba72,13,0.014492753623188406,0.0948905109489051,9,,,,3.6800532024370582,0.06090942012185413,23.214447791051217,0.0
0xfd7ac7e9dfbb78a0ab17b2476bb890f178120d1d,8,0.008918617614269788,0.125,3,,,,1.3676475872728904,0.015007650757590467,5.757491619884306,0.25
0x22ca19f13c5979d93bbe7b082e8e084a6c7b2511,7,0.007803790412486065,0.030434782608695653,0,,,,5.293957610037739,0.05080612050859963,15.901253577267331,0.8571428571428571
0x3bc367866468d4f80096be899b66ab29d03f2717,6,0.006688963210702341,0.010889292196007259,3,,,,0.5218683625119119,0.004117207799419018,1.6423762501331833,0.0
0x36ffd8e288d819b0a1669ead9d9cbf0febd70ce4,5,0.005574136008918618,0.06578947368421052,4,,,,0.8830464335315641,0.005209813929174548,2.0596661358593606,0.2
0x7ed06b08c179bd6192487a7132fa4617f2b5efc4,4,0.004459308807134894,0.04081632653061224,3,,,,1.0608194263206578,0.007485427160883736,3.00071887154769,0.0
0x645be9306a4577dec01c35586e1e44504bf19d57,3,0.0033444816053511705,0.028846153846153848,3,,,,0.717720902021327,0.0074452223738768345,3.0743908717419,0.0
0x3a1b4d22b94412a258e282d35befb66e86a22cfa,3,0.0033444816053511705,0.3,2,,,,1.181732148916984,0.0061051762481835765,2.434319508006789,0.0
0xe82c715e37f2f2e190dd2ca86fb796cafaf0beff,2,0.002229654403567447,0.25,1,,,,0.5638019129139632,0.0028236233657711832,1.1418071025558898,0.0
0x6d9cb7cbe8fd713bc64530ff70e440d663c15d20,1,0.0011148272017837235,0.25,1,,,,0.3320034824699997,0.000652672226676386,0.261489008358215,0.0
