sender,n_pre,n_post,p10_pre,p10_post,p50_pre,p50_post,d_p10_ms,d_p50_ms,mechanical_d_p10_ms,mechanical_d_p50_ms,ell_q10_pre_ms,ell_q10_post_ms,ell_q50_pre_ms,ell_q50_post_ms,p_k1_pre,p_k1_post
0x32564234df8961ae1d640be2cba4aeab54151551,7311,19725,238.0,170.0,570.0,430.0,-68.0,-140.0,-29.993948928643483,-149.9697446432174,162.98617945095188,124.98012837959536,194.93089725475943,204.90064189797684,0.6899192996854056,0.534702154626109
0x278d858f05b94576c1e6f73285886876ff6ef8d2,278,7477,284.0,220.0,586.0,474.0,-64.0,-112.0,-29.993948928643483,-149.9697446432174,208.98617945095188,174.98012837959536,210.93089725475943,248.90064189797684,0.6726618705035972,0.4632874147385315
0x7cda585e917fecb3a33c6d5a8f8a15dd956694dc,6749,7461,202.0,168.0,564.0,412.0,-34.0,-152.0,-29.993948928643483,-149.9697446432174,126.98617945095188,122.98012837959536,188.93089725475943,186.90064189797684,0.6975848273818344,0.5779386141267927
0x4bce263371ec91da8369fb00a1f344bae2ee5cdb,1116,3526,363.5,113.0,717.0,461.0,-250.5,-256.0,-29.993948928643483,-149.9697446432174,288.4861794509519,67.98012837959536,341.93089725475943,235.90064189797684,0.6021505376344086,0.4852524106636415
0xaf30736465dec110ec6ab68d3a22e4b24968401f,2076,3439,337.0,195.8,723.0,534.0,-141.2,-189.0,-29.993948928643483,-149.9697446432174,261.9861794509519,150.78012837959537,347.93089725475943,308.9006418979768,0.552504816955684,0.37801686536783946
0x3bc367866468d4f80096be899b66ab29d03f2717,1063,3351,234.0,187.0,784.0,490.0,-47.0,-294.0,-29.993948928643483,-149.9697446432174,158.98617945095188,141.98012837959536,408.93089725475943,264.9006418979768,0.48071495766698025,0.4538943598925694
0x6777c00839fe6ccfc84f08a44704108471bb1fe4,2580,2600,635.9000000000001,363.80000000000007,869.0,549.0,-272.1,-320.0,-29.993948928643483,-149.9697446432174,560.886179450952,318.78012837959545,493.93089725475943,323.9006418979768,0.26705426356589146,0.2453846153846154
0xbbbf03817a447451bad374c97a7c7d566471f2fd,312,1961,452.3,242.0,734.0,473.0,-210.3,-261.0,-29.993948928643483,-149.9697446432174,377.28617945095186,196.98012837959536,358.93089725475943,247.90064189797684,0.5416666666666666,0.4558898521162672
0xbce729580490534fdaa5a4306c49c019418e2823,386,895,234.0,133.0,839.5,634.0,-101.0,-205.5,-29.993948928643483,-149.9697446432174,158.98617945095188,87.98012837959536,464.43089725475943,408.9006418979768,0.45077720207253885,0.3318435754189944
0x645be9306a4577dec01c35586e1e44504bf19d57,158,157,370.6,155.8,546.5,352.0,-214.8,-194.5,-29.993948928643483,-149.9697446432174,295.58617945095193,110.78012837959537,171.43089725475943,126.90064189797684,0.8164556962025317,0.7261146496815286
0xf6687cd56aec1a0faaba12feb6781398ab47fb21,54,107,273.7,219.60000000000002,666.5,505.0,-54.099999999999966,-161.5,-29.993948928643483,-149.9697446432174,198.68617945095187,174.58012837959538,291.43089725475943,279.9006418979768,0.6481481481481481,0.42990654205607476
0x7ed06b08c179bd6192487a7132fa4617f2b5efc4,114,80,404.8,147.4,814.0,507.0,-257.4,-307.0,-29.993948928643483,-149.9697446432174,329.78617945095186,102.38012837959536,438.93089725475943,281.9006418979768,0.4649122807017544,0.425
