grid_ms,mass_pre,mass_post
0.0,0.0,0.0
10.0,0.667159379903958,0.6272818853177037
20.0,0.01657005822560505,0.0034827416925208984
30.0,0.0016189991025167888,0.0004006475153181341
40.0,0.0005669279304851796,2.1940091312189896e-05
50.0,8.098054037265792e-05,3.2416967780461415e-06
60.0,1.2026187060483361e-05,2.3996389266597495e-06
70.0,7.71029434761384e-06,3.5556544856996413e-07
80.0,3.876547761231958e-06,7.563310750744352e-08
90.0,2.1863046564454594e-06,2.6308594883408758e-08
100.0,1.5116566940870893e-06,9.259182010990461e-09
110.0,2.2250793845473623e-06,4.044541926287161e-09
120.0,1.0941757588136944e-06,1.915631155200022e-08
130.0,7.231701694043668e-07,4.62146077495261e-08
140.0,6.470735229253603e-07,2.4228557401720465e-08
150.0,2.462313154816471e-07,1.9464016971436153e-08
160.0,9.896954789967864e-08,2.4279360112776456e-08
170.0,3.9815649713962187e-08,4.8879841966866196e-08
180.0,2.3080749881931597e-08,1.2642003273596803e-08
190.0,1.8380328509357054e-08,3.87854619484101e-09
200.0,3.893471709144147e-08,3.891179373917407e-09
210.0,9.388705878899274e-09,7.080387930571668e-09
220.0,2.072384357570138e-08,1.1109708463657245e-08
230.0,3.020061840215157e-08,1.0890261246316164e-08
240.0,1.1265753618779556e-07,2.358860322685936e-08
250.0,1.1583686739975818e-07,4.5276837114246156e-08
260.0,2.470434311683677e-07,1.0649710779726474e-07
270.0,4.5637667606136857e-07,1.942425927675783e-07
280.0,1.0881198905246441e-06,3.8614809527724026e-07
290.0,1.4496307794473562e-06,5.878655448637796e-07
300.0,2.984774000019785e-07,5.440635783143834e-07
310.0,1.5571159983683664e-07,9.394963053341187e-07
320.0,1.9059679844200493e-07,3.5044790525539937e-06
330.0,1.9216580467599649e-07,5.799990671917741e-06
340.0,1.8519797288267789e-07,1.2801196710109781e-05
350.0,1.7448230484807186e-07,3.9300325857841185e-05
360.0,1.3637379813083987e-07,4.7383811655876065e-05
370.0,2.458236063104453e-07,6.161174916594437e-05
380.0,3.899262060646424e-07,5.3751054942295424e-05
390.0,3.655288178663728e-07,0.00010359463461791946
400.0,9.07766246236367e-07,0.0004277777395433928
410.0,1.2368979557596762e-06,0.00045933662375276203
420.0,2.6666423426290364e-06,0.0010945198780134933
430.0,2.0400455028312257e-06,0.002593049048782603
440.0,1.9316375772294046e-06,0.0028998929910603985
450.0,1.527775731208503e-06,0.017059407602062013
460.0,1.6270060743600105e-06,0.14976730011453354
470.0,2.393589596447429e-06,0.016519779831551007
480.0,3.350256440533546e-06,0.004652446421182597
490.0,3.5827289828795123e-06,0.0018270297722234544
500.0,4.010820728781112e-06,0.0005987665009174759
510.0,6.477596175200394e-06,0.00022808115363415408
520.0,1.5506947084963345e-05,0.00015124577232120278
530.0,1.7603744304943715e-05,0.0005200999224961377
540.0,2.9984308115982364e-05,5.3902726180954094e-05
550.0,1.3851321499202276e-05,9.419509776750542e-05
560.0,3.49639645609427e-05,8.024906720988014e-05
570.0,2.708054897684408e-05,1.276484133939447e-05
580.0,4.180973504923853e-05,9.46972738020095e-06
590.0,0.00012494645467512713,2.4580729815591734e-06
600.0,0.00013560258259349644,2.3981728132600448e-05
610.0,0.00016887183005091674,1.7670552874193525e-05
620.0,0.00022587906139545752,5.513394640531778e-06
630.0,0.0003022665093459476,6.131795294986809e-06
640.0,0.00024386495230493139,2.3266325467121922e-05
650.0,0.00023653766369792994,4.9802136851763774e-06
660.0,0.0002607813104371499,1.5554485064429968e-05
670.0,0.0008205678743567598,1.772900040235038e-05
680.0,0.0006450777999669725,1.5284250423683233e-05
690.0,0.0007576976965349642,1.9776554066213925e-05
700.0,0.0019022597015054183,9.501661862601124e-06
710.0,0.0039737611822369175,7.58338600244707e-06
720.0,0.004051744181977515,5.320729894696155e-06
730.0,0.00689303999837444,5.854621202914168e-06
740.0,0.011845884299561927,2.1946086659981213e-06
750.0,0.040678093239149456,1.260755040086606e-06
760.0,0.09707258923135273,1.7494437984196155e-06
770.0,0.01634190282290507,1.1748240996340612e-06
780.0,0.003282728969565141,1.1500206078031659e-06
790.0,0.0007381996076044469,3.8306089470301524e-06
800.0,0.0007136566372115175,5.373857027354519e-06
810.0,0.0017210240760584493,2.6686045124064372e-05
820.0,0.0005076222924701198,5.854523639045285e-05
830.0,0.00022314313256729853,0.0006460731097444397
840.0,7.84727081445523e-05,0.0011157941976789102
850.0,0.00021671922378044338,0.0007144723452168676
860.0,7.002991242876406e-05,0.006097261910405754
870.0,0.00012079957593886983,0.003444626235306968
880.0,0.00023610529638132494,0.003064471860049754
890.0,1.1219617504484616e-05,0.004394310134493309
