sender,n_pre,n_post,p10_pre,p10_post,p50_pre,p50_post,d_p10_ms,d_p50_ms,mechanical_d_p10_ms,mechanical_d_p50_ms,ell_q10_pre_ms,ell_q10_post_ms,ell_q50_pre_ms,ell_q50_post_ms,p_k1_pre,p_k1_post
0xbce729580490534fdaa5a4306c49c019418e2823,45491,53556,173.0,117.0,484.0,347.0,-56.0,-137.0,-29.993948928643483,-149.9697446432174,97.98617945095188,71.98012837959536,108.93089725475943,121.90064189797684,0.9670484271614166,0.8822540891776832
0x32564234df8961ae1d640be2cba4aeab54151551,7808,31918,102.0,81.0,444.0,280.0,-21.0,-164.0,-29.993948928643483,-149.9697446432174,26.98617945095188,35.980128379595364,68.93089725475943,54.90064189797684,0.9601690573770492,0.9324519080142866
0x2fba633d7b9bfe947cfa7d2d86aef05014b41024,14318,18640,157.0,61.0,437.0,222.0,-96.0,-215.0,-29.993948928643483,-149.9697446432174,81.98617945095188,15.980128379595364,61.93089725475943,-3.09935810202316,0.950831121665037,0.9552575107296137
0x7cda585e917fecb3a33c6d5a8f8a15dd956694dc,265,5561,71.4,100.0,289.0,276.0,28.599999999999994,-13.0,-29.993948928643483,-149.9697446432174,-3.613820549048114,54.980128379595364,-86.06910274524057,50.90064189797684,0.9735849056603774,0.9541449379607985
0x6777c00839fe6ccfc84f08a44704108471bb1fe4,1319,2671,56.80000000000001,79.0,395.0,327.0,22.19999999999999,-68.0,-29.993948928643483,-149.9697446432174,-18.21382054904811,33.980128379595364,19.93089725475943,101.90064189797684,0.9082638362395754,0.8764507675028079
0x38fd0494a4c938d999454a8b89103e5afa44edd6,349,758,294.40000000000003,178.4,508.0,313.0,-116.00000000000003,-195.0,-29.993948928643483,-149.9697446432174,219.38617945095191,133.38012837959536,132.93089725475943,87.90064189797684,0.9541547277936963,0.9498680738786279
0x9999b0cdd35d7f3b281ba02efc0d228486940515,145,436,43.4,27.0,314.0,181.0,-16.4,-133.0,-29.993948928643483,-149.9697446432174,-31.61382054904812,-18.019871620404636,-61.06910274524057,-44.09935810202316,0.896551724137931,0.8899082568807339
0x4bce263371ec91da8369fb00a1f344bae2ee5cdb,55,300,270.8,53.500000000000014,618.0,290.0,-217.3,-328.0,-29.993948928643483,-149.9697446432174,195.7861794509519,8.480128379595378,242.93089725475943,64.90064189797684,0.9818181818181818,0.9166666666666666
0xaf30736465dec110ec6ab68d3a22e4b24968401f,107,259,42.400000000000006,28.8,194.0,210.0,-13.600000000000005,16.0,-29.993948928643483,-149.9697446432174,-32.613820549048114,-16.219871620404636,-181.06910274524057,-15.09935810202316,0.9532710280373832,0.9652509652509652
0xf6687cd56aec1a0faaba12feb6781398ab47fb21,89,70,66.80000000000001,84.10000000000001,390.0,278.5,17.299999999999997,-111.5,-29.993948928643483,-149.9697446432174,-8.213820549048108,39.08012837959537,14.93089725475943,53.40064189797684,0.9325842696629213,0.9142857142857143
