sender,n_arb_strict,share,arb_share_of_own_swaps,n_cex,tau_p10_ms,tau_p50_ms,p_k1,overshoot_bps,arb_loss_sum_quote,volume_quote,share_same_block
0xb11a1ae493c8beb4863d491fecffc381842bbe1a,8,0.32,0.5714285714285714,6,,,,5.737643133903684,0.5900440902703964,59.353139663313314,0.0
0x0b04d2eb5da34d118d8b5c31cef911b67d806c88,4,0.16,0.8,1,,,,2.0839537190146284,0.11960930422230392,11.935029557394966,0.0
0x25c3c965e99223bc450ca059ceab89ce9912a3f3,3,0.12,0.13636363636363635,3,,,,1.6933473916462958,0.05042939772936933,4.959461187865188,0.0
0x3cb3fa89b0ebbe7f4a41db519d8241a77f9ae857,2,0.08,0.5,1,,,,1.0121836784871865,0.020542494346606932,2.0451481942541316,0.0
0x9999b0cdd35d7f3b281ba02efc0d228486940515,2,0.08,1.0,0,,,,169.1680152887943,6.044626928057311,247.48888020054193,1.0
0x04e83ec0a8d31844188f0a5b4fdb5ef1d21bcb86,1,0.04,0.2,1,,,,0.10887088262254499,0.06750380127733212,7.11028678600336,0.0
0xad0e2f147a22c391b4d24fe81960a5ce6f8bc40d,1,0.04,1.0,1,,,,7.347457536879352,0.3153202677988459,42.12714554930413,0.0
0x98cb8cc0048defc498e7c885619ce2e236664c46,1,0.04,1.0,1,,,,2.393194877743452,0.016009216655628915,1.5821330157394158,0.0
0x58d3d500213362e2eaa22da20e6f1dc4c88abf49,1,0.04,0.5,1,,,,10.931698411005362,0.07599600279100399,7.2923136729480635,0.0
0xf9afe8b92d6e1f43868420e449373bb37f030ecd,1,0.04,1.0,1,,,,3.7322038595633855,0.0574045265261404,5.85165,0.0
0x1054bb116d34560cc707be0f674d7cfee1dcb557,1,0.04,1.0,0,,,,24.04429163628383,0.18803976741836295,16.829386647851365,1.0
