sender,n_arb_strict,share,arb_share_of_own_swaps,n_cex,tau_p10_ms,tau_p50_ms,p_k1,overshoot_bps,arb_loss_sum_quote,volume_quote,share_same_block
0x32564234df8961ae1d640be2cba4aeab54151551,12277,0.4600712010492786,0.515905366222633,7869,470.80000000000007,1218.0,0.6440462574660059,1.0143924197575147,73767.74852887617,118264654.97876269,0.003991203062637452
0x802b65b5d9016621e66003aed0b16615093f328b,4720,0.1768783961026794,0.19266092493571166,1552,470.5000000000001,1288.0,0.6585051546391752,0.6597402704706383,12749.453766465333,23644962.441385917,0.361228813559322
0xaf30736465dec110ec6ab68d3a22e4b24968401f,4705,0.17631628255574291,0.46095816596453415,1538,894.1,1611.0,0.4466840052015605,1.6298531207134277,36745.550860035466,64744080.01109568,0.32709883103081827
0xba53da030f3504db8cf0309bb89791950d0ce5e6,3186,0.1193929173693086,0.17763157894736842,1641,594.0,1338.0,0.6020719073735528,0.35125972642391057,6188.07540622746,11833327.218895089,0.00031387319522912746
0xbddbcbaa9cf9603b7055aad963506ede71692f12,865,0.03241521454000375,0.46934346174715136,387,420.2,1576.0,0.4728682170542636,0.460736067764661,2738.440573980203,5483376.466790776,0.3260115606936416
0x4d93ce2e938724381600bc61469a6de798e87cb6,228,0.008544125913434513,0.060445387062566275,104,696.7,1307.0,0.7211538461538461,0.8916999406188644,1135.2372568230048,2199740.9397590053,0.11403508771929824
0xf6687cd56aec1a0faaba12feb6781398ab47fb21,134,0.005021547685965898,0.09483368719037509,57,225.4,1137.0,0.6666666666666666,0.21709621197447085,194.37328288667118,388302.6313523444,0.3208955223880597
0x27f9f6fda8f78bc50c8f51289114f727b8c0a8b8,79,0.002960464680532134,0.12061068702290076,27,260.0,2581.0,0.3333333333333333,0.23087759719534248,150.15205917973512,305903.59798887983,0.20253164556962025
0x7b1f9eb7ab8cbdb1ce2cd96d74234c75c2fd028c,58,0.0021735057148210605,0.13488372093023257,31,1000.0,1554.0,0.41935483870967744,0.3583603618253615,119.72114417205303,227721.25769880824,0.0
0xe0ad8db26ea39ac29fe31b3621dd31c8ee9aefc8,54,0.002023608768971332,0.19148936170212766,7,,,,0.7620572618254866,198.2016926247134,375472.7703250929,0.7777777777777778
0x000000000008d5760657dd664c7096897e1ae801,49,0.0018362375866591719,0.010755048287971905,7,,,,0.039400518362686,22.023884790219885,45438.39596974418,0.24489795918367346
0x2d3b5ca3e5ff50b12cd9d58216abaaa6b3836443,46,0.0017238148772718755,0.26744186046511625,21,444.0,1601.0,0.38095238095238093,0.21509388782211442,81.04349269807761,162619.83879732853,0.043478260869565216
0x901c6931ddcba1e639a40e68265be791784cd2c0,40,0.001498969458497283,0.1932367149758454,25,333.8000000000001,1246.0,0.64,0.9453619644422583,243.62269338272023,497314.16774272127,0.025
0xe82c715e37f2f2e190dd2ca86fb796cafaf0beff,25,0.000936855911560802,0.048828125,5,,,,0.017835927883540385,3.8392573502640173,7693.4755533699945,0.04
0x22444f9024367c1313613d54efa31f0aaf8627d7,19,0.0007120104927862095,0.03356890459363958,4,,,,0.08669325452997481,14.21472074015469,28703.937853816962,0.2631578947368421
