grid_ms,mass_pre,mass_post
0.0,0.0,0.0
10.0,0.9367103319156491,0.8773960607004887
20.0,0.016575424551804222,0.002797989934965142
30.0,0.00023968034397371432,0.00028220806096545533
40.0,2.9421664999310282e-05,1.0073445135769792e-05
50.0,1.5546954802970804e-05,4.4342428752747973e-07
60.0,9.534082772333698e-06,1.0149428190391442e-07
70.0,1.8618345345121517e-06,1.6420566118833434e-08
80.0,1.4233923714926597e-06,7.387642968184115e-08
90.0,2.4334359764857854e-08,1.4294998276299842e-07
100.0,3.0936998202124223e-09,7.632136442161728e-08
110.0,4.991030851357389e-10,1.2675486679019218e-08
120.0,1.1899689466250082e-09,7.82374294850507e-08
130.0,9.036143693024958e-11,3.705041401793756e-08
140.0,1.4873685088267277e-11,2.4977277780438977e-08
150.0,5.105306521265542e-11,1.5287036767226698e-09
160.0,8.755728758333454e-13,4.164618088165179e-10
170.0,2.9057603198883806e-12,6.302076825161587e-11
180.0,2.9767594101713755e-12,1.5627643895972566e-10
190.0,1.496838247056046e-12,2.977756475708063e-11
200.0,1.309140088690634e-13,1.0159448508840842e-11
210.0,8.183723290187458e-15,9.769672235367912e-12
220.0,3.9270930353704744e-16,7.925663518245706e-12
230.0,7.493253415837457e-18,2.151029226809212e-11
240.0,2.4854886762019257e-18,3.975613625703797e-11
250.0,1.4128462700548813e-19,2.8665184275709268e-11
260.0,2.3954983200614746e-20,1.4074969623766197e-11
270.0,7.270930541796261e-22,5.6957590536962556e-12
280.0,1.1094999169026958e-21,4.706514145908107e-13
290.0,4.237327769534675e-21,1.0612955582789135e-12
300.0,3.844692509409565e-20,1.222508440867045e-12
310.0,2.5703280135521674e-19,4.0590143036540216e-13
320.0,6.137778855000945e-20,4.900305454241841e-12
330.0,1.3033735861957613e-19,1.2927080593479357e-12
340.0,1.436233901133498e-19,1.201095805228596e-12
350.0,5.184344575649835e-20,2.42130065057888e-13
360.0,2.8663944701094134e-21,8.764971344460735e-14
370.0,3.6950334628840146e-20,3.099068489563962e-13
380.0,3.206185884817338e-20,2.389421526381102e-12
390.0,7.643083880900414e-21,1.6426331600178047e-12
400.0,9.026700812354308e-20,6.202068307876759e-11
410.0,3.837661659765909e-18,4.479390210064506e-11
420.0,3.334715266714684e-19,2.4988821744007353e-10
430.0,1.8299569936512906e-19,2.7250117874630606e-10
440.0,6.131742655250609e-20,2.4667117939944973e-10
450.0,5.1550585161896306e-21,3.12046303800506e-10
460.0,2.7780935777970965e-20,4.926273654380104e-10
470.0,4.509613252030541e-21,6.974302993578882e-10
480.0,4.0375171597717525e-22,1.6569816474313752e-09
490.0,2.2153565934674596e-21,8.806095528893073e-10
500.0,6.633253628352142e-20,9.873524791910147e-10
510.0,7.16348035751556e-21,2.499703645765828e-09
520.0,5.451779665378303e-22,9.085423153415713e-09
530.0,6.722172771663896e-23,4.868489515659874e-08
540.0,6.168706814294e-22,2.2527322805682596e-08
550.0,2.0599134248948344e-21,5.0348895066169896e-09
560.0,2.5642302596701333e-22,2.1652072095159368e-09
570.0,1.3047100579037538e-21,2.454355421139574e-09
580.0,1.0811221737502428e-20,2.287978926528567e-09
590.0,5.4698178415906544e-21,1.9899004826892336e-09
600.0,7.452119337752716e-22,1.3262376794534987e-09
610.0,9.387991060086676e-22,2.1472154199269296e-09
620.0,9.215854237345496e-22,2.281919353140605e-09
630.0,1.3495726343167042e-22,1.5664747984330852e-09
640.0,3.5210741350274707e-23,2.3091438965858937e-09
650.0,1.0814492722959759e-23,3.2660832268315397e-09
660.0,1.2596477967138422e-23,1.9565475044739936e-09
670.0,7.772503495278446e-23,2.3731309033812703e-09
680.0,1.1636477408499113e-22,3.134620824800712e-09
690.0,1.4211244985627383e-23,5.722656840998488e-10
700.0,3.3730314333257284e-24,5.770591900169915e-10
710.0,8.65879406093472e-23,2.2200841643199896e-10
720.0,1.1933351980147401e-22,1.465514324240546e-10
730.0,2.149024910599703e-21,2.3128139012845488e-10
740.0,1.9498166809359304e-20,1.3551060997977271e-09
750.0,4.057243779197501e-21,9.369268856701553e-10
760.0,7.147369008610176e-21,2.208587572509857e-09
770.0,2.2412607282938443e-21,1.0911146620459492e-09
780.0,1.1308993392999907e-19,1.7244996498675166e-09
790.0,1.4284736663083031e-19,1.1570649264987885e-09
800.0,3.4698857678327195e-19,3.0101542636546154e-09
810.0,1.1043576611298175e-19,3.989911848023732e-09
820.0,6.928948242751229e-17,2.466262727854528e-09
830.0,5.005397874223283e-16,1.9459374277977755e-09
840.0,7.988960067404331e-16,1.14297700570549e-09
850.0,2.4164806667498057e-16,8.291868880713032e-10
860.0,2.593695547543552e-16,3.496483393097414e-10
870.0,3.4986194141234226e-17,4.958887591779507e-10
880.0,6.97645389091702e-18,6.463785263661179e-10
890.0,1.2180744746185147e-17,1.564240616916478e-09
900.0,1.3367486900897544e-16,1.5952537758481186e-09
910.0,2.5098198882135312e-15,2.264638087383543e-09
920.0,2.6439895065102733e-14,1.8860619295209153e-09
930.0,1.6274203247213019e-12,1.0743278382616663e-09
940.0,4.689119255080377e-13,2.1286546057076313e-09
950.0,1.6996425813296196e-13,4.2424535153875345e-09
960.0,5.676194232352851e-14,6.348334355335331e-10
970.0,8.360851950235718e-14,1.4329517582061522e-09
980.0,1.878466523863491e-14,4.1304142273807694e-09
990.0,4.808351743449139e-14,1.9224278585316977e-09
1000.0,7.256892146785037e-15,4.519367026841717e-09
1010.0,4.1709474603871454e-15,1.5563766912059924e-09
1020.0,8.285357469438948e-14,1.0902841420618959e-09
1030.0,1.0032652252290078e-12,1.0713885295507932e-09
1040.0,4.2598711964298427e-13,6.143222283671053e-10
1050.0,9.27012578915593e-13,8.343912360826353e-09
1060.0,5.137369278701024e-11,3.360419505165382e-08
1070.0,2.2053519055343352e-11,4.078598278892843e-08
1080.0,4.757113905395044e-11,3.260978194990186e-08
1090.0,1.8902175378767123e-11,2.8648422973028983e-07
1100.0,7.489268706617693e-12,3.481808385632717e-07
1110.0,2.5337728072211066e-12,1.1800502469179333e-06
1120.0,8.111072311123571e-12,6.083866917345159e-07
1130.0,2.012447033012245e-12,1.98248740361973e-07
1140.0,2.40402573075071e-11,3.111579923024998e-07
1150.0,1.0294109899208962e-11,1.8859651057414342e-07
1160.0,4.397324162176212e-12,7.2302958447393e-08
1170.0,1.1174935046944312e-11,1.0497939982987249e-07
1180.0,2.437642264267244e-10,1.801719510058303e-07
1190.0,7.131465262005099e-10,1.1393219246162888e-07
1200.0,2.2707953802829215e-10,2.414044027477184e-07
1210.0,8.392068457622398e-11,3.1047244164501566e-07
1220.0,3.89341418235237e-11,9.561647692442168e-07
1230.0,1.8201739103933283e-10,8.131597979338623e-07
1240.0,9.136055677225603e-11,5.626077782938624e-07
1250.0,4.5784108068624386e-11,2.9914969691682025e-06
1260.0,1.6829675851744275e-11,8.14776193004963e-06
1270.0,1.9955568004793908e-09,1.5287947675484518e-05
1280.0,5.4034119315556825e-09,3.548875883380083e-05
1290.0,1.869849772497943e-09,4.8297070942152274e-05
1300.0,5.071856699519223e-09,1.8085435871601677e-05
1310.0,1.8552204367231407e-08,3.897934974969114e-05
1320.0,7.499364325513526e-09,0.00012304090310357046
1330.0,8.849373456312752e-09,0.0005053507414065274
1340.0,3.5678196856832743e-09,0.0011778584806975577
1350.0,1.1275665055640456e-08,0.0008768260374368114
1360.0,3.054286879652605e-08,0.00047609481782251537
1370.0,1.1458207734304964e-08,0.0006314117994441286
1380.0,7.279741652929296e-09,0.0010827086020497292
1390.0,2.9322479546768885e-09,0.0022248609766058716
1400.0,1.177703237140401e-09,0.0027256303234021893
1410.0,5.090734987360211e-10,0.001278011745100403
1420.0,3.4742951481197173e-10,0.0015975023088616608
1430.0,1.74455457348157e-10,0.0020607561458882485
1440.0,6.944817619940229e-11,0.002584997052938835
1450.0,2.8259860681432506e-10,0.0022244111960301426
1460.0,1.4181232816698285e-10,0.002020291801769348
1470.0,7.672460530248024e-11,0.005796400538352066
1480.0,3.838248114691927e-11,0.0027621026602842004
1490.0,2.2370800686376138e-11,0.024024816085548188
1500.0,2.9738145681402454e-10,0.013043570085904184
1510.0,1.3817128765282924e-10,0.019201035453810453
1520.0,9.41111532482816e-11,0.003967486220007869
1530.0,3.29631866646241e-10,0.00035364684951735327
1540.0,1.240005651308362e-09,1.859713318430986e-05
1550.0,4.300757126454725e-09,2.0818252194648357e-05
1560.0,1.183443851183029e-08,2.3255231400413666e-06
1570.0,6.965433624091822e-09,5.1195998152526406e-05
1580.0,2.5959115484005814e-09,1.5367155117953219e-06
1590.0,9.640698339438636e-10,2.5669393221939645e-08
1600.0,7.103028135567763e-10,5.168333997958544e-07
1610.0,2.8873720458822485e-09,1.9154278753654392e-07
1620.0,1.1666024613915985e-08,1.2039785909087871e-08
1630.0,2.9802045968038604e-08,2.5389965604996118e-08
1640.0,1.8940840836975532e-08,9.482689836494158e-08
1650.0,6.540555421977787e-08,1.7174683133091226e-06
1660.0,3.859161051117086e-08,5.0327041992097174e-08
1670.0,1.331198732088e-07,4.1701312834215834e-08
1680.0,2.7064553834483465e-07,1.3152796281326197e-08
1690.0,1.8598054343700133e-07,3.3462704125872074e-09
1700.0,1.2774023676208464e-07,2.02599796500389e-10
1710.0,2.0805248297498433e-07,1.3554941210990064e-09
1720.0,6.729019535891468e-08,3.6151697354409905e-11
1730.0,4.6141797788500114e-08,7.699859719111235e-12
1740.0,2.520383593867835e-08,8.400375381371334e-14
1750.0,1.0149074087324998e-08,1.3536724921704857e-14
1760.0,5.524933286484354e-09,4.975978892666633e-15
1770.0,3.003584956352045e-09,1.2836908426490997e-13
1780.0,1.760173079628944e-09,1.6631667957724665e-12
1790.0,8.438782968004782e-09,1.1979240660206268e-11
1800.0,5.3460315040025645e-09,3.687333002008699e-10
1810.0,3.1356462191824868e-09,3.1637518486823597e-10
1820.0,1.7020177810776396e-09,7.020487436994383e-12
1830.0,7.329811262608371e-10,2.6676608277641714e-11
1840.0,2.820030966764251e-09,1.0070057305660387e-12
1850.0,2.0773059863417324e-09,8.811054445112034e-12
1860.0,1.2157043538902319e-09,1.1318084555170719e-12
1870.0,9.659932421666861e-10,1.271047715499224e-12
1880.0,7.674400057472113e-10,9.167535562796938e-14
1890.0,4.482834399014157e-10,7.495465094796516e-15
1900.0,3.2955109637662973e-10,1.3027789680090866e-17
1910.0,1.7791236272604144e-10,5.24528216570809e-17
1920.0,6.936087376773575e-10,3.3996850953649254e-18
1930.0,2.4902055366917133e-09,1.6420765524367503e-19
1940.0,1.8334098686255908e-09,2.766814985217892e-19
1950.0,1.0719838662211175e-09,1.1052696821929778e-18
1960.0,5.797390723346436e-10,3.3912129028931714e-20
1970.0,5.797390723346436e-10,1.1770043334726988e-20
1980.0,4.9706164904645e-10,1.2693390174010007e-20
1990.0,3.6530910018808663e-10,1.0550593600917886e-20
2000.0,1.9710257279810057e-10,5.58445311359677e-21
2010.0,6.0015610660664726e-09,6.690183321514187e-20
2020.0,2.319060704725398e-08,9.424733101645572e-21
2030.0,1.1182804849703085e-07,1.5202195035469333e-20
2040.0,7.100679863292109e-08,2.589296254255481e-21
2050.0,5.243397266367822e-08,4.300621816795407e-19
2060.0,2.1067011912499078e-08,4.2717878849023423e-17
2070.0,1.5533892975604585e-08,2.273591495974793e-17
2080.0,5.755840075243052e-09,2.6079066742280007e-18
2090.0,2.2405684837501984e-08,2.3492036421915604e-17
2100.0,2.076157682643728e-08,2.689574167824008e-18
2110.0,1.2170517394709676e-08,3.027960922195592e-19
2120.0,6.600902628654045e-09,2.4710454074743966e-19
2130.0,3.5745895850534932e-09,6.59868280739977e-20
2140.0,3.0657065257268844e-09,4.617462266146465e-21
2150.0,2.434557227680971e-09,3.150555335472148e-22
2160.0,1.4037225950873574e-08,3.9983997187222447e-22
2170.0,9.57673901868886e-09,4.186650154728409e-23
2180.0,8.87108944622683e-09,1.977272145361062e-21
2190.0,5.6018275920986665e-09,7.061981632086205e-20
2200.0,2.4060123407029796e-09,1.8660878900222007e-20
2210.0,1.7680952778013254e-09,5.693067833494538e-20
2220.0,9.519083503527274e-09,8.116327547894803e-19
2230.0,8.166082975811396e-09,4.715050103723147e-18
2240.0,2.6890981573119993e-07,8.97287793851817e-20
2250.0,2.4928073056142023e-07,1.7457362373093855e-19
2260.0,2.142059559752978e-07,5.763894300303926e-20
2270.0,8.342356083010917e-07,1.121397227122861e-19
2280.0,4.555461193890003e-07,4.737856137660148e-18
2290.0,2.396556188182885e-06,9.989241658549903e-17
2300.0,1.6440852070204532e-06,7.293569869988733e-18
2310.0,1.1272088000454396e-06,3.761196542735943e-18
2320.0,1.0451825627469819e-06,1.12116326852839e-17
2330.0,7.1612525009558e-07,3.002241791465239e-18
2340.0,3.1100339386353044e-07,5.773956217556277e-18
2350.0,2.126502597923841e-07,3.835711046809008e-15
2360.0,1.346420210410684e-07,1.6195538517891416e-15
2370.0,1.0710018024381473e-07,1.9961168869106526e-15
2380.0,4.972143244715419e-07,1.69221000802696e-14
2390.0,2.125994851351405e-06,8.823252685554092e-15
2400.0,1.8275084206009664e-06,2.4207367539627597e-15
2410.0,9.073036581437636e-06,1.3945000624118811e-13
2420.0,4.603170569088544e-06,2.6740705893969247e-12
2430.0,2.9246005433917984e-06,7.609861076455263e-12
2440.0,2.1602880409102446e-06,6.110081002284493e-12
2450.0,1.5950644691724605e-06,7.477275369024562e-12
2460.0,8.06129922196812e-06,4.9189712756380074e-11
2470.0,5.958964680408017e-06,1.662058185447141e-09
2480.0,3.249509945591144e-05,8.860359326017787e-10
2490.0,0.00013091223229833094,3.7655428853075935e-09
2500.0,9.000373331609346e-05,3.0503651126584365e-09
2510.0,6.183961772110891e-05,1.3300079242559132e-09
2520.0,3.9381490143046194e-05,3.8106170948617773e-10
2530.0,3.652516487449377e-05,1.0854333214158705e-10
2540.0,2.7020694223485304e-05,4.700096248253652e-10
