grid_ms,mass_pre,mass_post
0.0,0.0,0.0
10.0,0.8574265633703337,0.6527067362639071
20.0,0.009679139203160417,0.029034855892218856
30.0,0.006313062148759705,0.002746489609542675
40.0,0.0015070710175295865,0.0020062231032283995
50.0,8.24040626126017e-05,0.0003122267236201809
60.0,0.0001276166451825715,8.841454193909771e-05
70.0,6.777643381345959e-06,0.0001823882134957237
80.0,1.0148360599441417e-05,2.019677150459703e-05
90.0,1.0994198624300923e-05,3.918189001836481e-06
100.0,5.1114100513729935e-06,1.1608610292449117e-06
110.0,5.387571224822088e-06,6.491246273842048e-07
120.0,2.3148162389027036e-05,3.1216237101600043e-07
130.0,0.00010564849881916868,7.91810870604951e-08
140.0,6.929478175961487e-05,1.8560231032330096e-08
150.0,0.00011972088013724001,7.236434146225357e-09
160.0,4.667308963731609e-05,6.939693906944156e-09
170.0,2.7713668067139895e-05,6.431219574510696e-09
180.0,1.9709848453527176e-05,4.774023794550387e-09
190.0,1.4642642853272383e-05,2.4729335911935225e-09
200.0,1.306615750322169e-05,3.25341464018128e-09
210.0,2.2727543733520985e-06,7.432079184540488e-09
220.0,6.087750290377572e-06,9.218456800604681e-09
230.0,9.561816947511208e-07,9.631178207534936e-09
240.0,6.424018852989251e-07,1.7813533123167772e-08
250.0,1.7691065127675375e-06,6.463428361018222e-08
260.0,4.6572038774788043e-07,3.224364572030898e-08
270.0,6.051297125434565e-07,1.3785826295488405e-07
280.0,6.703755030907638e-07,8.677716574118256e-07
290.0,2.746831883372313e-06,2.9394124608434535e-06
300.0,6.678390661321246e-06,6.536650121511734e-06
310.0,2.025695263730388e-05,5.131040441576821e-06
320.0,1.475796540529595e-05,5.947766956754988e-06
330.0,9.642174672340546e-06,2.32160072788958e-06
340.0,1.840424539188563e-05,3.3632335431018914e-06
350.0,1.5207426384991188e-05,2.692611762779458e-06
360.0,6.194037956918149e-06,2.110564877342413e-06
370.0,1.69074167481117e-05,1.6343545536991499e-06
380.0,9.7798885040164e-06,3.441753127996943e-06
390.0,3.2275829718996015e-06,1.9098882858595427e-06
400.0,9.104189680117966e-07,2.2266878919026305e-06
410.0,1.0361808682192972e-06,1.2695973047825577e-06
420.0,1.5951339641284933e-07,1.8038784311073957e-06
430.0,7.126406403154874e-07,1.517335650944927e-06
440.0,2.2640806171500045e-07,3.2510875674366823e-06
450.0,8.353073846131203e-08,3.382443447112153e-06
460.0,2.0911532738018006e-08,6.934787187255566e-06
470.0,6.71969180420631e-08,2.6513160951154976e-06
480.0,2.0347123188926884e-08,2.244126099351259e-06
490.0,4.344750374852068e-09,2.21855793697861e-06
500.0,3.835175269810907e-09,1.30593198540399e-05
510.0,7.268974029741562e-09,2.0001337588867346e-05
520.0,4.7340499086777894e-09,1.975460818162683e-05
530.0,3.5912502379605016e-09,6.415916201033845e-06
540.0,5.047687940710489e-09,1.3548434834362261e-05
550.0,7.376757386589281e-09,9.57976920886059e-05
560.0,5.408052434980605e-09,3.806922720559135e-05
570.0,1.4088296332783066e-08,3.9637065412405364e-05
580.0,1.2540450801496795e-08,2.9768383574803735e-05
590.0,3.262753342723302e-09,4.14790591537399e-05
600.0,1.4512219355781557e-09,2.1480803261851322e-05
610.0,9.132946614187255e-10,2.509338817895397e-05
620.0,8.469401554126929e-10,5.372066116279459e-05
630.0,1.03152058829834e-09,2.871452469766685e-05
640.0,7.898569848249355e-10,3.6668603760054933e-05
650.0,3.3720072438095215e-10,1.4518953396771135e-05
660.0,1.0530469593211422e-10,2.3250732041896596e-05
670.0,3.1526547679356183e-11,2.7833522404674606e-05
680.0,3.4317527398703425e-11,0.0001604057874785855
690.0,2.427125680273393e-11,0.0003383165389738325
700.0,4.3994857071191875e-11,0.0006735581889960577
710.0,1.4207923259385949e-11,0.002056138475039962
720.0,7.041312442023802e-12,0.0018848292595326395
730.0,6.56173802146807e-12,0.006182602301678293
740.0,1.3425785782695714e-11,0.006822348647119243
750.0,4.559219616632796e-11,0.023510407261467116
760.0,3.485267594583451e-11,0.10619877567904491
770.0,1.8012280958093656e-11,0.023594869791726564
780.0,3.825368454162582e-10,0.01034855504162063
790.0,3.29353206169749e-10,0.0031469549001662735
800.0,1.2044816088616087e-10,0.0012983409874750059
810.0,6.478811787850612e-10,0.0015990364608486913
820.0,1.125370785462213e-09,8.848476242811511e-05
830.0,5.423472658607995e-10,0.00033325051084567294
840.0,8.068351362645675e-10,0.0005380084244002431
850.0,2.711186437150147e-09,0.001018233560673164
860.0,2.6328713040946427e-09,0.000240542696708817
870.0,7.672218171342066e-10,6.580301132818562e-05
880.0,8.393754363700326e-10,4.1634834853108494e-05
890.0,6.99433285266471e-10,1.864013007861546e-05
900.0,5.7380297524919935e-09,8.529002268848582e-05
910.0,7.915420809508451e-09,2.325524287996435e-05
920.0,5.661211831435784e-09,0.0005767455657401296
930.0,3.598930569830998e-09,0.00016647612806549973
940.0,1.3815371849886396e-09,0.0002940177578921984
950.0,3.0609696611983355e-09,2.3154850057773303e-05
960.0,3.501877376750415e-09,7.995852514104458e-06
970.0,2.3233569086173823e-09,2.0805173576836242e-05
980.0,4.226314778214745e-09,9.459217386251546e-06
990.0,8.993282676990412e-09,2.474725297290932e-05
1000.0,1.5141268989749548e-08,2.1314477526318997e-05
1010.0,2.993970746948451e-08,1.7061250589491545e-05
1020.0,5.2157121961525045e-08,1.7524903647760267e-06
1030.0,7.47977431841773e-08,3.366616393479811e-07
1040.0,7.584476659575389e-08,2.0687606257799545e-07
1050.0,4.3654807643969164e-08,1.642915674126157e-07
1060.0,1.2904860346334316e-08,1.687340549009742e-07
1070.0,2.1805941761110763e-08,6.030611245726884e-08
1080.0,3.0444995945246994e-08,9.103067522837177e-09
1090.0,1.3868970187069237e-08,4.944959540336301e-09
1100.0,5.8411759050806565e-09,6.77839371898463e-09
1110.0,7.586332918911257e-09,1.3835264034192299e-08
1120.0,1.0245518950635319e-08,2.8587233341960612e-08
1130.0,1.3846163022217971e-08,4.3319774741032565e-08
1140.0,8.915629416025704e-09,1.9110079447317402e-07
1150.0,1.4076796048692275e-08,1.5633887537353312e-06
1160.0,3.5685010195155373e-08,2.7048774451838083e-07
1170.0,7.999464786345112e-08,5.365347379103399e-07
1180.0,1.3729410777646063e-07,7.409122151288413e-07
1190.0,1.8623766778604225e-07,2.9605545823308267e-08
1200.0,4.505025913131836e-07,7.87793916416543e-08
1210.0,7.399711410256742e-07,1.1536335400632778e-08
1220.0,1.9150331668633757e-06,1.0579683025536483e-08
1230.0,1.6928853609783654e-06,1.40275897560549e-07
1240.0,1.8279691804691094e-06,1.4015653910712687e-07
1250.0,1.9778025562523424e-06,2.102429435982327e-08
1260.0,2.4937616063867417e-06,8.884083941581917e-09
1270.0,2.2782247871338713e-06,8.549819705562587e-08
1280.0,3.07549905168801e-06,9.585877521417845e-07
1290.0,4.958615334257882e-06,8.356217764347982e-07
1300.0,3.3660518208900444e-06,3.7051081177725573e-07
1310.0,1.7313321145028069e-06,8.500330984307424e-07
1320.0,1.9523946482888202e-06,5.2297654754092886e-06
1330.0,2.8729560302360696e-06,1.998209041687688e-05
1340.0,7.289962212179335e-06,0.00010778763625503496
1350.0,1.7478421458586253e-05,6.865446680769224e-05
1360.0,1.0730152818922216e-05,0.0002699341347095713
1370.0,8.909343007845057e-06,0.0012588890426353814
1380.0,1.4925169034798605e-05,0.005074973539800032
1390.0,3.143660169733379e-05,0.002015357726945934
1400.0,2.7916398011532324e-05,0.0011109870019922064
1410.0,8.489297067847007e-05,0.00011604768121758699
1420.0,0.00013484340928871357,0.004079372170432235
1430.0,0.0013865536509190713,0.0008552367678625233
1440.0,0.0010527414813761766,0.0001006434495181189
1450.0,0.0025920069654214476,0.00014948230680227756
1460.0,0.002602439801550372,0.0008433915283837152
1470.0,0.0024985052149196652,0.0051897150666505775
1480.0,0.0038074043080307905,0.006997628911666466
1490.0,0.008083704326576801,0.0032051343168438533
1500.0,0.019715497859862388,0.011599487748581938
1510.0,0.03282681947806201,0.00998816071925452
1520.0,0.01762724905187246,0.003920704143808219
1530.0,0.0025840829063869366,0.001880730802619133
1540.0,0.0005340271784558238,0.0002427204606241266
1550.0,0.00043632459750569583,0.0031080666943976896
1560.0,2.8029977368070085e-06,0.0006774897270356463
1570.0,9.804365251629192e-05,0.0012363993730945817
1580.0,2.058012523169158e-06,0.0002503522792208957
1590.0,1.6195321666059872e-06,0.0008614702316817987
1600.0,2.611461747082052e-07,4.240090671888714e-05
1610.0,0.0007906325541762617,7.913978187886493e-06
1620.0,0.0006029540504676925,2.0927977352080917e-05
1630.0,2.3923171943509443e-05,8.027090597309722e-06
1640.0,4.5160825098701576e-05,9.395016106078501e-05
1650.0,4.710148804417631e-06,6.030918265354414e-06
1660.0,6.8049887175099415e-06,3.5875143824459664e-05
1670.0,0.00010127256864520494,1.7033554492072543e-07
1680.0,4.031336692826901e-05,1.5874486631477563e-06
1690.0,1.629928385606239e-05,2.71128894650498e-07
1700.0,2.6982263390606926e-05,0.00018122619928518906
1710.0,0.00012169441914579117,9.394210027660241e-05
1720.0,1.0117093228969597e-05,1.1378383685061177e-05
1730.0,1.1616521013704695e-05,9.144722507228498e-06
1740.0,8.311801647196296e-07,6.973527920928907e-08
1750.0,5.845029939565551e-07,3.958684078426729e-08
1760.0,3.5240827608046893e-07,1.0360545629862233e-07
1770.0,2.4324057627043246e-08,1.2960216721240298e-06
1780.0,7.393048202638441e-09,1.3713246856387615e-07
1790.0,8.051647446460928e-10,3.327020392205807e-08
1800.0,1.1998753223459753e-10,1.2268601988134221e-08
1810.0,1.9016679114832924e-12,6.862940543619887e-09
1820.0,6.047881182868214e-12,7.395958123263258e-10
1830.0,1.1027786512507726e-10,1.0762421280236678e-07
1840.0,1.4292648803273894e-11,5.6782939044425406e-08
1850.0,1.2433003514608716e-12,1.0440726349659106e-07
1860.0,5.1870334297371e-12,4.374106451012597e-07
1870.0,3.733599430495262e-12,8.899884655477334e-06
1880.0,2.1739392613385697e-11,6.841929612301793e-07
1890.0,1.7618444369920765e-10,7.639783681471207e-08
1900.0,3.098824934230044e-11,3.949096426118751e-09
1910.0,3.4603098875958204e-10,2.1844269921533267e-08
1920.0,6.150512462010989e-07,3.9360550904918345e-08
1930.0,8.001319724700384e-08,2.973337111926758e-08
1940.0,1.5735746819068874e-07,1.0384224268225398e-07
1950.0,1.6766511924338473e-06,7.634385975623157e-07
1960.0,1.265574274345585e-05,5.669859758592566e-05
1970.0,1.2152049621270113e-06,0.006457876973515206
1980.0,2.237046451802464e-07,0.00011975915514539427
1990.0,3.1929936267659565e-07,9.995570818960996e-05
2000.0,2.944539853440202e-08,0.0005424737688108486
2010.0,1.9269061273848377e-09,0.0005341242912972739
2020.0,6.379938367493486e-08,5.052987530136397e-06
2030.0,3.301795533291649e-08,9.837156164880846e-06
2040.0,6.89850983836816e-08,7.242861710894115e-06
2050.0,4.437657171490283e-09,3.897540928353607e-05
2060.0,4.576089370223044e-09,0.00011567312207708684
2070.0,6.887745461190855e-09,3.092624721410169e-05
2080.0,5.046678175782783e-09,9.678322571377079e-05
2090.0,7.377208387454939e-09,2.9623281720846007e-05
2100.0,1.8532227613337446e-09,1.9941311018926147e-05
2110.0,2.7209152735020697e-09,6.661678607608929e-05
2120.0,2.8274852624856394e-09,3.4470165933617506e-06
2130.0,1.4707323596220472e-09,6.874250463802061e-07
2140.0,1.0817152962745936e-09,7.939733112054454e-07
2150.0,3.184544704699403e-09,8.349469424728294e-05
2160.0,6.618135845657092e-09,0.002357321736120344
2170.0,3.2580257598629024e-07,3.651239039354952e-05
2180.0,2.417795678533352e-07,0.0003876460497338074
