sender,n_pre,n_post,p10_pre,p10_post,p50_pre,p50_post,d_p10_ms,d_p50_ms,mechanical_d_p10_ms,mechanical_d_p50_ms,ell_q10_pre_ms,ell_q10_post_ms,ell_q50_pre_ms,ell_q50_post_ms,p_k1_pre,p_k1_post
0xba53da030f3504db8cf0309bb89791950d0ce5e6,11144,27679,217.29999999999995,143.0,907.0,507.0,-74.29999999999995,-400.0,-75.05920764298752,-375.2960382149376,67.23472271192244,67.99393035491,156.67361355961248,131.96965177455007,0.9833094041636755,0.9141226200368511
0x2fba633d7b9bfe947cfa7d2d86aef05014b41024,2118,8225,460.0,278.0,1093.0,528.0,-182.0,-565.0,-75.05920764298752,-375.2960382149376,309.9347227119225,202.99393035491,342.6736135596125,152.96965177455007,0.9896128423040604,0.9500303951367781
0x6777c00839fe6ccfc84f08a44704108471bb1fe4,258,4643,206.7,115.20000000000005,892.5,562.0,-91.49999999999994,-330.5,-75.05920764298752,-375.2960382149376,56.63472271192248,40.19393035491005,142.17361355961248,186.96965177455007,0.9651162790697675,0.8600043075597674
0x32564234df8961ae1d640be2cba4aeab54151551,2094,3162,280.3,250.20000000000005,827.0,486.0,-30.099999999999966,-341.0,-75.05920764298752,-375.2960382149376,130.2347227119225,175.19393035491004,76.67361355961248,110.96965177455007,0.9828080229226361,0.9323213156230234
0x802b65b5d9016621e66003aed0b16615093f328b,1106,2625,436.0,296.0,893.0,504.0,-140.0,-389.0,-75.05920764298752,-375.2960382149376,285.9347227119225,220.99393035491,142.67361355961248,128.96965177455007,0.9891500904159132,0.9588571428571429
0xaf30736465dec110ec6ab68d3a22e4b24968401f,333,1261,142.2,63.0,751.0,379.0,-79.19999999999999,-372.0,-75.05920764298752,-375.2960382149376,-7.865277288077522,-12.006069645089994,0.6736135596124768,3.969651774550073,0.990990990990991,0.9674861221252974
0x6b3affc894b0d2d566e5ff03ad79188f1b65bfff,67,236,90.60000000000001,63.0,593.0,371.0,-27.60000000000001,-222.0,-75.05920764298752,-375.2960382149376,-59.4652772880775,-12.006069645089994,-157.32638644038752,-4.030348225449927,0.9850746268656716,0.902542372881356
0xc83c288d798cc1322be26482ab05cee5ffd6988c,150,151,414.7,322.0,988.5,524.0,-92.69999999999999,-464.5,-75.05920764298752,-375.2960382149376,264.63472271192245,246.99393035491,238.17361355961248,148.96965177455007,0.9533333333333334,0.9006622516556292
0x4d93ce2e938724381600bc61469a6de798e87cb6,531,61,609.0,324.0,1055.0,477.0,-285.0,-578.0,-75.05920764298752,-375.2960382149376,458.9347227119225,248.99393035491,304.6736135596125,101.96965177455007,0.9868173258003766,0.9344262295081968
0x3dd696bc5bf81ec3032260b981be4cb10645dac7,156,61,106.5,52.0,641.0,295.0,-54.5,-346.0,-75.05920764298752,-375.2960382149376,-43.56527728807751,-23.006069645089994,-109.32638644038752,-80.03034822544993,0.9871794871794872,0.9180327868852459
