fork,pool,tick,se,impl,law,comp,comp_all,actual_norm
Lorentz,WBNB-USDT-500,-0.394,0.084,-0.3783227464756139,-0.34648038887296506,-0.055628130561556306,-0.15666917658511503,-0.5947345343744256
Lorentz,ETH-USDT-500,-0.327,0.05,-0.3273498949664472,-0.34648038887296506,-0.16498530559598037,-0.25520588306924996,-0.6438556046594918
Lorentz,BTCB-USDT-500,-0.244,0.034,-0.16207876206876645,-0.34648038887296506,-0.085059222900375,-0.12724604804265072,-0.23082796963274313
Lorentz,WBNB-USDT-100,-0.364,0.028,-0.35697000173695964,-0.34648038887296506,-0.054308462079511344,-0.1958070669298403,-0.642236608309141
Maxwell,WBNB-USDT-500,-0.087,0.055,-0.1423062743419105,-0.34675067124480796,-0.014673626864985908,-0.06195216387951172,-0.10351627185378612
Maxwell,ETH-USDT-500,-0.11,0.043,-0.22028562759808062,-0.34675067124480796,-0.07920192016473496,-0.16375846720017878,-0.1601759493458829
Maxwell,BTCB-USDT-500,-0.182,0.035,-0.23527555589099178,-0.34675067124480796,-0.07260160073417539,-0.16976730053723035,-0.17817423964769377
Maxwell,WBNB-USDT-100,0.014,0.039,-0.28202980155811597,-0.34675067124480796,-0.017820884867660695,-0.12205041640321572,0.062424094750398944
Fermi,WBNB-USDT-500,-0.107,0.03,-0.17735748883826397,-0.25528419334262314,-0.04898320055055316,-0.10411375262478495,-0.3164252545505939
Fermi,ETH-USDT-500,-0.044,0.03,-0.18794646152384517,-0.25528419334262314,-0.05637678737142294,-0.10786978203459828,-0.2511337634019296
Fermi,BTCB-USDT-500,-0.143,0.054,-0.19429596433206298,-0.25528419334262314,-0.032761577440517414,-0.09661052383106028,-0.36783790018725493
Fermi,WBNB-USDT-100,-0.141,0.025,-0.21338376279883883,-0.25528419334262314,-0.04383465996061078,-0.10262366841700213,-0.3147068272646217
