fork,pool,w_jump,w_move,w_cont,w_same,w_other,beta_total,paper,sum_w_beta,beta_move,tau_implied,law,w_move_x_law,w_move_x_tau,(w_move+w_cont)_x_tau
Lorentz,WBNB-USDT-500,0.20161139793992622,0.1122254770157347,0.34271476621641606,0.33286405348607156,0.010584305341851483,-0.49703863685286326,-0.394,-0.5445404607413608,-0.4131607554964553,-0.3783227464756139,-0.34648038887296506,-0.03888392691786576,-0.04245745068912864,-0.1721142423018711
Lorentz,ETH-USDT-500,0.0763908430132193,0.5412592741879511,0.2735311230446083,0.08891300882755611,0.019905750926665224,-0.3648871974083601,-0.327,-0.41083744374813275,-0.38448712413085967,-0.3273498949664472,-0.34648038887296506,-0.1875357238017401,-0.1771811665550412,-0.2667215509537481
Lorentz,BTCB-USDT-500,0.14117123335549756,0.5133563034102328,0.2728489850592436,0.06216717912671648,0.010456299048309392,-0.24055827118468492,-0.244,-0.25271249959550574,-0.2940540830098847,-0.16207876206876645,-0.34648038887296506,-0.17786789163596528,-0.0832041541569286,-0.12742717988705016
Lorentz,WBNB-USDT-100,0.11951245157171278,0.15116428609042776,0.4764937307843891,0.23217869567756183,0.020650835875908612,-0.4434733343937334,-0.364,-0.4153534687978905,-0.5678832232377935,-0.35697000173695964,-0.34648038887296506,-0.05237546062831555,-0.05396111546826626,-0.22405508337402005
Maxwell,WBNB-USDT-500,0.23740407391152904,0.1520402647312936,0.3548601916550519,0.2502484161666025,0.005447053535523105,0.07772715373561065,-0.087,-0.233274598541438,-0.5629978024409954,-0.1423062743419105,-0.34675067124480796,-0.05272006385181435,-0.021636283623868168,-0.07213511541055492
Maxwell,ETH-USDT-500,0.14026847605172904,0.3775984656309063,0.38319190761088967,0.07587619599744534,0.02306495470902966,-0.08091656341244356,-0.11,-0.12194931254600948,-0.0908094408406461,-0.22028562759808062,-0.34675067124480796,-0.13093252141852632,-0.08317951498157647,-0.16759118484014704
Maxwell,BTCB-USDT-500,0.14383744233328866,0.3412423832981331,0.39991563418078807,0.09798094133238504,0.017023598855404977,-0.13602432790680688,-0.182,-0.1952125640624047,-0.28296905793149313,-0.23527555589099178,-0.34675067124480796,-0.1183260254658057,-0.08028599142403516,-0.17437636456541858
Maxwell,WBNB-USDT-100,0.13421833231000208,0.08017752307969912,0.357777675124435,0.41419046623469863,0.013636003251165247,-0.019357824970394323,0.014,0.08407360491621833,0.0,-0.28202980155811597,-0.34675067124480796,-0.027801609946631754,-0.022612450923588805,-0.12351641764085729
Fermi,WBNB-USDT-500,0.31446228165520296,0.2748512293552104,0.3057067787629564,0.09772314176130016,0.007256568465330123,-0.08632475560286536,-0.107,-0.15269340210041885,-0.41847713511817425,-0.17735748883826397,-0.25528419334262314,-0.07016517437517318,-0.048746923842549854,-0.10296631044478251
Fermi,ETH-USDT-500,0.17175902668644746,0.3041856764420372,0.28018148001360105,0.2289271005227577,0.014946716335156469,-0.06555500326391396,-0.044,-0.1680925615941738,-0.31557619270886533,-0.18794646152384517,-0.25528419334262314,-0.07765379503688563,-0.05717062153351816,-0.10982973928658843
Fermi,BTCB-USDT-500,0.1876445369921691,0.186026512217299,0.32432770095369096,0.29420744324207515,0.0077938065947656945,-0.15202288362939662,-0.143,-0.15019289342673098,-0.32699134480162606,-0.19429596433206298,-0.25528419334262314,-0.0474896281117348,-0.0361442005825904,-0.09915976399898872
Fermi,WBNB-USDT-100,0.3162492112067062,0.22384139747651718,0.27212035557585373,0.1818655201494883,0.005923515591434639,-0.13815824681395375,-0.141,-0.14943487933498348,-0.29837452481895443,-0.21338376279883883,-0.25528419334262314,-0.05714317059147817,-0.04776411966368974,-0.10583018507062339
