fork,pool,tick,se,impl,law,comp,comp_all,actual_norm
Lorentz,WBNB-USDT-500,-0.394,0.084,-0.34585334168500675,-0.34648038887296506,-0.06026779001073957,-0.15001149443278639,-0.18477257582082196
Lorentz,ETH-USDT-500,-0.327,0.05,-0.3312166986936601,-0.34648038887296506,-0.1669122803811912,-0.25272729480483963,-0.6923717659923103
Lorentz,BTCB-USDT-500,-0.244,0.034,-0.17376899780311117,-0.34648038887296506,-0.09239899852996215,-0.1367013997718578,-0.22224683368384507
Lorentz,WBNB-USDT-100,-0.364,0.028,-0.37382491392856715,-0.34648038887296506,-0.06500142668642561,-0.21591363719596138,-0.49773522964191963
Maxwell,WBNB-USDT-500,-0.087,0.055,-0.18881358991394023,-0.34675067124480796,-0.023459493639563823,-0.08880375296554462,-0.2525930975226802
Maxwell,ETH-USDT-500,-0.11,0.043,-0.22137098774070857,-0.34675067124480796,-0.07696495395069176,-0.16224711867468644,-0.16598120019768933
Maxwell,BTCB-USDT-500,-0.182,0.035,-0.24057543391810718,-0.34675067124480796,-0.07506114480101841,-0.17253462247413012,-0.16906764526728266
Maxwell,WBNB-USDT-100,0.014,0.039,-0.28585225108446083,-0.34675067124480796,-0.016303236624172452,-0.14997478705522194,-0.10658928061890724
Fermi,WBNB-USDT-500,-0.107,0.03,-0.15754253693691475,-0.25528419334262314,-0.04622239348167481,-0.09211475466332562,-0.32453419901213176
Fermi,ETH-USDT-500,-0.044,0.03,-0.18390633180493707,-0.25528419334262314,-0.055476289248060584,-0.10658547745273045,-0.25195450873421515
Fermi,BTCB-USDT-500,-0.143,0.054,-0.19114458686834482,-0.25528419334262314,-0.03342071956888993,-0.10055813271268407,-0.39814660922942285
Fermi,WBNB-USDT-100,-0.141,0.025,-0.2104863687784715,-0.25528419334262314,-0.0441862670891198,-0.10775311026765214,-0.3348550236974291
