hour_ms,n,overshoot_all,arb_loss_sum,arb_volume,cex,cex_n,share_cex,continuation,continuation_n,share_continuation,same_block,same_block_n,share_same_block,onchain,onchain_n,share_onchain,long,long_n,share_long,cex_jump,cex_move,cex_jump_n,cex_move_n,cex_tau_mean_ms,cex_tau_median_ms,cex_sqrt_tau_mean,cex_p_k1,sigma_ps,liq_mean,volume,hod,day,post,t_days
1765785600000,1,0.004116307772306934,0.8769330007908112,8751.916659366516,,,0.0,0.004116307772306934,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,7.99407789330005e-06,4.013645061899723e+28,1087194.1574633336,8,2025-12-15 00:00:00+00:00,0,-29.770833333333332
1765850400000,1,0.0958116474546475,15.712253728720563,149943.07,,,0.0,0.0958116474546475,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,1.0273996348430572e-05,3.0548839396253304e+28,687736.8858809059,2,2025-12-16 00:00:00+00:00,0,-29.020833333333332
1765951200000,1,0.00017307936517414117,0.03988176462776836,398.8,0.00017307936517414117,1.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.00017307936517414117,0.0,1.0,1.0,277.0,277.0,0.5263078946776307,1.0,8.974578409425498e-06,3.123343007975404e+28,526124.1988197084,6,2025-12-17 00:00:00+00:00,0,-27.854166666666668
1765965600000,1,0.00045474568655196816,0.13055864283503918,1305.539860113907,,,0.0,0.00045474568655196816,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,9.573067226182532e-06,3.1697201707301336e+28,646711.0521424984,10,2025-12-17 00:00:00+00:00,0,-27.6875
1766012400000,1,0.040401549202707394,7.983054431472146,78600.37799615701,0.040401549202707394,1.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.040401549202707394,0.0,1.0,1.0,1653.0,1653.0,1.2856904759700136,0.0,9.12734019832699e-06,3.1472224576658596e+28,513359.08893955953,23,2025-12-17 00:00:00+00:00,0,-27.145833333333332
1766041200000,1,0.032577119546296225,9.921908844975404,99999.99999999999,0.032577119546296225,1.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.032577119546296225,0.0,1.0,1.0,489.0,489.0,0.6992853494818835,1.0,9.425733990174865e-06,3.1304274205290235e+28,665818.5445138967,7,2025-12-18 00:00:00+00:00,0,-26.8125
1766120400000,1,0.0005789015321564026,0.3373940438089759,3379.5766905890027,,,0.0,,,0.0,0.0005789015321564026,1.0,1.0,,,0.0,,,0.0,,,,,,,,,8.656358683646181e-06,2.380534211040365e+28,250387.174685804,5,2025-12-19 00:00:00+00:00,0,-25.895833333333332
1766235600000,1,0.040274784147587846,7.489296484384337,75022.5,,,0.0,0.040274784147587846,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,9.276988804604889e-06,2.2586499085939476e+28,759056.7751240928,13,2025-12-20 00:00:00+00:00,0,-24.5625
1766386800000,1,0.04171232396810249,12.12338399846239,123132.95735772858,0.04171232396810249,1.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.04171232396810249,0.0,1.0,1.0,420.0,420.0,0.648074069840786,1.0,9.277287957122207e-06,2.589868069969077e+28,746753.1096945119,7,2025-12-22 00:00:00+00:00,0,-22.8125
1766415600000,1,0.0006705987475327877,5.955353936019635,62337.89780045442,0.0006705987475327877,1.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0006705987475327877,0.0,1.0,1.0,922.0,922.0,0.9602083107326244,0.0,9.572835160264453e-06,2.8067408431517957e+28,963162.2941953996,15,2025-12-22 00:00:00+00:00,0,-22.479166666666668
1766444400000,1,0.0035263439300833943,12.204102430082003,134446.14346048638,,,0.0,0.0035263439300833943,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,9.996501232894888e-06,2.827672619705498e+28,796182.1111076338,23,2025-12-22 00:00:00+00:00,0,-22.145833333333332
1766480400000,1,0.07684156325449361,13.620681087340927,250000.0,0.07684156325449361,1.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.07684156325449361,0.0,1.0,1.0,255.0,255.0,0.5049752469181039,1.0,9.124603227899626e-06,2.511786131870986e+28,688620.5867141304,9,2025-12-23 00:00:00+00:00,0,-21.729166666666668
1766484000000,1,0.013996025456265167,0.9885329950725024,9819.9264,0.013996025456265167,1.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.013996025456265167,0.0,1.0,1.0,651.0,651.0,0.8068457101577724,1.0,9.569964601463054e-06,1.332585563190513e+28,727389.3800341698,10,2025-12-23 00:00:00+00:00,0,-21.6875
1766494800000,1,0.11925814550994925,19.92994427093677,200059.99999999997,,,0.0,0.11925814550994925,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,9.424791746559543e-06,1.8186210414259652e+28,613174.3146975944,13,2025-12-23 00:00:00+00:00,0,-21.5625
1766556000000,1,0.0007081987051246817,0.10003462494328233,1000.0,,,0.0,0.0007081987051246817,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,8.970371918267617e-06,2.2725066513227892e+28,1144259.236169153,6,2025-12-24 00:00:00+00:00,0,-20.854166666666668
1766559600000,1,0.616304024816273,47.690808054017154,371931.754963163,0.616304024816273,1.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.616304024816273,0.0,1.0,1.0,2676.0,2676.0,1.6358484037342824,0.0,9.274506300641499e-06,1.3556623639123913e+28,1105848.625162129,7,2025-12-24 00:00:00+00:00,0,-20.8125
1766566800000,1,0.026208701282449405,3.5010545485571973,36107.32414913121,,,0.0,,,0.0,0.026208701282449405,1.0,1.0,,,0.0,,,0.0,,,,,,,,,9.569964601463054e-06,1.4258318249781034e+28,440655.81368412083,9,2025-12-24 00:00:00+00:00,0,-20.729166666666668
1766581200000,1,0.1172780089729883,21.467370610312468,220066.0,0.1172780089729883,1.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.1172780089729883,0.0,1.0,1.0,121.0,121.0,0.3478505426185217,1.0,9.57092126309322e-06,1.794125863221876e+28,899579.1824894546,13,2025-12-24 00:00:00+00:00,0,-20.5625
1766671200000,1,0.015140432398808863,1.10782489503349,11002.042677255748,,,0.0,0.015140432398808863,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,9.995918376696532e-06,1.4082065618110318e+28,579617.6797264756,14,2025-12-25 00:00:00+00:00,0,-19.520833333333332
1766757600000,1,0.04647800744928072,7.249105453547429,87961.79716691597,,,0.0,0.04647800744928072,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,8.65690353142817e-06,1.254153347868122e+28,543864.5206696334,14,2025-12-26 00:00:00+00:00,0,-18.520833333333332
1766797200000,1,0.006543995749620232,1.018967587165518,10356.540360547495,,,0.0,0.006543995749620232,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,7.990255955925295e-06,1.477718157104345e+28,150197.053640065,1,2025-12-27 00:00:00+00:00,0,-18.0625
1766926800000,1,0.0004312149747284853,0.45709500188347585,4632.20950117988,,,0.0,0.0004312149747284853,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,9.422083860654971e-06,1.4152613744294628e+28,362174.67149093666,13,2025-12-28 00:00:00+00:00,0,-16.5625
1766966400000,1,0.02435446141302395,3.6223783605071898,35947.832,,,0.0,0.02435446141302395,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,7.98886709692803e-06,1.6627406593239395e+28,395893.8084107779,0,2025-12-29 00:00:00+00:00,0,-16.104166666666668
1766973600000,4,0.0706768682713918,13.175776933946361,129696.0145072364,,,0.0,0.005034984181696297,3.0,0.75,0.26760252054047834,1.0,0.25,,,0.0,,,0.0,,,,,,,,,9.853193551824167e-06,7.142809087311978e+27,667901.681595647,2,2025-12-29 00:00:00+00:00,0,-16.020833333333332
1766977200000,2,0.020852691159257426,1.3321157401538697,13195.476837769203,,,0.0,0.020852691159257426,2.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,9.567646248905623e-06,5.194218622949054e+27,570251.6088678996,3,2025-12-29 00:00:00+00:00,0,-15.979166666666666
1766980800000,1,0.023589795126067466,0.9832193356399419,9799.19440764488,,,0.0,0.023589795126067466,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,7.987756329345015e-06,3.596205476884134e+27,151326.34974431858,4,2025-12-29 00:00:00+00:00,0,-15.9375
1766988000000,1,0.008935150368372953,0.8749228435295511,9000.663317834398,,,0.0,0.008935150368372953,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,9.992505629097921e-06,3.832893196984109e+27,534077.497949771,6,2025-12-29 00:00:00+00:00,0,-15.854166666666666
1766998800000,2,0.043923091198495315,4.809752463810826,54155.34182042636,0.00921872659087692,1.0,0.5,,,0.0,0.0786274558061137,1.0,0.5,,,0.0,,,0.0,0.00921872659087692,0.0,1.0,1.0,8.0,8.0,0.08944271909999159,1.0,9.120409759268763e-06,3.0087480956911096e+27,312822.7519334577,9,2025-12-29 00:00:00+00:00,0,-15.729166666666666
1767038400000,1,0.016060234720894635,1.3605736487341886,13576.770456355547,,,0.0,0.016060234720894635,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,9.120622377726186e-06,1.0181707455946436e+28,625987.782220763,20,2025-12-29 00:00:00+00:00,0,-15.270833333333334
1767052800000,2,0.15716375937546795,2.4344090382719634,22091.392780585134,,,0.0,0.2815531096910248,1.0,0.5,0.03277440905991109,1.0,0.5,,,0.0,,,0.0,,,,,,,,,7.44722978588123e-06,7.470785060527646e+27,430392.72529097984,0,2025-12-30 00:00:00+00:00,0,-15.104166666666666
1767074400000,1,0.18146280467801285,6.959027366560722,64463.24338860822,,,0.0,0.18146280467801285,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,8.96620033083488e-06,7.710884436898443e+27,563972.8449280653,6,2025-12-30 00:00:00+00:00,0,-14.854166666666666
1767139200000,1,0.014063049978863824,1.2192859556986575,12142.76894218207,,,0.0,0.014063049978863824,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,9.70957170262811e-06,1.1851118930809194e+28,821204.4120702045,0,2025-12-31 00:00:00+00:00,0,-14.104166666666666
1767182400000,1,0.22396885461339971,1.232090139495257,11939.531449435788,,,0.0,,,0.0,0.22396885461339971,1.0,1.0,,,0.0,,,0.0,,,,,,,,,8.652162687046914e-06,9.600233561390973e+27,1409335.3718833649,12,2025-12-31 00:00:00+00:00,0,-13.604166666666666
1767186000000,1,0.00769963387481449,0.3653625715215638,3649.960083108452,,,0.0,0.00769963387481449,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,8.652290760032934e-06,9.622910703716732e+27,553590.3278839755,13,2025-12-31 00:00:00+00:00,0,-13.5625
1767193200000,1,0.03703203872096412,6.834566487892756,124881.27189359386,0.03703203872096412,1.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.03703203872096412,0.0,1.0,1.0,1376.0,1376.0,1.1730302638892143,0.0,8.15721646043019e-06,9.91151617909371e+27,657766.7130514294,15,2025-12-31 00:00:00+00:00,0,-13.479166666666666
1767200400000,1,0.1063468910266216,9.595938071993391,112514.0969335111,0.1063468910266216,1.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.1063468910266216,0.0,1.0,1.0,658.0,658.0,0.8111719916269299,1.0,8.810423584568698e-06,1.0557930643966762e+28,456699.4494281214,17,2025-12-31 00:00:00+00:00,0,-13.395833333333334
1767204000000,2,0.11375801181756712,15.884379290430845,144124.03728535539,0.11375801181756712,2.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.11375801181756712,0.0,2.0,2.0,820.0,820.0,0.8270418219028619,0.5,9.564228645467667e-06,1.0902545412403995e+28,446143.5693880768,18,2025-12-31 00:00:00+00:00,0,-13.354166666666666
