hour_ms,n,overshoot_all,arb_loss_sum,arb_volume,cex,cex_n,share_cex,continuation,continuation_n,share_continuation,same_block,same_block_n,share_same_block,onchain,onchain_n,share_onchain,long,long_n,share_long,cex_jump,cex_move,cex_jump_n,cex_move_n,cex_tau_mean_ms,cex_tau_median_ms,cex_sqrt_tau_mean,cex_p_k1,sigma_ps,liq_mean,volume,hod,day,post,t_days
1743310800000,14,1.307889117153076,58.941819471777755,105291.04085836204,1.3673312344708632,12.0,0.8571428571428571,0.9512364132463524,2.0,0.14285714285714285,,,0.0,,,0.0,,,0.0,0.1616985779146898,1.2056326565561732,12.0,12.0,4906.25,3053.0,2.058596578517244,0.5,2.813171481307841e-05,2.6598586046680395e+23,161525.71819600163,5,2025-03-30 00:00:00+00:00,0,-30.00347222222222
1743314400000,32,0.9734995581742569,107.98326397880135,201478.32393386596,0.826520117773413,24.0,0.75,1.9961897699584163,5.0,0.15625,0.09538181636015597,2.0,0.0625,1.1437905525019154,1.0,0.03125,,,0.0,0.1888973100219318,0.6376228077514812,24.0,24.0,3350.6666666666665,2264.5,1.667831571045279,0.6666666666666666,5.3560138219320364e-05,2.6529252391837428e+23,354227.4949569991,6,2025-03-30 00:00:00+00:00,0,-29.961805555555557
1743318000000,15,0.9833495566639824,49.3286881461783,95678.26984666895,0.9043023493241901,12.0,0.8,1.092705696020273,2.0,0.13333333333333333,1.713203766028908,1.0,0.06666666666666667,,,0.0,,,0.0,0.2854355198919677,0.6188668294322223,12.0,12.0,2651.3333333333335,1839.5,1.4891211360996042,0.75,3.637854075568841e-05,2.6612043040493665e+23,157336.3689183624,7,2025-03-30 00:00:00+00:00,0,-29.92013888888889
1743321600000,14,1.1671879017235633,53.3115248297808,100043.7403495524,1.156331885703517,13.0,0.9285714285714286,1.308316109984169,1.0,0.07142857142857142,,,0.0,,,0.0,,,0.0,0.16692574662332887,0.9894061390801879,13.0,13.0,4210.0,1599.0,1.7371428727655653,0.6153846153846154,2.8621553120679188e-05,2.6612031344458267e+23,137733.8302402292,8,2025-03-30 00:00:00+00:00,0,-29.87847222222222
1743325200000,16,1.0026895992767308,53.72033865901632,97368.55204281429,0.7709919544400957,11.0,0.6875,1.8899913448125516,4.0,0.25,0.0021567103364360588,1.0,0.0625,,,0.0,,,0.0,0.16860085921293094,0.6023910952271646,11.0,11.0,4737.4,2081.0,1.7175194351009526,0.8,3.6926820281954915e-05,2.66219278439788e+23,139233.28240860955,9,2025-03-30 00:00:00+00:00,0,-29.836805555555557
1743328800000,33,1.3583254485058331,142.4922737514524,245829.31870744025,1.0690781800882927,23.0,0.696969696969697,3.1410027414325903,5.0,0.15151515151515152,0.05901643661932343,4.0,0.12121212121212122,4.294862205021515,1.0,0.030303030303030304,,,0.0,0.2414288878175147,0.8276492922707781,23.0,23.0,3850.391304347826,2883.0,1.7739339741622748,0.6521739130434783,4.5164344888717754e-05,2.661078037132385e+23,519569.62812534574,10,2025-03-30 00:00:00+00:00,0,-29.79513888888889
1743332400000,28,1.7159264395903155,135.4606613760889,226066.18043117525,1.4637795915788165,16.0,0.5714285714285714,2.295982431949745,9.0,0.32142857142857145,1.3205416519066897,3.0,0.10714285714285714,,,0.0,,,0.0,0.36362929912964626,1.1001502924491702,16.0,16.0,3800.125,2499.0,1.8052794543183706,0.625,5.913226978225018e-05,2.659663813829147e+23,438810.5032848861,11,2025-03-30 00:00:00+00:00,0,-29.75347222222222
1743336000000,24,1.4534433185968003,94.32187271264134,162929.3795583166,1.3952171777798612,18.0,0.75,1.6281217410476174,6.0,0.25,,,0.0,,,0.0,,,0.0,0.36367470316829237,1.0315424746115687,18.0,18.0,7974.388888888889,3266.5,2.389999473735193,0.5,4.510062104766001e-05,2.658821600384119e+23,249691.11111795917,12,2025-03-30 00:00:00+00:00,0,-29.711805555555557
1743339600000,41,1.4628731953551606,176.80439782087328,310426.60534663417,1.0718923505230138,19.0,0.4634146341463415,1.886639510016504,19.0,0.4634146341463415,1.2552318864369145,3.0,0.07317073170731707,,,0.0,,,0.0,0.24393817763292935,0.8279541728900844,19.0,19.0,1637.578947368421,1584.0,1.2192895979472378,0.9473684210526315,8.26788307752464e-05,2.644633707310034e+23,805074.5176474933,13,2025-03-30 00:00:00+00:00,0,-29.67013888888889
1743343200000,53,1.2640287312515468,202.45676992427394,367467.7482566195,1.2986465074951759,44.0,0.8301886792452831,0.9706542304310035,7.0,0.1320754716981132,0.0011654151005390315,1.0,0.018867924528301886,3.0573313984266814,1.0,0.018867924528301886,,,0.0,0.32706356064232595,0.9715829468528497,44.0,44.0,3608.7727272727275,2314.0,1.7284205896716458,0.6363636363636364,6.699877306005243e-05,2.641541269461625e+23,629125.4298887209,14,2025-03-30 00:00:00+00:00,0,-29.62847222222222
