hour_ms,n,overshoot_all,arb_loss_sum,arb_volume,cex,cex_n,share_cex,continuation,continuation_n,share_continuation,same_block,same_block_n,share_same_block,onchain,onchain_n,share_onchain,long,long_n,share_long,cex_jump,cex_move,cex_jump_n,cex_move_n,cex_tau_mean_ms,cex_tau_median_ms,cex_sqrt_tau_mean,cex_p_k1,sigma_ps,liq_mean,volume,hod,day,post,t_days
1748656800000,345,0.29073495828236273,141.55623589808738,1038806.1196656352,0.5404386243351504,31,0.08985507246376812,0.5081673879561719,80,0.2318840579710145,0.1662892301778879,223,0.6463768115942029,0.5285521715329758,11.0,0.03188405797101449,,,0.0,0.20790163222879307,0.3325369921063574,31,31,925.3548387096774,994.0,0.9240647256766799,0.967741935483871,5.072426093943974e-05,5.369414311393341e+24,7784444.343134903,2,2025-05-31 00:00:00+00:00,0,-30.020844907407408
1748660400000,579,0.38705705714657934,298.9847801001489,2218675.4825916216,0.4319260308236523,72,0.12435233160621761,0.8007629905251018,147,0.2538860103626943,0.20863128537723785,349,0.6027633851468048,0.22571669679277287,11.0,0.018998272884283247,,,0.0,0.24566002128234649,0.18626600954130576,72,72,836.1805555555555,929.5,0.8612701773754942,1.0,0.00010172807764611488,5.276238298549937e+24,19796606.556570604,3,2025-05-31 00:00:00+00:00,0,-29.97917824074074
1748664000000,411,0.30898429055981197,181.92025731344523,1422329.593262807,0.38417068508133384,37,0.09002433090024331,0.6707355014243047,89,0.21654501216545013,0.18274207338142961,276,0.6715328467153284,0.29399513244840864,9.0,0.021897810218978103,,,0.0,0.3590682237526193,0.025102461328714538,37,37,912.8648648648649,1002.0,0.9206310424816961,1.0,7.40619343741715e-05,8.011307674748935e+24,17290238.22856596,4,2025-05-31 00:00:00+00:00,0,-29.937511574074072
1748667600000,402,0.1759006828032051,143.13176061478995,1325778.9569627112,0.30428966208157976,29,0.07213930348258707,0.2848331819248932,101,0.2512437810945274,0.12345000937617323,268,0.6666666666666666,0.008730099823495992,4.0,0.009950248756218905,,,0.0,0.16167563778780714,0.14261402429377265,29,29,834.0689655172414,994.0,0.8617534124860995,1.0,4.5782058217722353e-05,1.0572510482919424e+25,14671502.207863113,5,2025-05-31 00:00:00+00:00,0,-29.895844907407408
1748671200000,300,0.1406751408703397,98.95219053780417,883415.9760927954,0.29989989630678654,21,0.07,0.30675248009089023,41,0.13666666666666666,0.09838955127404196,237,0.79,0.009469102984938922,1.0,0.0033333333333333335,,,0.0,0.19789380393650213,0.10200609237028442,21,21,847.8571428571429,917.0,0.8634869100503386,1.0,4.350846016638339e-05,1.2126811795323627e+25,16091859.358349424,6,2025-05-31 00:00:00+00:00,0,-29.85417824074074
1748674800000,390,0.14721604134655367,124.31353930745664,1127693.7215058664,0.3073708010125084,19,0.04871794871794872,0.2714165423722314,94,0.24102564102564103,0.09388562277027651,268,0.6871794871794872,0.0999676689438242,9.0,0.023076923076923078,,,0.0,0.11414170195065376,0.19322909906185465,19,19,678.1052631578947,590.0,0.7703138393653003,1.0,4.043418220027717e-05,1.1197300632036659e+25,14482936.875849523,7,2025-05-31 00:00:00+00:00,0,-29.812511574074072
1748678400000,364,0.19518842351008317,180.3758456012472,1557136.5328819714,0.29231658753977985,22,0.06043956043956044,0.3731812623221586,86,0.23626373626373626,0.1280676883999935,249,0.6840659340659341,0.09073975149872758,7.0,0.019230769230769232,,,0.0,0.24363757277877837,0.04867901476100147,22,22,991.5909090909091,995.5,0.9669933275951621,0.9545454545454546,4.815184919129076e-05,1.2340535646308916e+25,17385285.867143955,8,2025-05-31 00:00:00+00:00,0,-29.770844907407408
1748682000000,340,0.15958533864005606,142.3594558364082,1268747.9721237733,0.16328323708928902,33,0.09705882352941177,0.3093013069738848,79,0.2323529411764706,0.10542448605232502,224,0.6588235294117647,0.2051950467537042,4.0,0.011764705882352941,,,0.0,0.10770288145710083,0.0555803556321882,33,33,789.0,789.0,0.8412779504718956,1.0,4.202105382638138e-05,1.3076872748849755e+25,14931633.52956964,9,2025-05-31 00:00:00+00:00,0,-29.72917824074074
1748685600000,339,0.26882384265853554,326.66401739417006,1763054.9964815436,0.3290219735059005,40,0.11799410029498525,0.35849471153443624,94,0.27728613569321536,0.2156737218645519,200,0.5899705014749262,0.22743129277202984,5.0,0.014749262536873156,,,0.0,0.29085335871870205,0.03816861478719846,40,40,963.05,1061.5,0.9559351992643863,0.975,5.831361728292567e-05,1.1687836496550777e+25,17002204.796563514,10,2025-05-31 00:00:00+00:00,0,-29.687511574074072
1748689200000,231,0.11689903260269319,67.30921454006825,647707.9762081599,0.16536314978617675,27,0.11688311688311688,0.21170345624308842,59,0.2554112554112554,0.06936649171912385,139,0.6017316017316018,0.06773753661582033,6.0,0.025974025974025976,,,0.0,0.09735410765355575,0.068009042132621,27,27,790.1111111111111,804.0,0.8374508012350924,0.9629629629629629,3.27755725936148e-05,1.2373248358606138e+25,8892374.007310275,11,2025-05-31 00:00:00+00:00,0,-29.645844907407408
1748692800000,255,0.14688238380056692,101.99604110141301,886700.1548580081,0.35853479450410514,24,0.09411764705882353,0.2766958542155056,49,0.19215686274509805,0.08472529333433398,177,0.6941176470588235,0.05913980486183053,5.0,0.0196078431372549,,,0.0,0.17434186418949313,0.18419293031461206,24,24,863.6666666666666,893.0,0.8663668564908497,0.9583333333333334,3.9589362998251165e-05,1.2915256608207834e+25,11164892.160883455,12,2025-05-31 00:00:00+00:00,0,-29.60417824074074
1748696400000,382,0.21607969098575974,210.17499280705988,1781104.3747215478,0.31962659088511164,31,0.08115183246073299,0.3853616849698794,97,0.25392670157068065,0.14050182400510408,248,0.6492146596858639,0.0682469739629422,6.0,0.015706806282722512,,,0.0,0.17235899710634425,0.1472675937787674,31,31,941.2903225806451,990.0,0.9294703861472197,0.967741935483871,5.165859161848632e-05,1.2059333046080629e+25,20921105.634888206,13,2025-05-31 00:00:00+00:00,0,-29.562511574074072
1748700000000,450,0.1796785260410638,196.61517226448186,1702585.270421905,0.20974086644841336,31,0.06888888888888889,0.3752625143063301,100,0.2222222222222222,0.1162402197373793,315,0.7,0.0528623026676009,4.0,0.008888888888888889,,,0.0,0.1558119593462058,0.053928907102207546,31,31,815.0645161290323,861.0,0.8470881027192718,1.0,5.602517698271307e-05,1.1764819799669933e+25,20159441.585952714,14,2025-05-31 00:00:00+00:00,0,-29.520844907407408
1748703600000,551,0.27576016374179063,295.1524273305548,2428127.2507080473,0.2263159589726518,33,0.05989110707803993,0.6350415573788842,110,0.1996370235934664,0.18374444228310502,400,0.7259528130671506,0.1403844188387357,8.0,0.014519056261343012,,,0.0,0.1663968369965836,0.05991912197606816,33,33,770.4848484848485,890.0,0.8093163083302336,1.0,5.980431553450419e-05,1.0152359512556953e+25,29829711.83713757,15,2025-05-31 00:00:00+00:00,0,-29.47917824074074
1748707200000,433,0.2439396082699652,157.74472126330318,1351930.7687110277,0.2830350439974047,42,0.09699769053117784,0.3784067560081351,137,0.3163972286374134,0.16400291723216753,251,0.5796766743648961,0.24397357820512275,3.0,0.006928406466512702,,,0.0,0.1960849083361834,0.08695013566122134,42,42,696.1428571428571,701.0,0.7781941452877282,0.9761904761904762,4.913175002740449e-05,6.471518414497907e+24,12315088.78113047,16,2025-05-31 00:00:00+00:00,0,-29.437511574074072
1748710800000,261,0.16939244605293896,71.97543114098751,635829.4904421908,0.2050750775654137,29,0.1111111111111111,0.2654519274257892,83,0.31800766283524906,0.11398520272352033,140,0.5363984674329502,0.030423645865190974,9.0,0.034482758620689655,,,0.0,0.12630030325535718,0.07877477431005653,29,29,899.1379310344828,906.0,0.9180921329900678,1.0,3.313049311503755e-05,6.694822694745117e+24,8453759.079109872,17,2025-05-31 00:00:00+00:00,0,-29.395844907407408
1748714400000,206,0.44422786893945937,800.742095790551,932291.1291053277,0.2531118544952315,29,0.1407766990291262,0.291897884523102,78,0.3786407766990291,0.682181360480401,86,0.4174757281553398,0.21038963285003703,13.0,0.06310679611650485,,,0.0,0.1638796178317549,0.08923223666347656,29,29,887.7241379310345,1056.0,0.8982510988783639,1.0,2.8400272392742726e-05,6.638786204249725e+24,7651078.793740923,18,2025-05-31 00:00:00+00:00,0,-29.35417824074074
1748718000000,218,0.23566170082267357,62.26010280510869,522813.30133257236,0.33059360202153637,33,0.15137614678899083,0.30234419156184666,80,0.3669724770642202,0.1472637758386974,92,0.42201834862385323,0.20991224696340371,13.0,0.05963302752293578,,,0.0,0.12378747086162808,0.2068061311599083,33,33,898.1515151515151,889.0,0.9229244073443308,0.9393939393939394,4.868849570669954e-05,5.161143379888576e+24,4719726.407321064,19,2025-05-31 00:00:00+00:00,0,-29.312511574074072
1748721600000,160,0.3069569024180133,62.74689046431166,487403.4494941362,0.3526799190640206,29,0.18125,0.37703290914852405,64,0.4,0.2114459270690473,60,0.375,0.2955035606253075,7.0,0.04375,,,0.0,0.15916709554380198,0.1935128235202186,29,29,931.6551724137931,841.0,0.910499151292921,0.896551724137931,3.2961322466405566e-05,5.603113529352438e+24,3654902.463708948,20,2025-05-31 00:00:00+00:00,0,-29.270844907407408
1748725200000,169,0.2141009637549039,54.113011475483056,495565.9371847571,0.34826714763358607,30,0.17751479289940827,0.23307282736273977,79,0.46745562130177515,0.12141046813642925,57,0.33727810650887574,0.13396613337942334,3.0,0.01775147928994083,,,0.0,0.2877045921602843,0.06056255547330173,30,30,766.1666666666666,748.0,0.837330847148936,1.0,3.74504927269467e-05,6.631736109954043e+24,3672146.960780929,21,2025-05-31 00:00:00+00:00,0,-29.22917824074074
