hour_ms,n,overshoot_all,arb_loss_sum,arb_volume,cex,cex_n,share_cex,continuation,continuation_n,share_continuation,same_block,same_block_n,share_same_block,onchain,onchain_n,share_onchain,long,long_n,share_long,cex_jump,cex_move,cex_jump_n,cex_move_n,cex_tau_mean_ms,cex_tau_median_ms,cex_sqrt_tau_mean,cex_p_k1,sigma_ps,liq_mean,volume,hod,day,post,t_days
1743310800000,11,4.071362094715011,13.373089972875716,18966.62385939859,4.563807897221138,8.0,0.7272727272727273,3.935595485010106,2.0,0.18181818181818182,0.4033288940757983,1.0,0.09090909090909091,,,0.0,,,0.0,0.19904390378578263,4.364763993435355,8.0,8.0,21504.0,19922.5,4.4360742730219584,0.0,5.7535497797411775e-05,1.7726559487812483e+23,40096.60273304767,5,2025-03-30 00:00:00+00:00,0,-30.00347222222222
1743314400000,14,2.4429478336058525,9.539087295945587,15750.005145949548,2.3799245027709555,9.0,0.6428571428571429,2.5563898291086673,5.0,0.35714285714285715,,,0.0,,,0.0,,,0.0,0.32302423646546774,2.056900266305487,9.0,9.0,5775.111111111111,4635.0,2.330151676157526,0.1111111111111111,7.052162756124978e-05,1.748405995721505e+23,49906.7157220191,6,2025-03-30 00:00:00+00:00,0,-29.961805555555557
1743318000000,11,2.900023350508676,9.237526512239775,14514.909036761808,2.9551291611035246,10.0,0.9090909090909091,,,0.0,2.3489652445601905,1.0,0.09090909090909091,,,0.0,,,0.0,0.26515470195998414,2.6899744591435404,10.0,10.0,12186.5,8736.0,3.2490026377805243,0.1,4.98667542826681e-05,1.79083617076579e+23,41127.383906784366,7,2025-03-30 00:00:00+00:00,0,-29.92013888888889
1743321600000,11,4.753528403370172,29.57449029935072,25699.077523969,2.927700312937019,8.0,0.7272727272727273,9.622403311191912,3.0,0.2727272727272727,,,0.0,,,0.0,,,0.0,0.29935168191678063,2.6283486310202386,8.0,8.0,8940.375,3241.0,2.379983915785476,0.5,5.719525535420737e-05,1.8659783607551857e+23,87431.02913582818,8,2025-03-30 00:00:00+00:00,0,-29.87847222222222
1743325200000,9,3.2277057834037297,8.879862207493241,14748.81941392637,3.768021598272169,5.0,0.5555555555555556,2.5523110148181805,4.0,0.4444444444444444,,,0.0,,,0.0,,,0.0,0.2567269005858729,3.5112946976862958,5.0,5.0,6788.2,4222.0,2.3843075353816863,0.4,5.712511161409765e-05,1.872837753678703e+23,38656.74213159585,9,2025-03-30 00:00:00+00:00,0,-29.836805555555557
1743328800000,18,3.3073260243805076,17.55063878645973,25667.58630582109,3.041952125193302,13.0,0.7222222222222222,5.202664174522684,3.0,0.16666666666666666,2.18924914388408,2.0,0.1111111111111111,,,0.0,,,0.0,0.4235684418707092,2.618383683322593,13.0,13.0,10506.76923076923,8892.0,3.009199416967472,0.23076923076923078,8.859126085440103e-05,1.7628020663797268e+23,72361.17927994537,10,2025-03-30 00:00:00+00:00,0,-29.79513888888889
1743332400000,28,3.6959577009255797,30.089799455321035,44300.186852229315,3.839400796299199,13.0,0.4642857142857143,3.235319257361891,12.0,0.42857142857142855,,,0.0,4.916924728561316,3.0,0.10714285714285714,,,0.0,0.3440952614011929,3.495305534898006,13.0,13.0,6928.2307692307695,6574.0,2.3144789106087718,0.46153846153846156,9.662356549403253e-05,1.757244484147262e+23,116106.39073871373,11,2025-03-30 00:00:00+00:00,0,-29.75347222222222
1743336000000,15,3.0068861212264273,12.285815337574437,18697.191088780648,3.1589152781282035,8.0,0.5333333333333333,3.1714698144669256,6.0,0.4,,,0.0,0.8031507065692266,1.0,0.06666666666666667,,,0.0,0.48089248916000515,2.6780227889681987,8.0,8.0,7764.5,5640.0,2.6354695581498593,0.0,7.383867742794289e-05,1.736852924731327e+23,47044.49278997926,12,2025-03-30 00:00:00+00:00,0,-29.711805555555557
1743339600000,49,3.68241194937388,55.96543744671516,81742.70863136559,3.219694827135942,29.0,0.5918367346938775,4.189745890077705,10.0,0.20408163265306123,3.831436636259309,7.0,0.14285714285714285,6.116506725928528,3.0,0.061224489795918366,,,0.0,0.31322910059065234,2.906465726545289,29.0,29.0,4687.137931034483,2950.0,2.0099632216514767,0.5172413793103449,0.0001923150906782244,1.6765671774377374e+23,415755.58340978244,13,2025-03-30 00:00:00+00:00,0,-29.67013888888889
1743343200000,32,3.4490220147753066,31.448687136625143,47238.04447337645,3.4151892846041756,18.0,0.5625,3.666938930076418,10.0,0.3125,3.2401870482129436,3.0,0.09375,2.50534690453164,1.0,0.03125,,,0.0,0.4184658201951914,2.996723464408984,18.0,18.0,5985.777777777777,3720.0,2.2289533620491335,0.4444444444444444,0.00011899105442042772,1.6767143000205422e+23,134547.5363495181,14,2025-03-30 00:00:00+00:00,0,-29.62847222222222
