hour_ms,n,overshoot_all,arb_loss_sum,arb_volume,cex,cex_n,share_cex,continuation,continuation_n,share_continuation,same_block,same_block_n,share_same_block,onchain,onchain_n,share_onchain,long,long_n,share_long,cex_jump,cex_move,cex_jump_n,cex_move_n,cex_tau_mean_ms,cex_tau_median_ms,cex_sqrt_tau_mean,cex_p_k1,sigma_ps,liq_mean,volume,hod,day,post,t_days
1748656800000,2,1.8969051377998531,0.011532422882751659,4.481456943464521,,,0.0,1.2047738985127228,1.0,0.5,2.5890363770869835,1.0,0.5,,,0.0,,,0.0,,,,,,,,,9.711703912033613e-05,3.238624269711246e+23,61.20735351043431,2,2025-05-31 00:00:00+00:00,0,-30.020844907407408
1748660400000,5,1.0747113030228568,0.02382676609560074,9.467361720539031,0.7185363940563382,3.0,0.6,3.2157564826635006,1.0,0.2,0.0021908502817686096,1.0,0.2,,,0.0,,,0.0,2.318076283484593,-1.5995398894282549,3.0,3.0,4304.0,5211.0,1.9329888848008725,0.3333333333333333,0.0001861578472093736,3.2415879397886443e+23,48.82636586290461,3,2025-05-31 00:00:00+00:00,0,-29.97917824074074
1748664000000,12,1.4840767634159455,0.07551189044419063,29.997231774891166,1.4314288276927076,6.0,0.5,1.5367246991391834,6.0,0.5,,,0.0,,,0.0,,,0.0,1.5892788170050496,-0.15784998931234195,6.0,6.0,2031.6666666666667,1297.5,1.3248632386962065,0.6666666666666666,0.00017470622736367195,3.2708704637507256e+23,301.72777394369996,4,2025-05-31 00:00:00+00:00,0,-29.937511574074072
1748667600000,3,1.3410967859138232,0.013003225057401618,5.099705978813384,1.2696278751212149,2.0,0.6666666666666666,1.4840346074990403,1.0,0.3333333333333333,,,0.0,,,0.0,,,0.0,1.2696278751212149,0.0,2.0,2.0,7030.0,7030.0,2.1541381265149107,0.5,0.00011575159879753323,3.339324724558093e+23,35.803863034650014,5,2025-05-31 00:00:00+00:00,0,-29.895844907407408
1748671200000,2,0.6022044355008744,0.005115844038013765,2.03716863144642,,,0.0,0.6022044355008744,2.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,0.00011311484460896633,3.193398941127321e+23,21.194651276957167,6,2025-05-31 00:00:00+00:00,0,-29.85417824074074
1748678400000,5,1.7475082654333725,0.03857809807613154,15.312679942503888,2.46051060726673,2.0,0.4,1.6992828401313438,1.0,0.2,1.0586186362510293,2.0,0.4,,,0.0,,,0.0,2.46051060726673,0.0,2.0,2.0,1166.5,1166.5,1.0709566085860036,1.0,0.00012184772671939862,3.383186183221584e+23,91.28243970734643,8,2025-05-31 00:00:00+00:00,0,-29.770844907407408
1748682000000,6,0.9249057044867257,0.034234311429835886,13.726149736246898,1.0718312171492879,2.0,0.3333333333333333,1.5617521370387073,2.0,0.3333333333333333,0.14113375927218233,2.0,0.3333333333333333,,,0.0,,,0.0,1.8391317517802093,-0.7673005346309214,2.0,2.0,5446.0,5446.0,2.070349866466413,0.5,0.00013917328476060697,3.513052803707258e+23,55.30604235434883,9,2025-05-31 00:00:00+00:00,0,-29.72917824074074
1748685600000,13,1.0645856372287983,0.07037574773312846,27.86049203741471,1.5306543962476322,8.0,0.6153846153846154,0.657972727206601,1.0,0.07692307692307693,0.2341013466966796,4.0,0.3076923076923077,,,0.0,,,0.0,2.0081893187244786,-0.4775349224768466,8.0,8.0,4000.25,1546.5,1.7539407515894716,0.375,0.00012113515539644721,3.299029771899599e+23,109.28367234561904,10,2025-05-31 00:00:00+00:00,0,-29.687511574074072
1748689200000,3,0.3677180042055634,0.008680848303407,3.5376979838543994,0.5925549911073519,1.0,0.3333333333333333,,,0.0,0.2552995107546691,2.0,0.6666666666666666,,,0.0,,,0.0,0.5925549911073519,0.0,1.0,1.0,6023.0,6023.0,2.4541801074900755,0.0,7.108324470822846e-05,3.413284142129389e+23,35.84134828205443,11,2025-05-31 00:00:00+00:00,0,-29.645844907407408
1748692800000,7,0.8004392319014345,0.036860424960933,14.918147452340946,0.6892738761664107,3.0,0.42857142857142855,1.1287911466756557,3.0,0.42857142857142855,0.14887955478384232,1.0,0.14285714285714285,,,0.0,,,0.0,1.1454273727534932,-0.45615349658708243,3.0,3.0,1368.0,1433.0,1.1624712774328252,0.6666666666666666,8.503251823960562e-05,3.4341373923957264e+23,87.92904363953431,12,2025-05-31 00:00:00+00:00,0,-29.60417824074074
