sender,distinct_eoas,arbs_with_tx,median_arbs_per_eoa,top_eoa_share,top3_eoa_share,strict_arbs,pools,tx_to_equals_sender_share,public,wallet_rotation,operator
0xbce729580490534fdaa5a4306c49c019418e2823,9,249618,3074.0,0.713886819059523,0.9556402182534913,249618,4,1.0,False,False,c:0xbce729580490534fdaa5a4306c49c019418e2823
0x32564234df8961ae1d640be2cba4aeab54151551,41,168874,4106.0,0.02691355685303836,0.07882208036761136,168874,4,1.0,False,True,c:0x32564234df8961ae1d640be2cba4aeab54151551
0x2fba633d7b9bfe947cfa7d2d86aef05014b41024,15,107738,7144.0,0.0684159720804173,0.20462603723848596,107738,1,1.0,False,False,c:0x2fba633d7b9bfe947cfa7d2d86aef05014b41024
0x4bce263371ec91da8369fb00a1f344bae2ee5cdb,6,71306,4321.5,0.6079712787142737,0.9486158247552801,71306,2,1.0,False,False,c:0x4bce263371ec91da8369fb00a1f344bae2ee5cdb
0x7cda585e917fecb3a33c6d5a8f8a15dd956694dc,200,63672,76.0,0.01823407463249152,0.05435670310340495,63672,4,1.0,False,True,c:0x7cda585e917fecb3a33c6d5a8f8a15dd956694dc
0xaf30736465dec110ec6ab68d3a22e4b24968401f,50,39939,796.5,0.021282455745011142,0.06367209995242745,39939,4,1.0,False,True,c:0xaf30736465dec110ec6ab68d3a22e4b24968401f
0x278d858f05b94576c1e6f73285886876ff6ef8d2,4,32400,7779.0,0.3945679012345679,0.8747530864197531,32400,4,1.0,False,False,c:0x802b65b5d9016621e66003aed0b16615093f328b
0x6777c00839fe6ccfc84f08a44704108471bb1fe4,4,32100,9147.0,0.3667601246105919,0.9366666666666666,32100,4,1.0,False,False,c:0x6777c00839fe6ccfc84f08a44704108471bb1fe4
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,501,18856,1.0,0.8932435299109037,0.9172677131947391,18856,4,0.05356385235468816,True,False,public
0xbbbf03817a447451bad374c97a7c7d566471f2fd,414,13508,8.0,0.015694403316553154,0.045972756884809,13508,4,0.0,False,True,c:0xbbbf03817a447451bad374c97a7c7d566471f2fd
0x3bc367866468d4f80096be899b66ab29d03f2717,38,9199,244.5,0.029024894010218502,0.0870746820306555,9199,4,1.0,False,True,c:0x3bc367866468d4f80096be899b66ab29d03f2717
0x802b65b5d9016621e66003aed0b16615093f328b,4,8879,2231.5,0.42853924991553105,0.931185944363104,8879,4,1.0,False,False,c:0x802b65b5d9016621e66003aed0b16615093f328b
0x76edb2236c9b58e45ab0b4bc5c462f6f1e52827d,3,8421,1452.0,0.8162926018287614,1.0,8421,4,1.0,False,False,c:0x903b82900b26abfe778efa6a05c088217670ba72
0x9999b0cdd35d7f3b281ba02efc0d228486940515,1,6877,6877.0,1.0,1.0,6877,4,1.0,False,False,c:0x9999b0cdd35d7f3b281ba02efc0d228486940515
0xca852767b43a395ac1dd54737193eba5e20c78bd,1995,6145,1.0,0.005858421480878763,0.01692432872253865,6145,4,0.0,True,False,public
0x1b81d678ffb9c0263b24a97847620c99d213eb14,1446,5519,1.0,0.025004529806124297,0.060699402065591594,5519,4,0.20148577640876972,True,False,public
0x0501f595d17dd90ff11a9873692ee3f8d478f4e5,1380,5009,1.0,0.006787781992413655,0.019964064683569576,5009,4,0.0,True,False,public
0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,1927,4031,1.0,0.042421235425452744,0.09600595385760358,4031,4,0.0,True,False,public
0xada78e46c203e59cd9bbe69b6da4b5685fa88bcb,10,3370,331.5,0.10741839762611276,0.314540059347181,3370,3,1.0,False,False,c:0xada78e46c203e59cd9bbe69b6da4b5685fa88bcb
0xd9c500dff816a1da21a48a732d3498bf09dc9aeb,1704,2918,1.0,0.03598355037697053,0.0788211103495545,2918,4,0.7244688142563399,True,False,public
