sender,distinct_eoas,arbs_with_tx,median_arbs_per_eoa,top_eoa_share,top3_eoa_share,strict_arbs,pools,tx_to_equals_sender_share,public,wallet_rotation,operator
0xba53da030f3504db8cf0309bb89791950d0ce5e6,1,73533,73533.0,1.0,1.0,73533,4,1.0,False,False,c:0xba53da030f3504db8cf0309bb89791950d0ce5e6
0x32564234df8961ae1d640be2cba4aeab54151551,20,72428,3622.0,0.0520931131606561,0.15422212404042634,72428,4,1.0,False,False,c:0x32564234df8961ae1d640be2cba4aeab54151551
0xaf30736465dec110ec6ab68d3a22e4b24968401f,50,48360,968.5,0.021360628618693134,0.06381306865177833,48360,4,1.0,False,True,c:0xaf30736465dec110ec6ab68d3a22e4b24968401f
0x0000000055eca968153aeffa4e421f9cd2680f01,6,48166,5579.0,0.45990947971598223,0.9976331852343977,48166,4,1.0,False,False,c:0x0000000055eca968153aeffa4e421f9cd2680f01
0x802b65b5d9016621e66003aed0b16615093f328b,4,47741,11770.5,0.3799250120441549,0.8730231876165141,47741,4,1.0,False,False,c:0x802b65b5d9016621e66003aed0b16615093f328b
0x5efc784d444126ecc05f22c49ff3fbd7d9f4868a,12594,39165,1.0,0.00497893527384144,0.014094216775181922,39165,4,0.0,True,False,public
0xde9e4fe32b049f821c7f3e9802381aa470ffca73,12369,32509,1.0,0.004183456888861546,0.012212002829985542,32509,4,0.0,True,False,public
0x2fba633d7b9bfe947cfa7d2d86aef05014b41024,15,32071,2032.0,0.13981478594368743,0.27610613950297774,32071,1,1.0,False,False,c:0x2fba633d7b9bfe947cfa7d2d86aef05014b41024
0x4d93ce2e938724381600bc61469a6de798e87cb6,1,23689,23689.0,1.0,1.0,23689,4,1.0,False,False,c:0x73dddbc2971865d721c5678bb2106d637d43990e
0x7af9e4af669ee8a1dd25a86f65f38028fd562640,11,12115,132.0,0.35559224102352455,0.8800660338423442,12115,3,1.0,False,False,c:0x7af9e4af669ee8a1dd25a86f65f38028fd562640
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,3410,11704,1.0,0.25717703349282295,0.42720437457279564,11704,4,0.2089883800410116,True,False,public
0x3dd696bc5bf81ec3032260b981be4cb10645dac7,12,10203,849.5,0.1558365186709791,0.45957071449573655,10208,4,0.0,False,False,c:0x3dd696bc5bf81ec3032260b981be4cb10645dac7
0x73dddbc2971865d721c5678bb2106d637d43990e,2,9604,4802.0,0.7995626822157434,1.0,9604,4,1.0,False,False,c:0x73dddbc2971865d721c5678bb2106d637d43990e
0x1b81d678ffb9c0263b24a97847620c99d213eb14,1360,8001,1.0,0.37682789651293586,0.47069116360454943,8001,4,0.18272715910511186,True,False,public
0x1a0a18ac4becddbd6389559687d1a73d8927e416,5063,7593,1.0,0.004872909258527592,0.014223627024891347,7593,4,0.9985512972474647,True,False,public
0xca852767b43a395ac1dd54737193eba5e20c78bd,4876,7468,1.0,0.0032137118371719335,0.009239421531869308,7489,4,0.0,True,False,public
0x22444f9024367c1313613d54efa31f0aaf8627d7,11,5847,581.0,0.10381392166923209,0.3078501795792714,5847,4,1.0,False,False,c:0xb8d309c93f7de9ce6ed3d35322db8aee32da54bb
0xd9c500dff816a1da21a48a732d3498bf09dc9aeb,2406,4532,1.0,0.1118711385701677,0.14386584289496912,4532,4,0.997793468667255,True,False,public
0x63bb8d3cb8d61e094cae85e30d0f3c9d96552758,59,3833,65.0,0.03913383772501957,0.1054004696060527,3833,4,1.0,False,True,c:0x63bb8d3cb8d61e094cae85e30d0f3c9d96552758
0xc83c288d798cc1322be26482ab05cee5ffd6988c,1,3764,3764.0,1.0,1.0,3764,4,1.0,False,False,c:0xc83c288d798cc1322be26482ab05cee5ffd6988c
0xbddbcbaa9cf9603b7055aad963506ede71692f12,39,3747,98.0,0.03229250066720043,0.0944755804643715,3747,4,1.0,False,True,c:0xbddbcbaa9cf9603b7055aad963506ede71692f12
0xca9326c4c307dc84e676e6c9c7095bde2efa981d,1318,2669,1.0,0.026976395653802922,0.06706631697264893,2669,4,0.0,True,False,public
0x221967c56547f789a4c2e817a15fc4948606b09a,50,2443,48.0,0.02783462955382726,0.07777322963569382,2457,4,0.9943019943019943,False,True,c:0xf31d55b8be017de3d96781c6752f54f793d6d25d
0x59efe11a8a0ad85bcc767bef4c7bb0fa1cbdef08,1,2342,2342.0,1.0,1.0,2342,4,1.0,False,False,c:0xba53da030f3504db8cf0309bb89791950d0ce5e6
0x21bc3de3de5a774a6f0c5805729e8290b8bdc9da,32,2001,57.0,0.0559720139930035,0.16141929035482258,2012,3,0.9945328031809145,False,True,c:0x21bc3de3de5a774a6f0c5805729e8290b8bdc9da
0x1a1c77f5ca5836b9a55bc84a06b2ce7c7b35558a,1,1569,1569.0,1.0,1.0,1569,4,1.0,False,False,c:0xc83c288d798cc1322be26482ab05cee5ffd6988c
