sender,distinct_eoas,arbs_with_tx,median_arbs_per_eoa,top_eoa_share,top3_eoa_share,strict_arbs,pools,tx_to_equals_sender_share,public,wallet_rotation,operator
0xba53da030f3504db8cf0309bb89791950d0ce5e6,1,180304,180304.0,1.0,1.0,180304,4,1.0,False,False,c:0xba53da030f3504db8cf0309bb89791950d0ce5e6
0x5efc784d444126ecc05f22c49ff3fbd7d9f4868a,25244,65938,1.0,0.0026691740726136675,0.007931693408959932,65938,4,0.0,True,False,public
0x802b65b5d9016621e66003aed0b16615093f328b,8,58732,5151.5,0.4086698903493836,0.7740584349247429,58732,4,1.0,False,False,c:0x802b65b5d9016621e66003aed0b16615093f328b
0xaf30736465dec110ec6ab68d3a22e4b24968401f,50,53070,1064.0,0.02193329564725834,0.06465046165441869,53070,4,1.0,False,True,c:0xaf30736465dec110ec6ab68d3a22e4b24968401f
0x32564234df8961ae1d640be2cba4aeab54151551,20,52297,2603.5,0.05189590225060711,0.15480811518825172,52297,4,1.0,False,False,c:0x32564234df8961ae1d640be2cba4aeab54151551
0x2fba633d7b9bfe947cfa7d2d86aef05014b41024,15,51796,3466.0,0.06859603058151209,0.20459108811491236,51796,1,1.0,False,False,c:0x2fba633d7b9bfe947cfa7d2d86aef05014b41024
0xca852767b43a395ac1dd54737193eba5e20c78bd,13945,36928,1.0,0.0025996533795493936,0.007663561525129983,36928,4,0.0,True,False,public
0x6777c00839fe6ccfc84f08a44704108471bb1fe4,4,33102,7298.0,0.45637725817171165,0.8973173826354903,33102,4,1.0,False,False,c:0x6777c00839fe6ccfc84f08a44704108471bb1fe4
0xde9e4fe32b049f821c7f3e9802381aa470ffca73,7185,21195,1.0,0.005095541401273885,0.014626091059212079,21195,4,0.0,True,False,public
0x971435fc38eed5e0aaff0dd717d0d16a02a4110e,12,19788,1133.0,0.2112391348291894,0.5950070749949464,19788,3,1.0,False,False,c:0x971435fc38eed5e0aaff0dd717d0d16a02a4110e
0x7af9e4af669ee8a1dd25a86f65f38028fd562640,11,15316,269.0,0.40506659702272135,0.8454557325672499,15316,3,1.0,False,False,c:0x971435fc38eed5e0aaff0dd717d0d16a02a4110e
0x1b81d678ffb9c0263b24a97847620c99d213eb14,1209,7883,1.0,0.040086261575542306,0.08385132563744767,7883,4,0.19104401877457822,True,False,public
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,2245,6585,1.0,0.10508731966590737,0.22323462414578588,6585,4,0.3345482156416097,True,False,public
0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,2434,5991,1.0,0.021365381405441496,0.049073610415623435,5991,4,0.0,True,False,public
0xd9c500dff816a1da21a48a732d3498bf09dc9aeb,3368,5853,1.0,0.042200580898684434,0.06885357936101144,5853,4,0.9431060994361866,True,False,public
0xe0ad8db26ea39ac29fe31b3621dd31c8ee9aefc8,4,5484,774.5,0.687454412837345,0.9699124726477024,5484,4,1.0,False,False,c:0xe0ad8db26ea39ac29fe31b3621dd31c8ee9aefc8
