operator,contracts,eoas,pairs
c:0xbce729580490534fdaa5a4306c49c019418e2823,1,9,249618
c:0x32564234df8961ae1d640be2cba4aeab54151551,1,41,168874
c:0x2fba633d7b9bfe947cfa7d2d86aef05014b41024,1,15,107738
c:0x4bce263371ec91da8369fb00a1f344bae2ee5cdb,1,6,71306
c:0x7cda585e917fecb3a33c6d5a8f8a15dd956694dc,1,200,63672
c:0x802b65b5d9016621e66003aed0b16615093f328b,2,4,41279
c:0xaf30736465dec110ec6ab68d3a22e4b24968401f,1,50,39939
c:0x6777c00839fe6ccfc84f08a44704108471bb1fe4,1,4,32100
c:0xbbbf03817a447451bad374c97a7c7d566471f2fd,1,414,13508
c:0x903b82900b26abfe778efa6a05c088217670ba72,2,3,9217
c:0x3bc367866468d4f80096be899b66ab29d03f2717,1,38,9199
c:0x9999b0cdd35d7f3b281ba02efc0d228486940515,1,1,6877
c:0xada78e46c203e59cd9bbe69b6da4b5685fa88bcb,1,10,3370
c:0xe5770d891f8b12401b504ca7abaea56f06c40c1f,3,275,2748
c:0x38fd0494a4c938d999454a8b89103e5afa44edd6,1,3,2222
c:0x7ed06b08c179bd6192487a7132fa4617f2b5efc4,1,4,2169
c:0x645be9306a4577dec01c35586e1e44504bf19d57,2,3,1959
c:0xf6687cd56aec1a0faaba12feb6781398ab47fb21,1,64,1190
c:0xfd7ac7e9dfbb78a0ab17b2476bb890f178120d1d,1,10,923
c:0x3a1b4d22b94412a258e282d35befb66e86a22cfa,2,10,851
c:0x22ca19f13c5979d93bbe7b082e8e084a6c7b2511,1,48,772
c:0xb5cb0555942cb5b5555f7b87fb605db2f86818a9,1,80,682
c:0xd48648d2c58117d3e82fdb74a557498952181e36,2,36,622
c:0x77519fa2324078e75b43c1bf2f8681069100c6c0,2,20,589
c:0x6b3affc894b0d2d566e5ff03ad79188f1b65bfff,1,10,545
c:0xf6fd1b383bbf5975ca6e27ea6abc4ddca085b875,1,15,465
c:0x0000069bb6cecfb3e341d63194b4f0fe4cc28477,1,16,425
c:0x079892feef4b51fa346aa9dbb72e0c538f048144,1,5,373
c:0x4b1b2ea60cc20a171cb7eed8fe0de988f79651d2,1,20,347
c:0x9e488cad7d2f459cd86428b1ece855506bdba8b3,2,6,345
c:0x09ec43617504ca0484c2233b5a1c06bc3770ae00,1,15,343
c:0x98cb8cc0048defc498e7c885619ce2e236664c46,1,39,334
c:0x7c249c2316a99803ca540c219a520a34be5f37dc,1,5,331
c:0x232fa21c545e6b05e30795aaa0bea78cd3192193,2,34,326
c:0xe2228e892aae78fffd5f27d158074e888b72b5b9,1,1,326
c:0xe65f1199abfb99cb1b46704195a4ca47c8342572,1,32,313
c:0xaf7076ff9f05f2653e73aea69cf68e6ffc4ec800,1,32,305
c:0x54516061a25550fd284e0a27e4a9805bd7bd1585,1,15,303
c:0x56c77a490f16ab2c06b28c15729b0b89cf33bdad,2,11,298
c:0xb11a1ae493c8beb4863d491fecffc381842bbe1a,1,5,279
c:0x9c71dc4b91e6bcbbe0c2f4faf712ad7d4998ac52,2,46,251
c:0x25c3c965e99223bc450ca059ceab89ce9912a3f3,1,35,250
c:0x5bcd210a9a3117017ab055e9b69273d8a127d22e,2,5,219
c:0x6ecf62657b75f23eb14e715873ca001fae56d310,1,1,219
c:0xe82c715e37f2f2e190dd2ca86fb796cafaf0beff,1,17,213
c:0x6ca1e411487a3d07d5b321677ecaf4fb228978bb,1,1,193
c:0x3cfa4c77c35c78bb0b4d719a5afecf949817bcbc,1,4,184
c:0x2ec177695832b6784617f7920f47b1ffb66b4180,1,1,179
c:0x68df238e4dac7c742c4f0e8c33d3dd40b0252cf6,1,25,166
c:0x6d9cb7cbe8fd713bc64530ff70e440d663c15d20,1,57,157
c:0x829de98f1da7b8d527ddc7c9a1a1b204a4dc35ea,1,26,141
c:0x0000008ff94df6b6f32f96a13daa36d6b1d14be3,1,6,140
c:0x8b469c1bc168716b080a77b1226105890edf37ae,1,47,127
c:0x6ed1af35aef3b9b132ef02323b0939c514c65c22,1,1,104
c:0xe56e6802022c530e50af72cd4bbff013434cd58a,1,6,97
c:0x82371eb96a43ee566ee9930b4607335bc2d5b711,1,4,97
c:0xe6d85ce1f7dce8654c5bd0eb4d74cdc3c2937ea6,1,3,82
c:0xb0e60199c47bddba67766a1905812c5c069e96d0,1,2,79
c:0xe1af0c6060ff330f0f1d29b70a968f2c5e200528,2,1,77
c:0xad0e2f147a22c391b4d24fe81960a5ce6f8bc40d,1,10,75
c:0x0f8eab2b0f8272d488698a68f56da3038360d0a1,1,10,73
c:0x3a8ab96f2047bcffe1fa9c0f37a28882fe2c6e24,1,1,64
c:0x2ea94a042461940fb59cc7260bb85342891fb5eb,1,20,62
c:0x766eb8439f6bda4b120897b37adfcc1859d1c35c,1,20,61
c:0x83d7aed184c2f75c16b9f8eb857f0736803db3ff,1,2,58
c:0x58d3d500213362e2eaa22da20e6f1dc4c88abf49,1,13,57
c:0xe74770ab16968e4186a018c08b75c5b3c57db82e,2,1,53
c:0x81c37b26797145a4ab56f62c4714d3301d4894e6,1,22,52
c:0x188f36db7a4720ce657b94a53f62c6756dd73aff,1,17,51
c:0x904275e82073122814d7d0f1080b14192ba06c67,1,25,50
c:0x4ddccae1a76d6f304d814b3c18c1ffc68334b198,1,11,49
c:0xe2df96f550010a4e5e748f03d2facff2d82e41ed,1,1,46
c:0xb3ce293109069455428934c631da3e05a1df1d8c,1,1,42
c:0xe1e5a02b976504aa34245d2096eff33517a8d277,1,1,39
c:0x492aa65e70ee2c7b3ebd813aa8f0f840f6573917,1,1,39
c:0x5d0e835c26a106f7a07fa76693fe9b2d2ce93cca,1,27,38
c:0xb4aa6204d49a254d129d5acb4c166913d7c67a7c,1,1,37
c:0x27f70eb6f45c30989e26e6db4016ec2b8361bafa,1,18,36
c:0xfe07c0d1e599d60b50b3a3048210da53961fb91a,1,3,35
c:0xb6d6376903eba67b79811d07e216379a3982eed6,1,25,35
c:0xa108f6c0aef9795f3e585922404feb513afb0daa,1,25,35
c:0x99ee8d5755ed0e26b25915874d5b5e1f37183ba0,1,3,30
c:0x7043d7c9e868333dbb2e486f4670cddbe50b1aea,1,27,29
c:0x54e9cae0cdd209d16340a4c885ec24004b61a99b,1,6,29
c:0xfb6789c3cf1b8f949da89e9298b4030216dcda08,1,1,29
c:0xe6da22cbf461d4b5aae59ef626238dc739af9f5e,1,15,27
c:0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,1,4,27
c:0x5efc784d444126ecc05f22c49ff3fbd7d9f4868a,1,18,26
c:0x5a62c287a0447275ce6ab56b7bb195cd6b335edc,1,3,26
c:0xf20aa5e9d428432b49b4cc857be6feccef0b65bd,1,20,25
c:0xfdfdd7d57e10542e2e8233afbd91aed0ddfbff00,1,13,23
c:0x0ec9d8cbab956f414016a64681e5f8092a9bf48f,1,10,23
c:0xedbd3663c57641453bd144dd7c240bad314706dd,1,16,23
c:0xfeed001448bed378402ed4b73c2a4ce98ffd0ba9,1,1,22
c:0xf5dfb16d86df6da8729064b5530ddf995a0f544e,1,5,22
c:0xe7873206256f025af413c8d04246413b899254f5,1,1,21
c:0x00000000d196630ef3330458bdfcf4c042a0c91e,1,6,20
c:0xe39a5ee91a3cc00018b6b31e8948f21878783d26,1,12,20
