operator,contracts,eoas,pairs
c:0xba53da030f3504db8cf0309bb89791950d0ce5e6,2,1,75875
c:0x32564234df8961ae1d640be2cba4aeab54151551,1,20,72428
c:0xaf30736465dec110ec6ab68d3a22e4b24968401f,1,50,48360
c:0x0000000055eca968153aeffa4e421f9cd2680f01,1,6,48166
c:0x802b65b5d9016621e66003aed0b16615093f328b,1,4,47741
c:0x73dddbc2971865d721c5678bb2106d637d43990e,2,2,33293
c:0x2fba633d7b9bfe947cfa7d2d86aef05014b41024,1,15,32071
c:0x7af9e4af669ee8a1dd25a86f65f38028fd562640,1,11,12115
c:0x3dd696bc5bf81ec3032260b981be4cb10645dac7,1,12,10203
c:0xb8d309c93f7de9ce6ed3d35322db8aee32da54bb,3,11,5892
c:0xc83c288d798cc1322be26482ab05cee5ffd6988c,2,1,5333
c:0x63bb8d3cb8d61e094cae85e30d0f3c9d96552758,1,59,3833
c:0xbddbcbaa9cf9603b7055aad963506ede71692f12,1,39,3747
c:0xd5babf99197bd045c85416ce114b6a4fe6e55340,3,22,2998
c:0xf31d55b8be017de3d96781c6752f54f793d6d25d,4,50,2864
c:0x21bc3de3de5a774a6f0c5805729e8290b8bdc9da,1,32,2001
c:0xfaecbdb3817c5bb31442e9c41874ecf5ba09de42,2,62,1760
c:0x901c6931ddcba1e639a40e68265be791784cd2c0,1,170,1507
c:0x7b1f9eb7ab8cbdb1ce2cd96d74234c75c2fd028c,2,4,1331
c:0x22ca19f13c5979d93bbe7b082e8e084a6c7b2511,1,18,1325
c:0xd49bd24e4a34cdd0f78ef37baf30b43f82b6070e,1,40,1294
c:0x27f9f6fda8f78bc50c8f51289114f727b8c0a8b8,1,5,1268
c:0xb5cb0555a1d28c9dfdbc14017dae131d5c1cc19c,1,60,1249
c:0xe0ad8db26ea39ac29fe31b3621dd31c8ee9aefc8,2,4,1121
c:0x000000000008d5760657dd664c7096897e1ae801,1,45,1024
c:0xf6687cd56aec1a0faaba12feb6781398ab47fb21,1,64,926
c:0x2d3b5ca3e5ff50b12cd9d58216abaaa6b3836443,1,39,865
c:0x19113a761706a5914bb272690dc5d691554c12b5,1,72,750
c:0xfbcb2705105e4b07b5f6aab73c4b928d941abca6,4,17,673
c:0xa01cd5b68265b972b73a713f6d824d1a6d3612b0,1,39,497
c:0x32ddc51e48256ca3c080bbb5ec6a19fb6d021ec4,1,50,457
c:0xda006dcb8ab8b670c98fe5103340a16387187d7e,1,1,429
c:0x4a50dfa71ef3dac520a685427a1bb8bbe30608a6,1,2,416
c:0xfd7ac7e9dfbb78a0ab17b2476bb890f178120d1d,2,10,410
c:0x1546846a0aa3d2a4b2077f2e01dd4f3ea33d81df,1,10,330
c:0x9f96e3e9f7a944ae8e7bd3b3edf11f0cb40e8d27,1,1,308
c:0xe82c715e37f2f2e190dd2ca86fb796cafaf0beff,1,18,301
c:0xa87add891c727571bf07297cc8883c11ba7a73f0,1,1,290
c:0xee9593b1e2cfd4a1511d2dbe22db765d6194d038,1,63,290
c:0x96b4ede94dd5d1c45f8c5b41071f6e785f41e662,2,12,261
c:0x863cb59042b240e70add7378e166bbd9efdc7b66,3,24,212
c:0xd4ea1af6903b6d92bc8b06c2c56e42b5a23c78c1,1,6,200
c:0x6e7f0a32618d6fa255acc19e9a957e8154382ef8,1,12,184
c:0x7761fdc9f33ec8c5ff233f056081fc1202258500,2,27,184
c:0x7bba2a9a00a8b5d3be3f86f5c6140bf6e5f79a1a,1,25,182
c:0xbb5cbb0d8bdc8dee1485f6e1d22449da3d34d45d,1,11,181
c:0x64cd5941e231a838caeb1d3f09a54616077fe0cc,1,23,180
c:0xa59452081c357a60956eb8bd83303da678d0b0d9,1,1,159
c:0xa49839864c752ca76281335453a700fe31c0463b,1,2,127
c:0x5895b8e1b27cd44dbb2fcec6e6b7fcc484dbb8fd,1,35,124
c:0xd22e65a99e92551829035af1c7b9e51e9ba94f87,2,1,107
c:0xd115d22459aae9ed54954ab26551958cdf2556e7,1,11,91
c:0xb693c5df79e4bf2758261fe1a3445bcfaf578983,1,1,87
c:0x7b107da9d81f3f713a63c72b955c530e487afe65,2,10,79
c:0x50b81acf7e02117ee10dae154284db6924edf8a6,1,3,61
c:0x3d4327109af8b0b7526a9c729a8cf9f991927bea,1,15,60
c:0x4f6bf6548dccaa0c519bb34f953dc6376e38c5a5,1,14,57
c:0x94e76d2084a37bb8cc08843486d0889a55a36f57,1,10,57
c:0xe2e6fe779cf3ffe6a5d06f7262a0c00587252ffe,2,10,48
c:0x0000000000ef40f5e9e32ed6c4d6ab4993c0e850,1,7,44
c:0x0000000d94514cbcf9455c0be85541e5d45cf1f5,1,21,36
c:0xec48daceb2c60bc671462794fd82b6f7e7cfd221,1,1,36
c:0x9c966d591977dec351554e84140e6a3b5ed32401,1,19,35
c:0x2726972cd532bfda5bc6f299fd000e684472de6e,1,1,35
c:0x0239900d73144f92e7911db7fb06ee53eaf5f2e2,1,26,33
c:0xb24884318c5c103379bd3bb169d510a4c1987034,1,15,32
c:0x37d191a936d251bb731dac8e7dcc60a965e80a8e,1,1,32
c:0x6d3ebc288a9ff9aa2d852d52b79946760eb17671,1,14,30
c:0x9521c975e163c3f3722e67a921079d51cfc67bd5,1,27,27
c:0x311358fda82b53ad1523abb2908be722d766116f,1,11,27
c:0xd7aa118619eb50c94ab27d00892d9c924d971578,1,17,26
c:0x669134eb9139be393a447324dc915fbb4b2637bd,1,26,26
c:0x730483417ee09ca03098dc1ebf435d15b33e5fa0,1,1,26
