operator,contracts,eoas,pairs
c:0xba53da030f3504db8cf0309bb89791950d0ce5e6,1,1,180304
c:0x802b65b5d9016621e66003aed0b16615093f328b,1,8,58732
c:0xaf30736465dec110ec6ab68d3a22e4b24968401f,1,50,53070
c:0x32564234df8961ae1d640be2cba4aeab54151551,1,20,52297
c:0x2fba633d7b9bfe947cfa7d2d86aef05014b41024,1,15,51796
c:0x971435fc38eed5e0aaff0dd717d0d16a02a4110e,2,12,35104
c:0x6777c00839fe6ccfc84f08a44704108471bb1fe4,2,4,34601
c:0xe0ad8db26ea39ac29fe31b3621dd31c8ee9aefc8,2,4,6348
c:0x4d93ce2e938724381600bc61469a6de798e87cb6,1,1,5265
c:0x3dd696bc5bf81ec3032260b981be4cb10645dac7,2,31,3794
c:0xbddbcbaa9cf9603b7055aad963506ede71692f12,1,38,3731
c:0x6b3affc894b0d2d566e5ff03ad79188f1b65bfff,1,11,3301
c:0xc83c288d798cc1322be26482ab05cee5ffd6988c,1,1,2645
c:0x9999b0cdd35d7f3b281ba02efc0d228486940515,1,1,2108
c:0x95d39bca6531bb48c17c86fc8d778ccb24892ea7,6,21,2060
c:0x2d3b5ca3e5ff50b12cd9d58216abaaa6b3836443,1,39,1816
c:0x031942f26a094be40414f442a2f1295e3a5c1680,1,10,1518
c:0xb5c8568745177bba94ef6280b9a9ad720d65d6df,7,51,1416
c:0xa13eefe316c4d8d2d80a3f9421b5cf645b8efcea,1,3,1389
c:0xbf4d8fc48a24c4a12b9e7a343c8cd6c1c3c09ad6,3,4,1272
c:0x628683c3c54ec4a22217d0022d0d442b391e9a4f,1,5,1214
c:0x0000000000a6649355b08c797753d57dc5c8189e,3,50,1142
c:0x63e1e81573f8667fba28706e94741ad2291e1eb9,2,22,1021
c:0x901c6931ddcba1e639a40e68265be791784cd2c0,1,169,980
c:0xfa4732ce78bbd01f72bb8753de3a4ad9b779af8f,3,35,979
c:0xb5cb0555a1d28c9dfdbc14017dae131d5c1cc19c,2,113,844
c:0x63bb8d3cb8d61e094cae85e30d0f3c9d96552758,1,57,802
c:0xc8b731becc15e9ef2d6d8e5ce2d5c2436c067ab9,1,1,766
c:0xf258fcd1a2c216cd3f3303bea930cca1b6350d5d,2,32,707
c:0xf6687cd56aec1a0faaba12feb6781398ab47fb21,1,64,605
c:0x6d3ebc288a9ff9aa2d852d52b79946760eb17671,2,28,578
c:0xf6fd1b383bbf5975ca6e27ea6abc4ddca085b875,1,15,535
c:0xfe2580571b63492a888fb258e098efd3c95c74f5,2,50,441
c:0x22ca19f13c5979d93bbe7b082e8e084a6c7b2511,1,15,440
c:0xfd7ac7e9dfbb78a0ab17b2476bb890f178120d1d,1,10,434
c:0xec31bad228c039168f06af2ad391c62591481c09,5,88,434
c:0x8d7974ee458ea942125d4cd6cc351e9fd9000382,1,2,412
c:0x9a0b6082f3b0dbf711c18df0db6901b9cdbf04cb,1,1,382
c:0xd39b62d6a6ff06fd8329a6f9c27aedcc6a3c0140,1,20,362
c:0x4dc547970401d86f78882fc78432a3c558c63a55,1,1,353
c:0xfbcb2705105e4b07b5f6aab73c4b928d941abca6,2,20,343
c:0xa01cd5b68265b972b73a713f6d824d1a6d3612b0,1,42,328
c:0x0c92abddbff2b9010f00c7601fa3a6fd74fac9c9,1,5,322
c:0x82371eb96a43ee566ee9930b4607335bc2d5b711,3,5,292
c:0xe82c715e37f2f2e190dd2ca86fb796cafaf0beff,1,18,262
c:0x19113a761706a5914bb272690dc5d691554c12b5,1,66,244
c:0x6e7f0a32618d6fa255acc19e9a957e8154382ef8,1,20,243
c:0xd49bd24e4a34cdd0f78ef37baf30b43f82b6070e,1,40,219
c:0x82f01984945fc2d5330cf414f46b527137a80064,2,48,195
c:0xb693c5df79e4bf2758261fe1a3445bcfaf578983,1,1,165
c:0x7761fdc9f33ec8c5ff233f056081fc1202258500,1,21,156
c:0xf1ae60c3fb07a7cd639774a48501b81e9de539e3,1,10,139
c:0x7bba2a9a00a8b5d3be3f86f5c6140bf6e5f79a1a,1,10,126
c:0xec70c076ed9d5d4ffb8bc09094b9a251f239d0c2,1,3,112
c:0x96b4ede94dd5d1c45f8c5b41071f6e785f41e662,1,11,103
c:0xb11a1ae493c8beb4863d491fecffc381842bbe1a,2,4,82
c:0x478521635e1ab3b186f6484e33f1dbcdd8342c02,1,7,75
c:0xdad7bd5564b16443b78a89e027fbeb09c7ae53b4,2,18,70
c:0xa87add891c727571bf07297cc8883c11ba7a73f0,1,1,63
c:0xda006dcb8ab8b670c98fe5103340a16387187d7e,1,4,63
c:0x9c966d591977dec351554e84140e6a3b5ed32401,1,24,59
c:0xd175074944d964a8acbdc1b4db7593d59e151a3c,2,29,58
c:0x6166bd61e8eca7ae942046fb6251a998a2d7c687,1,28,52
c:0xa9e83f22fdd1f3aa396bcd3957f281c7d1a236e4,1,2,49
c:0x5895b8e1b27cd44dbb2fcec6e6b7fcc484dbb8fd,1,25,47
c:0x7ba4010e1a50b57eaa3302b79ce4858900000000,1,1,45
c:0xa49839864c752ca76281335453a700fe31c0463b,1,1,37
c:0x55e74e482a90aa5bba0e8b432b31bf77d36ebdff,1,1,34
c:0x4e100f73a329277bc6203c83055677def6aa3a48,1,16,33
c:0x9f96e3e9f7a944ae8e7bd3b3edf11f0cb40e8d27,1,1,33
c:0x77f37407956fa24683dcbb7722206da43b70770a,1,16,33
c:0xc233b845fb3e480e4197eb8a18d68b0b2409d5d8,1,21,30
c:0xbfb651cae30adfd0ba13b3e99af6759d1d0aeeb4,1,28,29
c:0x1f3af3d15dc9b479645f592122f3b235d8e3d7bb,1,6,28
c:0x0000000000ef40f5e9e32ed6c4d6ab4993c0e850,1,6,26
c:0xb80ccaa913d36757fe7b6251333113e650a11867,1,6,26
c:0xce6e8180bc00192f4cbb4a6a787dee28c3327a4d,1,25,25
c:0x8a0f488d97061320e87e5ac9a27847014c7ab00b,1,21,24
c:0x927f64c33f48de56577fb08c87b58c66a038f53e,1,23,24
c:0xca980f000771f70b15647069e9e541ef73f71f2f,1,22,24
c:0x50b81acf7e02117ee10dae154284db6924edf8a6,1,5,23
c:0x0c575cba80b5d8e0314cefcd4decdb38b7dcbe3a,1,21,22
c:0x1a0a18ac4becddbd6389559687d1a73d8927e416,1,7,22
c:0xaaade4b0e50eda8677c57d062781d546ec2a8fda,1,10,21
c:0xa4d701cbdfffc843c816e2e7d7cad9667120f27f,1,1,21
c:0x59737d5ca86f626f269beb8b8037adc9459046ba,1,1,20
