sender,distinct_eoas,median_arbs_per_eoa,top3_eoa_share,strict_arbs,pools,tx_to_equals_sender_share,public
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,501,1.0,0.9172677131947392,18856,4,0.0535638523546881,True
0xca852767b43a395ac1dd54737193eba5e20c78bd,1995,1.0,0.0169243287225386,6145,4,0.0,True
0x1b81d678ffb9c0263b24a97847620c99d213eb14,1446,1.0,0.0606994020655915,5519,4,0.2014857764087697,True
0x0501f595d17dd90ff11a9873692ee3f8d478f4e5,1380,1.0,0.0199640646835695,5009,4,0.0,True
0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,1927,1.0,0.0960059538576035,4031,4,0.0,True
0xd9c500dff816a1da21a48a732d3498bf09dc9aeb,1704,1.0,0.0788211103495545,2918,4,0.7244688142563399,True
0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,994,1.0,0.0832861189801699,1765,4,0.0,True
0x07964f135f276412b3182a3b2407b8dd45000000,1588,1.0,0.0100710900473933,1688,4,0.9994075829383886,True
0xfd7aa0385068954edf310cac3fbbb69404207617,1255,1.0,0.0163522012578616,1590,1,1.0,True
0x78306b9a6834b5e78c53fa819ac4fb6bb4e8ff3d,475,2.0,0.0194552529182879,1294,4,0.9930448222565688,True
0xd2b37ade14708bf18904047b1e31f8166d39612b,974,1.0,0.021108179419525,1137,4,0.0,True
0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,395,1.0,0.2488755622188905,667,4,0.0,True
0x4a99693dbc7545efc4b39431f163adcb4ed541fb,455,1.0,0.143598615916955,611,4,0.0,True
0x2480faeb931272cd1f7375d8f4c104a4db5fff63,188,2.0,0.0528375733855185,518,4,0.9864864864864864,True
0x371148e04422670554536cfaa4f947a37a0e0aa8,167,2.0,0.0553935860058309,358,4,0.9581005586592178,True
0x1de460f363af910f51726def188f9004276bf4bc,250,1.0,0.0638297872340425,329,2,1.0,True
0xf5647a353608b4f5496da27ac0165f335bacada7,219,1.0,0.203076923076923,328,4,0.0030487804878048,True
0x1911c4fd8cccc5931ab39e66779ea4b5a851827a,156,1.0,0.3243243243243243,309,4,0.0,True
0x00000000ae2193c4ac6521146b1adafe9b43361d,274,1.0,0.0301003344481605,301,4,0.0,True
0xb7cbad7dd322bd1610c61c539ff2d36909055f54,169,1.0,0.2575757575757575,280,4,0.0035714285714285,True
0xd17f5e895e630e0e567e02754a7a6acec7a194c9,128,1.0,0.3829787234042553,242,4,0.0041322314049586,True
0x2f3e16796df1d2a9348023f3e73b9de653c34229,61,2.0,0.2835051546391752,195,4,0.9948717948717948,True
0x28421ef5c8d130d075f99fcb5e864ce4f870bfef,58,2.0,0.1267605633802817,165,4,0.6909090909090909,True
0xbc1d9760bd6ca468ca9fb5ff2cfbeac35d86c973,111,1.0,0.1164383561643835,164,4,0.5548780487804879,True
0x081df5b08fd64abee82c34c0dee72084d01c3987,62,2.0,0.1439393939393939,143,4,0.9230769230769232,True
0x8a3da22d0aecd1b17aabc94302159949d25eba4c,96,1.0,0.0576923076923076,134,4,0.0,True
0xda77c035e4d5a748b4ab6674327fa446f17098a2,126,1.0,0.0314960629921259,128,3,0.9921875,True
0x8153e6ef8725a02b63807a63838860fcdb0d5fd9,68,1.5,0.0892857142857142,122,4,0.918032786885246,True
0x21b0c9650d5b136c9760e5c73beaec73488ccdd0,53,1.0,0.1547619047619047,111,4,0.7567567567567568,True
0xd0a0e9db8b167242e47bf19256cf90263550c7e7,73,1.0,0.0795454545454545,108,4,0.8148148148148148,True
0xe24674df4c456f5c63aa490d753816b968aa5f1e,65,1.0,0.2842105263157894,107,4,0.0,True
0xe7eea05edcde7cedc97465d1c44577dc8401be19,61,1.0,0.1066666666666666,103,4,0.7281553398058253,True
0x19113a761706a5914bb272690dc5d691554c12b5,49,2.0,0.1666666666666666,103,4,0.9902912621359224,True
0xda4f2e8041aa91a93b1d46cf224bbd4e9134a9ec,45,1.0,0.2575757575757575,93,4,0.0,True
0x6ce015db8bc670b3a861a9176583d7c9f44d908d,82,1.0,0.0786516853932584,89,1,1.0,True
0x1a0a18ac4becddbd6389559687d1a73d8927e416,46,1.0,0.131578947368421,78,4,0.1025641025641025,True
0x4ab6a879beaedd6a4dfa4fb0e4ac72b061e1862f,40,1.0,0.1525423728813559,68,4,0.0,True
0xe89aab725a2b2c0656248dcccc894a04661be55a,43,1.0,0.196078431372549,60,4,0.0,True
0x3d73f57e89ea770a9db7c3d44317881c306698a3,38,1.0,0.125,55,4,0.0,True
0xb7e63e4d9bf08eff9be9283b2cb58dcbae1f58fd,35,1.0,0.1111111111111111,54,4,0.6666666666666666,True
0xb80460fcf45c77ae3cf58749827b32c9d73644e0,33,1.0,0.1666666666666666,53,3,0.9056603773584906,True
