hour_ms,n,overshoot_all,arb_loss_sum,arb_volume,cex,cex_n,share_cex,continuation,continuation_n,share_continuation,same_block,same_block_n,share_same_block,onchain,onchain_n,share_onchain,long,long_n,share_long,cex_jump,cex_move,cex_jump_n,cex_move_n,cex_tau_mean_ms,cex_tau_median_ms,cex_sqrt_tau_mean,cex_p_k1,sigma_ps,liq_mean,volume,hod,day,post,t_days
1765807200000,3,9.873347644070897,0.3460368248364893,34.28015998636861,1.51029389725341,1.0,0.3333333333333333,14.054874517479641,2.0,0.6666666666666666,,,0.0,,,0.0,,,0.0,0.0032286909013891363,1.5070652063520207,1.0,1.0,1164.0,1164.0,1.0788883167408942,0.0,9.924299508174232e-05,4.3927120992372294e+20,57.94784968091438,14,2025-12-15 00:00:00+00:00,0,-29.520833333333332
1765810800000,5,5.665566569591805,0.31674498008229446,32.07739880355788,6.111891010725784,3.0,0.6,4.996079907890836,2.0,0.4,,,0.0,,,0.0,,,0.0,0.9513738623080116,5.160517148417772,3.0,3.0,6654.0,2926.0,2.037601804245494,0.3333333333333333,0.00012927759563273762,4.395259213556939e+20,134.3170245244979,15,2025-12-15 00:00:00+00:00,0,-29.479166666666668
1765814400000,1,11.941806608628623,0.09306775859450053,8.961554505811971,11.941806608628623,1.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.16007163641260438,11.781734972216018,1.0,1.0,47808.0,47808.0,6.914332939626208,0.0,5.617173455913287e-05,4.395259213556939e+20,28.035142706310708,16,2025-12-15 00:00:00+00:00,0,-29.4375
1765818000000,4,9.804937235348785,0.3128047354015069,30.272645183532035,9.804937235348785,4.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.18446259742796803,9.620474637920818,4.0,4.0,27938.25,25282.0,5.050869126579878,0.0,7.128377677136965e-05,4.395259213556939e+20,47.84572149380776,17,2025-12-15 00:00:00+00:00,0,-29.395833333333332
1765821600000,1,6.786849962614559,0.07760035177045967,7.788217464577619,,,0.0,6.786849962614559,1.0,1.0,,,0.0,,,0.0,,,0.0,,,,,,,,,2.870850105067824e-05,4.395259213556939e+20,12.255298274122582,18,2025-12-15 00:00:00+00:00,0,-29.354166666666668
1765839600000,1,3.1785576186472464,0.06846120957188412,7.0,3.1785576186472464,1.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.17815699946197375,3.000400619185273,1.0,1.0,,,,,0.000330210863746716,4.395259213556939e+20,10.820999679047649,23,2025-12-15 00:00:00+00:00,0,-29.145833333333332
1765864800000,3,4.241440090915662,0.27667127418174725,28.66817639507382,7.886315430075761,1.0,0.3333333333333333,0.3423812764925295,1.0,0.3333333333333333,4.495623566178695,1.0,0.3333333333333333,,,0.0,,,0.0,0.10022476820812157,7.7860906618676395,1.0,1.0,29243.0,29243.0,5.407679724244031,0.0,6.558952435054679e-05,4.395259213556939e+20,50.145218403224135,6,2025-12-16 00:00:00+00:00,0,-28.854166666666668
1765886400000,3,3.0926709567418293,0.23842811318421422,24.79088376737545,1.6886289895352324,2.0,0.6666666666666666,5.900754891155023,1.0,0.3333333333333333,,,0.0,,,0.0,,,0.0,0.08984349488214485,1.5987854946530877,2.0,2.0,3404.5,3404.5,1.657671972165588,0.5,3.849175900408074e-05,4.395259213556939e+20,33.295151920230815,12,2025-12-16 00:00:00+00:00,0,-28.604166666666668
1765890000000,1,9.533900033697005,0.13845714030174727,14.0,9.533900033697005,1.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.7844929693202364,8.749407064376769,1.0,1.0,3656.0,3656.0,1.9120669444347391,0.0,4.1949464448531874e-05,4.395259213556939e+20,14.0,13,2025-12-16 00:00:00+00:00,0,-28.5625
1765897200000,3,7.031641391422219,0.3568070335362934,36.83163801151632,7.031641391422219,3.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.28269825534100895,6.748943136081209,3.0,3.0,15349.0,19648.0,3.6668700470325195,0.0,4.1403046623067294e-05,4.395259213556939e+20,36.83163801151632,15,2025-12-16 00:00:00+00:00,0,-28.479166666666668
1765944000000,2,3.610826589195513,0.07193100769133987,7.1594778347012,6.757525002858509,1.0,0.5,0.46412817553251673,1.0,0.5,,,0.0,,,0.0,,,0.0,0.06741724620793269,6.690107756650576,1.0,1.0,35179.0,35179.0,5.931188751000932,0.0,0.0003194548433214238,4.395259213556939e+20,16.42020730756772,4,2025-12-17 00:00:00+00:00,0,-27.9375
1765947600000,1,2.566909628387657,0.046879755439212495,4.791528994247715,,,0.0,,,0.0,2.566909628387657,1.0,1.0,,,0.0,,,0.0,,,,,,,,,6.303808701851234e-05,4.395259213556939e+20,29.14597233160504,5,2025-12-17 00:00:00+00:00,0,-27.895833333333332
1765965600000,1,1.6580286897927878,0.050506164459651726,5.228604664280223,,,0.0,,,0.0,1.6580286897927878,1.0,1.0,,,0.0,,,0.0,,,,,,,,,0.00012325534198841896,4.395259213556939e+20,9.976765331825906,10,2025-12-17 00:00:00+00:00,0,-27.6875
1765983600000,6,7.932747954988341,0.5280109871360846,52.68594922069717,9.152859668048439,5.0,0.8333333333333334,,,0.0,1.832189389687853,1.0,0.16666666666666666,,,0.0,,,0.0,0.6280500748379915,8.524809593210447,5.0,5.0,15415.6,12458.0,3.7953273381034784,0.0,0.00040816159391043026,4.395259213556939e+20,95.4077565587402,15,2025-12-17 00:00:00+00:00,0,-27.479166666666668
1765987200000,4,8.656800870674529,0.34399625302808157,34.112366305587,10.230214806743552,3.0,0.75,3.9365590624674573,1.0,0.25,,,0.0,,,0.0,,,0.0,1.7533042001924235,8.476910606551128,3.0,3.0,15356.666666666666,15643.0,3.903278264205152,0.0,0.00013624631394828067,4.393233624748608e+20,101.77968501653385,16,2025-12-17 00:00:00+00:00,0,-27.4375
1765998000000,3,4.9921929593574275,0.16595620711448744,16.554924885314527,4.9921929593574275,3.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,0.27410392372389486,4.7180890356335325,3.0,3.0,15184.333333333334,18928.0,3.7547463034475435,0.0,3.102355318160225e-05,4.382092886302788e+20,16.554924885314527,19,2025-12-17 00:00:00+00:00,0,-27.3125
