hour_ms,n,overshoot_all,arb_loss_sum,arb_volume,cex,cex_n,share_cex,continuation,continuation_n,share_continuation,same_block,same_block_n,share_same_block,onchain,onchain_n,share_onchain,long,long_n,share_long,cex_jump,cex_move,cex_jump_n,cex_move_n,cex_tau_mean_ms,cex_tau_median_ms,cex_sqrt_tau_mean,cex_p_k1,sigma_ps,liq_mean,volume,hod,day,post,t_days
1743310800000,125,0.6070518342191864,55.6749983750784,466136.63707268186,0.6995863108770461,36,0.288,0.8382269762643725,37,0.296,0.3771695921504623,50,0.4,0.41174717825987,2.0,0.016,,,0.0,0.24953618573299238,0.4500501251440537,36,36,1794.8333333333333,1777.0,1.2703707744809425,0.9722222222222222,5.28318951383368e-05,2.8488224301775375e+24,1751564.7246109925,5,2025-03-30 00:00:00+00:00,0,-30.00347222222222
1743314400000,131,0.639830441593978,59.50745839127387,497867.3166661763,0.768862437228312,32,0.24427480916030533,0.9368668964620898,48,0.366412213740458,0.27605763725583926,49,0.37404580152671757,0.3588773008943455,2.0,0.015267175572519083,,,0.0,0.23484468050921026,0.5340177567191018,32,32,1682.3125,1639.0,1.1864154155885538,0.96875,6.109264045578972e-05,2.9224851504411684e+24,2312088.7084277985,6,2025-03-30 00:00:00+00:00,0,-29.961805555555557
1743318000000,81,0.6091341758978563,35.29740167348675,306406.8053567998,0.6102010884850119,15,0.18518518518518517,0.8946971270545683,31,0.38271604938271603,0.3149319274010378,34,0.41975308641975306,1.7435554501242798,1.0,0.012345679012345678,,,0.0,0.24875146417480204,0.3614496243102098,15,15,1829.4,1883.0,1.299004050325083,0.9333333333333333,4.7679251848731637e-05,3.3279311728135625e+24,1940305.0376923773,7,2025-03-30 00:00:00+00:00,0,-29.92013888888889
1743321600000,80,0.5641927600925365,33.15848648570508,296671.8180144432,0.8657348643820922,21,0.2625,0.6832309092853421,31,0.3875,0.2062439452690492,28,0.35,,,0.0,,,0.0,0.2931936621133714,0.5725412022687207,21,21,2119.5714285714284,1893.0,1.4245823818044565,0.9047619047619048,5.59432285830538e-05,3.0573032473730756e+24,1730192.4776160358,8,2025-03-30 00:00:00+00:00,0,-29.87847222222222
1743325200000,129,0.6978413820344279,67.76444851347591,602887.9935306336,0.6599878579699233,38,0.29457364341085274,0.9389217149470177,42,0.32558139534883723,0.5205568908532523,49,0.3798449612403101,,,0.0,,,0.0,0.25322336248202604,0.4067644954878973,38,38,1533.8157894736842,1138.0,1.146954733341539,0.8947368421052632,6.25244166011271e-05,3.098423118823775e+24,2261471.0187084056,9,2025-03-30 00:00:00+00:00,0,-29.836805555555557
1743328800000,151,0.7194960224930319,75.52056685486025,717852.407423425,0.7292896324645131,51,0.33774834437086093,0.9993335343069841,48,0.31788079470198677,0.46954449324956377,50,0.33112582781456956,0.0024469157721149293,2.0,0.013245033112582781,,,0.0,0.30882574388855566,0.42046388857595735,51,51,1417.7450980392157,1193.0,1.1203460320894219,0.9607843137254902,7.109321437298679e-05,2.916908870952028e+24,2439471.2824215624,10,2025-03-30 00:00:00+00:00,0,-29.79513888888889
1743332400000,147,0.6769214828309865,70.91953308587513,597347.0834647738,0.9542833044631415,41,0.2789115646258503,0.9744317312181403,38,0.2585034013605442,0.34343289274818967,68,0.46258503401360546,,,0.0,,,0.0,0.22926603590906416,0.7250172685540772,41,41,1748.0,1792.0,1.2475557641129615,0.975609756097561,7.294733537649484e-05,2.832094624273159e+24,2348771.4593591997,11,2025-03-30 00:00:00+00:00,0,-29.75347222222222
1743336000000,127,0.7777568194147473,65.07781785242929,437641.6886062662,0.9546714804854036,25,0.1968503937007874,1.284534044466126,42,0.33070866141732286,0.3174822861333565,58,0.4566929133858268,1.271963295112922,2.0,0.015748031496062992,,,0.0,0.19459454354089442,0.7600769369445092,25,25,1633.76,1772.0,1.2218961415295686,1.0,5.4655971920569855e-05,2.709493115410931e+24,2698242.8537306627,12,2025-03-30 00:00:00+00:00,0,-29.711805555555557
1743339600000,169,0.8248811559824272,95.72043465369967,689574.9603195832,0.6485943808829299,46,0.27218934911242604,1.3525664963459645,55,0.3254437869822485,0.49927578442550624,66,0.3905325443786982,1.11310738465198,2.0,0.011834319526627219,,,0.0,0.29179170809251803,0.35680267279041183,46,46,1637.4347826086957,1817.5,1.204902718013607,0.9782608695652174,8.397903344979142e-05,2.6786940246737173e+24,2772773.3199121775,13,2025-03-30 00:00:00+00:00,0,-29.67013888888889
1743343200000,179,0.8533214214668009,101.45159477564596,801941.4149422494,0.8510156751667581,49,0.2737430167597765,1.2998921499338585,55,0.30726256983240224,0.5273426415069864,75,0.41899441340782123,,,0.0,,,0.0,0.25878563178897973,0.5922300433777784,49,49,1844.8367346938776,1892.0,1.2919765750620147,0.9591836734693877,7.602585959310711e-05,2.626305284750128e+24,3357016.407669919,14,2025-03-30 00:00:00+00:00,0,-29.62847222222222
