hour_ms,n,overshoot_all,arb_loss_sum,arb_volume,cex,cex_n,share_cex,continuation,continuation_n,share_continuation,same_block,same_block_n,share_same_block,onchain,onchain_n,share_onchain,long,long_n,share_long,cex_jump,cex_move,cex_jump_n,cex_move_n,cex_tau_mean_ms,cex_tau_median_ms,cex_sqrt_tau_mean,cex_p_k1,sigma_ps,liq_mean,volume,hod,day,post,t_days
1748656800000,26,1.0673592333502309,95.29321743697434,164658.02729872297,0.9291418081733018,9.0,0.34615384615384615,1.3042294923923223,13.0,0.5,0.8035104638716936,3.0,0.11538461538461539,0.02354900083101786,1.0,0.038461538461538464,,,0.0,0.23059610412570888,0.6985457040475929,9.0,9.0,4583.111111111111,3159.0,1.9216618410106103,0.2222222222222222,5.6936660072846647e-05,3.1394013903732024e+23,567904.8743509873,2,2025-05-31 00:00:00+00:00,0,-30.020844907407408
1748660400000,46,0.6085229421860173,116.89145563839335,221278.26877073478,0.8002192900504949,21.0,0.45652173913043476,0.4893330991352757,19.0,0.41304347826086957,0.31502022765436183,6.0,0.13043478260869565,,,0.0,,,0.0,0.1039901435244251,0.6962291465260696,21.0,21.0,1797.3333333333333,1215.0,1.2178319000980502,0.7142857142857143,8.352172952396294e-05,3.456466424474267e+23,873058.8910619508,3,2025-05-31 00:00:00+00:00,0,-29.97917824074074
1748664000000,28,0.3388476558837081,46.970629997886775,89258.66976786041,0.3005655000885139,13.0,0.4642857142857143,0.43050904101096477,11.0,0.39285714285714285,0.21119585311813338,4.0,0.14285714285714285,,,0.0,,,0.0,0.17020032613139188,0.13036517395712202,13.0,13.0,1669.8461538461538,1100.0,1.1385814745710292,0.6923076923076923,4.69993429396989e-05,3.587324689154101e+23,274360.24587001663,4,2025-05-31 00:00:00+00:00,0,-29.937511574074072
1748667600000,24,0.7352202870731652,86.4566813779603,160483.46177321373,0.8676271654097197,14.0,0.5833333333333334,0.6504004730596745,8.0,0.3333333333333333,0.14765139477124645,2.0,0.08333333333333333,,,0.0,,,0.0,0.31407849226966134,0.5535486731400585,14.0,14.0,1537.642857142857,1420.0,1.2184661777279204,0.5,4.9112732414783214e-05,3.58694610994265e+23,300181.9451272118,5,2025-05-31 00:00:00+00:00,0,-29.895844907407408
1748671200000,12,0.48326486864684576,24.981213322915142,47404.253192062235,0.527462190220896,6.0,0.5,0.43906754707279555,6.0,0.5,,,0.0,,,0.0,,,0.0,0.16257742935695882,0.3648847608639372,6.0,6.0,2515.5,1334.0,1.3540913715083205,0.6666666666666666,3.6873031083793726e-05,3.5869209837500705e+23,159992.63539501256,6,2025-05-31 00:00:00+00:00,0,-29.85417824074074
1748674800000,14,0.3648644239316446,22.645921747249353,42512.84469302327,0.7193558508570329,5.0,0.35714285714285715,0.21467026190856675,7.0,0.5,0.004315423698946115,2.0,0.14285714285714285,,,0.0,,,0.0,0.3302470199905193,0.3891088308665136,5.0,5.0,1912.2,1639.0,1.3338902115467626,0.4,3.3268975531433256e-05,3.5868759172326405e+23,160485.4640490154,7,2025-05-31 00:00:00+00:00,0,-29.812511574074072
1748678400000,27,0.6005736496737383,80.35681613628604,146854.31764853158,0.8517215294250459,11.0,0.4074074074074074,0.45628355763609163,15.0,0.5555555555555556,0.0022983529740549027,1.0,0.037037037037037035,,,0.0,,,0.0,0.22890584533364222,0.6228156840914035,11.0,11.0,1804.090909090909,844.0,1.1547105439448586,0.8181818181818182,4.709088733713015e-05,3.590180354265179e+23,345302.64517029066,8,2025-05-31 00:00:00+00:00,0,-29.770844907407408
1748682000000,6,1.1098861124035213,25.36288058189349,45315.261081541415,0.9362130501261489,4.0,0.6666666666666666,1.4572322369582658,2.0,0.3333333333333333,,,0.0,,,0.0,,,0.0,0.33520064645909275,0.6010124036670561,4.0,4.0,3197.75,2068.5,1.5834815862437284,0.5,3.269547826859271e-05,3.59364718508111e+23,112602.80295512249,9,2025-05-31 00:00:00+00:00,0,-29.72917824074074
1748685600000,18,0.8136217744221408,69.21608912574027,130976.15155880954,0.7599819586273692,6.0,0.3333333333333333,0.7325220728971454,11.0,0.6111111111111112,2.0275573859657214,1.0,0.05555555555555555,,,0.0,,,0.0,0.1324063932665456,0.6275755653608236,6.0,6.0,4999.333333333333,1568.5,1.8504018973900838,0.3333333333333333,5.0407346733627914e-05,3.598939396236483e+23,359311.6014827482,10,2025-05-31 00:00:00+00:00,0,-29.687511574074072
1748689200000,10,0.4081029811172686,18.817520805750195,35572.43957419545,0.570145443513826,3.0,0.3,0.3945208433301786,6.0,0.6,0.0034684206501366457,1.0,0.1,,,0.0,,,0.0,0.1680098082466466,0.4021356352671794,3.0,3.0,1439.3333333333333,1543.0,1.1962869903919682,0.3333333333333333,3.2250910357025126e-05,3.6001580870260816e+23,120767.6290695818,11,2025-05-31 00:00:00+00:00,0,-29.645844907407408
1748692800000,23,0.8829805993223709,82.736614999847,150354.5372995955,0.9599484408809568,13.0,0.5652173913043478,0.782922405296209,10.0,0.43478260869565216,,,0.0,,,0.0,,,0.0,0.24315638932173808,0.7167920515592188,13.0,13.0,2599.5384615384614,1471.0,1.3574077145398151,0.5384615384615384,4.239681127398034e-05,3.5971519677539e+23,393843.94382714364,12,2025-05-31 00:00:00+00:00,0,-29.60417824074074
1748696400000,23,0.45075976656722816,59.34502788650089,118106.66665840201,0.41445783698174093,13.0,0.5652173913043478,0.5531666275353428,9.0,0.391304347826087,0.0010231024655292867,1.0,0.043478260869565216,,,0.0,,,0.0,0.1191283288464484,0.2953295081352926,13.0,13.0,2864.076923076923,1349.0,1.4246152375605554,0.5384615384615384,4.0082062680062116e-05,3.634800884640182e+23,335801.08087316033,13,2025-05-31 00:00:00+00:00,0,-29.562511574074072
1748700000000,26,0.8635703246404316,107.99325078678613,172745.30893422026,1.2076054798765323,11.0,0.4230769230769231,0.4849292795589032,10.0,0.38461538461538464,0.8639750732840668,5.0,0.19230769230769232,,,0.0,,,0.0,0.44574125363481903,0.7618642262417132,11.0,11.0,3831.0,1384.0,1.6343316784018198,0.6363636363636364,5.814643457478506e-05,3.7197606855892805e+23,547772.0283863066,14,2025-05-31 00:00:00+00:00,0,-29.520844907407408
1748703600000,36,0.5527937153788798,107.28804057191215,204012.23527978262,0.873345478186076,15.0,0.4166666666666667,0.3993140124789645,16.0,0.4444444444444444,0.0822734762370202,5.0,0.1388888888888889,,,0.0,,,0.0,0.3351752526581789,0.5381702255278972,15.0,15.0,1129.2,1013.0,1.029696163841413,0.7333333333333333,5.524933308577232e-05,3.6846101071693304e+23,550876.1734316124,15,2025-05-31 00:00:00+00:00,0,-29.47917824074074
1748707200000,26,0.49453089954184015,71.68243948881124,139451.14434756784,0.8519027699810432,8.0,0.3076923076923077,0.3846090831597927,13.0,0.5,0.20853262943243847,5.0,0.19230769230769232,,,0.0,,,0.0,0.4387358519317196,0.4131669180493236,8.0,8.0,1471.75,1681.0,1.1848316465382842,0.5,5.6077920118611354e-05,3.68500568349751e+23,392487.65588962287,16,2025-05-31 00:00:00+00:00,0,-29.437511574074072
1748710800000,17,0.6164003556893065,45.62289299945659,85036.87701953397,0.7424892319482,5.0,0.29411764705882354,0.547243571326299,10.0,0.5882352941176471,0.6469620868571101,2.0,0.11764705882352941,,,0.0,,,0.0,0.20892523798499588,0.5335639939632042,5.0,5.0,1197.4,1185.0,1.0851132870744067,0.8,4.183299285478383e-05,3.691499216305487e+23,252842.16679540562,17,2025-05-31 00:00:00+00:00,0,-29.395844907407408
1748714400000,25,0.534540963114276,67.00300059073184,130602.6712643853,0.5741736903337779,16.0,0.64,0.4664712240050834,6.0,0.24,0.45930589616198486,3.0,0.12,,,0.0,,,0.0,0.17847279368849323,0.3957008966452846,16.0,16.0,1355.6875,1033.5,1.0815590081861997,0.75,2.6715188190827987e-05,3.7011375730567166e+23,239716.04075989494,18,2025-05-31 00:00:00+00:00,0,-29.35417824074074
1748718000000,17,0.5799547033836042,44.65999914428223,84704.3093052012,0.7311511435245961,11.0,0.6470588235294118,0.3455106893431913,5.0,0.29411764705882354,0.08901393203475816,1.0,0.058823529411764705,,,0.0,,,0.0,0.2633054573054065,0.4678456862191896,11.0,11.0,1180.909090909091,885.0,1.037991123608033,0.7272727272727273,3.0301932881760454e-05,3.690077918655605e+23,174010.8681190244,19,2025-05-31 00:00:00+00:00,0,-29.312511574074072
