,swaps,swaps,volume_quote,volume_quote,arb_share,arb_share,arb_loss,arb_loss,fee_income,fee_income,arb_loss_bps,arb_loss_bps
regime,post,pre,post,pre,post,pre,post,pre,post,pre,post,pre
hour,,,,,,,,,,,,
0,659,261,552.3433418374351,130.67493409435843,0.6054628224582701,0.6819923371647509,0.9608564021734718,0.33980792840578306,1.3808583545935877,0.3266873352358961,17.395998636954143,26.00406350007514
1,291,317,167.78794392300574,208.10464995479617,0.5257731958762887,0.6624605678233438,0.41284829955388647,0.5414748095947519,0.41946985980751433,0.5202616248869903,24.605361380632548,26.019351788264668
2,280,548,150.86069420334013,356.3629686026388,0.5821428571428572,0.7025547445255474,0.32167198088332116,0.9902207772499297,0.3771517355083504,0.8909074215065969,21.3224513238518,27.786859592419432
3,400,409,203.92178830309265,306.47638015158856,0.61,0.6919315403422983,0.4586278685027041,0.7466530052551592,0.5098044707577317,0.7661909503789712,22.490380862148836,24.362497523817385
4,315,486,133.82776365048872,401.9206299412675,0.6730158730158731,0.7551440329218106,0.28364947671190915,1.331370606656591,0.33456940912622196,1.004801574853169,21.195114449696874,33.12521198155824
5,306,438,126.67694619579372,283.92071390531595,0.6078431372549019,0.7100456621004566,0.2846072036025148,0.7818174689544636,0.3166923654894844,0.7098017847632899,22.46716645368304,27.536471650856374
6,292,437,139.56892784150017,333.81422274380213,0.5582191780821918,0.6590389016018307,0.32341509031235754,0.6777643528921194,0.3489223196037504,0.8345355568595054,23.1724277970839,20.30363917154885
7,241,444,108.53365858459658,481.25785653600377,0.5726141078838174,0.7162162162162162,0.24070096885554665,1.343756300530059,0.2713341464614915,1.2031446413400093,22.177541234172278,27.92175301203691
8,423,336,264.8666455123589,245.9001761782131,0.6524822695035462,0.6607142857142857,0.5837148042820491,0.6396890848518599,0.662166613780897,0.6147504404455327,22.038063839745067,26.01417757375876
9,376,384,230.60646411615357,227.06307336400604,0.6356382978723404,0.6901041666666666,0.5739013240061905,0.5611726210476079,0.5765161602903839,0.5676576834100151,24.88661045152332,24.714393790838418
10,323,340,215.06549867960584,283.1784391787511,0.48606811145510836,0.6617647058823529,0.3959878103355854,0.7964910481380091,0.5376637466990147,0.7079460979468777,18.412428435372092,28.126825278362347
11,264,284,152.56678069704407,251.68511260705458,0.6060606060606061,0.6725352112676056,0.2730604846700449,0.7272362559929011,0.38141695174261026,0.6292127815176365,17.897768008375845,28.89468703412365
12,307,330,196.79763222798692,231.83505323555573,0.5798045602605864,0.6575757575757576,0.19390403004728485,0.6234725704469686,0.49199408056996724,0.5795876330888894,9.85296559984269,26.892937963677564
13,429,432,267.4438957331153,284.2928271337151,0.6293706293706294,0.7962962962962963,0.604030131278268,0.7595905594833883,0.6686097393327884,0.7107320678342876,22.58530259673734,26.718597410342692
14,787,376,545.5066716055383,253.41287091962872,0.6111817026683609,0.7207446808510638,1.0078342201488373,0.7008851955602345,1.3637666790138456,0.633532177299072,18.475195127908776,27.657837307818678
15,696,523,437.9396683763495,332.6532832197404,0.6623563218390804,0.6845124282982792,0.9771687728441497,0.8477825088237999,1.0948491709408736,0.8316332080493509,22.312862784661156,25.485469453905292
16,523,522,464.5982354650257,341.90376924200416,0.6042065009560229,0.7279693486590039,0.5920157888929422,0.9273370884476522,1.1614955886625642,0.8547594231050105,12.74253201371679,27.122751249673133
17,659,390,410.1712715981527,238.59051710422025,0.6646433990895296,0.7230769230769231,0.7710262816878326,0.6563261457363976,1.0254281789953823,0.5964762927605507,18.797666610917883,27.508475764344965
18,626,405,545.2997391824744,271.6251694661767,0.670926517571885,0.6444444444444445,0.9076266953258959,0.6464005196910044,1.3632493479561858,0.6790629236654417,16.644546661376186,23.79751924173196
19,534,262,340.6228761387152,174.08361749920948,0.6966292134831461,0.5801526717557252,0.5917121949978418,0.5014484602856486,0.851557190346788,0.4352090437480237,17.3714755070318,28.805034470743678
20,377,267,275.05773292319003,133.35819913008305,0.6843501326259946,0.5280898876404494,0.5623277756120391,0.3352740482442098,0.6876443323079754,0.33339549782520767,20.443990780985214,25.140865011019667
21,424,195,199.9387040242179,125.18610214511182,0.5872641509433962,0.4512820512820513,0.48795503017377984,0.2562061693413456,0.4998467600605448,0.3129652553627795,24.405231220998385,20.466023380483513
22,284,332,157.42684575837518,205.95232206888687,0.6091549295774648,0.5873493975903614,0.3433099100255315,0.5454397809581468,0.3935671143959379,0.5148808051722171,21.80758360314586,26.483788843891173
23,264,269,136.54202417611572,195.72050402292078,0.5340909090909091,0.5910780669144982,0.2642606309356516,0.44388809505698257,0.3413550604402894,0.48930126005730196,19.353794740496955,22.679693028227586
