,pre,post
hours,720.0,720.0
n_blocks,3455363.0,5757458.0
n_headers,3455363.0,5757458.0
block_interval_ms,750.1382054904811,450.1987682758608
n_intervals,3455362.0,5757458.0
swaps,8987.0,10080.0
swaps_per_block,0.002600884480154473,0.0017507726500132525
share_blocks_with_swap,0.0023670450832517453,0.0016319702201909245
volume_quote_per_hour,8.748577362635288,8.922183847708016
arb_swaps_share,0.6777567597641037,0.6197420634920635
arb_strict_share,0.12317792366751976,0.12777777777777777
arb_volume_share,0.7530481139503024,0.6040465097308906
arb_swaps_per_hour,8.459725322815993,8.676389725732033
median_arb_size_quote,0.5504445330082345,0.39242704025670777
fee_bps_of_volume,25.000000000000004,25.00000000000001
arb_loss_bps_of_volume,26.546397896680578,19.32793862987169
lp_net_bps_of_volume,-1.5463978966805707,5.672061370128315
arb_loss_over_fee,1.061855915867223,0.7731175451948673
arb_loss_per_hour_quote,0.02322432156984087,0.0172447421852933
arb_loss_per_arb_quote,0.0024703936484861597,0.0019373679622619675
mean_abs_dev_bps,13.310143086888125,13.217547829316306
share_sec_outside_band,0.08731405290534613,0.08856211419753086
dev_half_life_s,212.47398164066198,128.58405066108654
outside_band_episode_mean_s,15.746953554766382,12.56585285745566
cex_vol_1s_bps,1.2145375987441887,1.5711014229460207
cex_vol_1m_per_s_bps,0.8341447326552625,0.8670855792537326
arb_loss_rate_over_sigma2,3337799.250336342,2293679.7431411264
arb_loss_rate_over_sigma3,40014629592.05422,26452749278.972076
markout_30s_bps_of_volume,-4.44568086953458,3.029954439356265
IS_window_hours,336.0,336.0
IS_dex_upper,0.21219334549272145,0.2440762301441458
IS_dex_lower,0.16653477355448262,0.1777239824893922
alpha_dex,-0.0005988436683751262,-0.000506305961099347
alpha_cex,0.001317486968181607,0.0012853869291210936
