,swaps,swaps,volume_quote,volume_quote,arb_share,arb_share,arb_loss,arb_loss,fee_income,fee_income,arb_loss_bps,arb_loss_bps
regime,post,pre,post,pre,post,pre,post,pre,post,pre,post,pre
hour,,,,,,,,,,,,
0,19614,6923,11875691.448780324,8044814.45966374,0.446619761394922,0.5269391882132024,4162.764529520817,3471.2001442498836,5937.845724390163,4022.40722983187,3.5052818166207467,4.314829337151641
1,17077,6917,9245115.864962963,8404269.767662015,0.46214206242314226,0.5295648402486627,3579.57737887159,3821.079467199067,4622.55793248148,4202.134883831007,3.871857779995416,4.546593068563593
2,13057,7193,7329760.656104902,8886275.205358496,0.479742666768783,0.5305157792298067,2841.0253847391327,3812.607911367348,3664.8803280524503,4443.137602679248,3.8760138537032094,4.290445460284996
3,13814,6792,6884634.68576121,8328540.568198449,0.4515708701317504,0.49793875147232036,2107.3135011661807,2998.7093411047226,3442.3173428806053,4164.270284099225,3.0608937109248844,3.600521984073586
4,10606,4681,5216045.545148164,4611515.580540884,0.4650198001131435,0.4971160008545183,1790.8223267174735,2005.6490161709626,2608.022772574082,2305.757790270442,3.433295033980775,4.349218778820043
5,10233,3947,4673973.602437416,3928633.2617740757,0.49340369393139843,0.5300228021281986,1719.5735569445585,1812.7250212008394,2336.9868012187076,1964.3166308870373,3.679039941620174,4.614136521315957
6,12410,4417,6427663.479743169,4591612.697851492,0.4591458501208703,0.5130178854426081,2270.453606008552,2030.8517354250505,3213.8317398715844,2295.806348925746,3.5323156122966055,4.422959576654466
7,12170,4852,5857199.291431238,4961099.301198185,0.45932621199671325,0.46393239901071726,2049.0594270572205,1972.6681785382873,2928.5996457156198,2480.5496505990927,3.4983604366252012,3.976272311384407
8,12956,6090,7286378.823059394,6603350.87611296,0.4612534732942266,0.5395730706075533,2640.074553461406,3038.9426508283414,3643.1894115296973,3301.6754380564803,3.623301255084752,4.602122025381763
9,11097,5701,5635335.869474938,6368815.886661607,0.42975578985311347,0.49763199438694966,1945.8515522822288,2530.6199910867113,2817.6679347374693,3184.4079433308034,3.4529469003300592,3.973454463311871
10,8963,5854,4208310.529901261,5533324.038398431,0.4526386254602254,0.41868807652886914,1703.687070508474,1964.4811434773574,2104.1552649506307,2766.662019199216,4.04838725280201,3.550273090541717
11,10129,3754,5210333.5005632825,3649577.2027509543,0.4596702537269227,0.4912093766648908,1860.1113890425263,1478.7674230468936,2605.1667502816404,1824.7886013754771,3.5700428558775217,4.051886947157161
12,11355,5133,5723252.037843686,5395442.842149315,0.4764420959929547,0.4804208065458796,2135.0318661052906,2349.79300131284,2861.6260189218424,2697.7214210746583,3.7304522882932365,4.3551439058091885
13,12219,8166,6640265.208809457,11105866.727481658,0.4791717816515263,0.5342885133480284,2622.452332534852,5143.510240692338,3320.132604404729,5552.933363740829,3.9493186643444855,4.631345186202021
14,30780,19409,23065140.259332024,27851255.456293777,0.4589993502274204,0.5392858982946056,8643.46664864442,13263.320251961162,11532.57012966601,13925.62772814689,3.7474156027069134,4.762198340672626
15,35506,19085,22139429.522806797,25599121.703182966,0.4604855517377345,0.5571391144878176,8227.624340732309,12288.96534791684,11069.714761403395,12799.560851591483,3.7162765789681584,4.800541788271135
16,31226,13265,23129623.31091467,16111526.163412046,0.47210657785179017,0.5626837542404824,10093.333549138571,7466.138612773456,11564.811655457333,8055.7630817060235,4.363812334278533,4.634035619622705
17,24691,10824,14257281.140980449,14736464.975899337,0.48256449718520916,0.5557095343680709,5222.379596997593,6710.753005703611,7128.6405704902245,7368.232487949667,3.6629561733103753,4.553841790876354
18,26863,8582,16551370.72041761,10219491.967867637,0.45188549305736514,0.5408995572127709,5931.627951046462,4358.382085985129,8275.685360208805,5109.745983933818,3.5837684088178046,4.26477372817441
19,21387,7779,12880075.53277915,8770965.49336902,0.46416047131434984,0.5471140249389381,4727.557016673378,3787.38269298435,6440.037766389573,4385.48274668451,3.6704419975193323,4.3180909739613815
20,21087,6974,11392202.570615709,8024271.204923948,0.45739080950348554,0.5633782621164325,4078.6322275561474,3516.557026818121,5696.1012853078555,4012.1356024619745,3.580196368765686,4.382400515900123
21,17332,4775,10829444.424909532,5755507.51773055,0.4806715901223171,0.541151832460733,2407.9922743149905,2612.471506744013,5414.722212454767,2877.7537588652744,2.223560304512211,4.539081043150361
22,17918,6510,12663521.78285843,8046061.589355821,0.49073557316664806,0.5228878648233487,3083.249711829613,4108.157429246829,6331.760891429217,4023.0307946779103,2.434749009555268,5.105799133679928
23,17555,5282,8185542.06938766,6182255.149448958,0.43303902022215895,0.5399469897765998,2841.46092818985,2795.1065536914007,4092.7710346938306,3091.127574724479,3.4713167486077228,4.521176312078508
