,pre,post
hours,720.0,720.0
n_blocks,3455363.0,5757458.0
n_headers,3455363.0,5757458.0
block_interval_ms,750.1382054904811,450.1987682758608
n_intervals,3455362.0,5757458.0
swaps,182905.0,420045.0
swaps_per_block,0.05293365704268987,0.07295667636654926
share_blocks_with_swap,0.03958165900369947,0.0547708728400624
volume_quote_per_hour,307930.7512455418,343482.7996277717
arb_swaps_share,0.5299909789234849,0.4635646180766346
arb_strict_share,0.29234848691943904,0.26293611398778705
arb_volume_share,0.6418046590932385,0.5323670813300181
arb_swaps_per_hour,134.6361604569261,270.44169275093486
median_arb_size_quote,999.9447265750161,405.42731571775164
fee_bps_of_volume,5.000000000000001,5.000000000000001
arb_loss_bps_of_volume,4.4805743114246654,3.586025081003827
lp_net_bps_of_volume,0.5194256885753352,1.4139749189961734
arb_loss_over_fee,0.8961148622849329,0.7172050162007654
arb_loss_per_hour_quote,137.97066137284733,123.17379343586013
arb_loss_per_arb_quote,0.9738507502616023,0.57665725124684
mean_abs_dev_bps,2.676856536509655,2.8536848469466665
share_sec_outside_band,0.07988859555007201,0.10767746913580246
dev_half_life_s,17.50841909543716,5.366347921945995
outside_band_episode_mean_s,3.634673781397553,2.6788370909998367
cex_vol_1s_bps,0.8150023957218299,1.539918749907267
cex_vol_1m_per_s_bps,0.9226555830592161,1.6101708016243603
arb_loss_rate_over_sigma2,16207182334.114449,4750883958.173896
arb_loss_rate_over_sigma3,175657988004330.66,29505465838662.246
markout_30s_bps_of_volume,-0.4912130183638793,-0.12172056532175703
IS_window_hours,336.0,336.0
IS_dex_upper,0.018462179327155166,0.0546665186374908
IS_dex_lower,0.001339203879444148,0.0015899774375963782
alpha_dex,-0.015778943016076748,-0.01800096650281428
alpha_cex,-0.0010532905788565336,-0.001345636066179057
