,pre,post
hours,720.0,720.0
n_blocks,3455363.0,5757458.0
n_headers,3455363.0,5757458.0
block_interval_ms,750.1382054904811,450.1987682758608
n_intervals,3455362.0,5757458.0
swaps,401146.0,689195.0
swaps_per_block,0.11609373602715546,0.11970473775058368
share_blocks_with_swap,0.0941186208221828,0.094721837310841
volume_quote_per_hour,278913.8359157081,3759951.087820608
arb_swaps_share,0.18307548872480345,0.21710111071612534
arb_strict_share,0.00024928579619390445,0.0002539194277381583
arb_volume_share,0.34280262973277437,0.2546975585038094
arb_swaps_per_hour,102.00003738427296,207.81252004364583
median_arb_size_quote,39.41609336564234,162.69992232129664
fee_bps_of_volume,1.0,0.9999999999999998
arb_loss_bps_of_volume,0.40507142702594523,0.11977721751680612
lp_net_bps_of_volume,0.5949285729740552,0.8802227824831937
arb_loss_over_fee,0.40507142702594523,0.11977721751680614
arb_loss_per_hour_quote,11.298002553165622,45.03564792984408
arb_loss_per_arb_quote,0.25535820009061233,0.6958290621081072
mean_abs_dev_bps,0.7088147022237927,0.7371762707902372
share_sec_outside_band,0.29621149106711586,0.3132368827160494
dev_half_life_s,1.9893498463493222,2.152257548553641
outside_band_episode_mean_s,2.5059206360603943,2.591941106613375
cex_vol_1s_bps,0.6538806956716913,0.6645022950446768
cex_vol_1m_per_s_bps,0.08875180134067291,0.08936569819740132
arb_loss_rate_over_sigma2,143432416623.55948,563916380162.8651
arb_loss_rate_over_sigma3,1.6161071038208626e+16,6.310210646116378e+16
markout_30s_bps_of_volume,0.6154872645450107,0.8754358113700602
IS_window_hours,336.0,336.0
IS_dex_upper,0.9400635591247389,0.9520442727021016
IS_dex_lower,0.9390421271751209,0.9507936178471416
alpha_dex,-0.0001826311338671853,-0.00018128820503573412
alpha_cex,0.04711539146308428,0.03936682282058961
