,pre,post
hours,720.0,720.0
n_blocks,3455363.0,5757458.0
n_headers,3455363.0,5757458.0
block_interval_ms,750.1382054904811,450.1987682758608
n_intervals,3455362.0,5757458.0
swaps,5301506.0,7154093.0
swaps_per_block,1.5342833734111294,1.2425784087352438
share_blocks_with_swap,0.680245172504307,0.6022444280097223
volume_quote_per_hour,7028742.3453609,9353754.648535488
arb_swaps_share,0.08959925726765187,0.1307580150272019
arb_strict_share,0.020767306497436765,0.032592531296420105
arb_volume_share,0.3742282832990572,0.29416192467705554
arb_swaps_per_hour,659.7377418020272,1299.2431808683623
median_arb_size_quote,383.5647018157643,295.83217726840604
fee_bps_of_volume,1.0000000000000002,0.9999999999999997
arb_loss_bps_of_volume,0.47844305163319206,0.17524103357210247
lp_net_bps_of_volume,0.5215569483668079,0.8247589664278976
arb_loss_over_fee,0.478443051633192,0.17524103357210252
arb_loss_per_hour_quote,336.28529368579086,163.9161632389217
arb_loss_per_arb_quote,1.6788137143124406,0.6647755961272509
mean_abs_dev_bps,0.5647268974627052,0.6468718233483286
share_sec_outside_band,0.13811182943216457,0.16752083333333334
dev_half_life_s,3.3834558652203204,1.496389166901618
outside_band_episode_mean_s,3.3338858984149455,2.6039195461578135
cex_vol_1s_bps,0.5107415600838424,1.0194580393263775
cex_vol_1m_per_s_bps,0.6476912895388381,1.1853378601796418
arb_loss_rate_over_sigma2,80162594025.22108,11666416250.049126
arb_loss_rate_over_sigma3,1237666698934573.5,98422708343096.73
markout_30s_bps_of_volume,-0.3775345068855894,-0.40531875294074077
IS_window_hours,336.0,336.0
IS_dex_upper,0.21095300054092594,0.4216247346619895
IS_dex_lower,0.001651688576584683,0.04083945491953814
alpha_dex,-0.05674906791346963,-0.025575976659917704
alpha_cex,0.00414578659911233,0.0080731716436233
