窗口,控制,log 越界幅度（严格）,_b_over,_se_over,log 套利者利润,_b_prof,_se_prof,log 单笔 LP 损失,log LP 损失（总）,_b_loss,_se_loss,log 套利笔数,n
±30 d,σ,-0.198*** (0.026),-0.1984777657038043,0.026261956173324857,-0.673*** (0.097),-0.6730137594176079,0.09673020502187071,-0.458*** (0.056),-0.350*** (0.074),-0.34954228697540507,0.07412750314135223,-0.066** (0.027),4304
±30 d,σ+L+vol,-0.268*** (0.023),-0.26818454541878806,0.023060258425574805,-0.462*** (0.067),-0.4615263191568077,0.06655673837741803,-0.258*** (0.029),-0.048*** (0.013),-0.04769060330636956,0.012859760417282063,-0.032 (0.025),4304
±30 d,σ+L+vol+趋势,-0.195*** (0.041),-0.1945275728600859,0.0412806797743007,-0.475*** (0.114),-0.4751201228458321,0.11411507412754089,-0.112** (0.044),+0.009 (0.024),0.008791323237930193,0.024452345615141317,-0.133*** (0.040),4304
±30 d,σ+L+vol+池别趋势,-0.195*** (0.042),-0.19499950941938493,0.041632483460595206,-0.475*** (0.114),-0.4749151322115831,0.11424796262123582,-0.114** (0.046),+0.009 (0.025),0.008821677258099753,0.024653368531633538,-0.131*** (0.042),4304
±14 d,σ,-0.180*** (0.034),-0.18006010384982754,0.034344664421301095,-0.432*** (0.115),-0.43216128409225546,0.11538028847116387,-0.210*** (0.051),-0.128** (0.060),-0.127840211753144,0.060204487903819284,-0.080** (0.036),2002
±14 d,σ+L+vol,-0.223*** (0.030),-0.22340377215105747,0.030386974149032835,-0.401*** (0.081),-0.4006705622687195,0.08128475590130632,-0.143*** (0.031),-0.043*** (0.014),-0.043130271059877934,0.014233524295230893,-0.099*** (0.030),2002
±14 d,σ+L+vol+趋势,-0.149*** (0.046),-0.14891568421263374,0.04644912436562756,-0.317** (0.138),-0.3166330493973361,0.13754048659789242,-0.067 (0.059),-0.026 (0.031),-0.026318757494793545,0.030919396813541083,-0.138** (0.065),2002
±14 d,σ+L+vol+池别趋势,-0.140*** (0.047),-0.14031357539403172,0.04676117974190355,-0.334** (0.139),-0.33389092063950004,0.1385535830348554,-0.055 (0.060),-0.031 (0.031),-0.030698871728839644,0.030844921237343018,-0.160** (0.066),2002
±7 d,σ,-0.109*** (0.034),-0.10869185264048993,0.03353581247905645,-0.641*** (0.168),-0.6412637240892678,0.16759085758042916,-0.286*** (0.071),-0.285*** (0.086),-0.2846962204302643,0.08553295656683445,-0.157*** (0.050),998
±7 d,σ+L+vol,-0.177*** (0.036),-0.17730422860189257,0.035761087379481964,-0.414*** (0.123),-0.41425015884308614,0.12348429239853123,-0.072* (0.042),-0.053** (0.025),-0.05275801656079904,0.02480863494715073,-0.179*** (0.044),998
±7 d,σ+L+vol+趋势,-0.147** (0.067),-0.146704016712855,0.0665055113826366,-0.175 (0.137),-0.17489917682652523,0.13728447734818158,-0.124 (0.090),+0.026 (0.041),0.02641084395823446,0.041127605937530495,-0.040 (0.075),998
±7 d,σ+L+vol+池别趋势,-0.147** (0.066),-0.14730633664788462,0.06621049934613457,-0.177 (0.137),-0.1772621622568675,0.13725406917004515,-0.124 (0.090),+0.027 (0.041),0.026874421338202586,0.041058005768738644,-0.036 (0.073),998
