窗口,控制,log 越界幅度（严格）,_b_over,_se_over,log 套利者利润,_b_prof,_se_prof,log 单笔 LP 损失,log LP 损失（总）,_b_loss,_se_loss,log 套利笔数,n
±30 d,σ,-0.201*** (0.021),-0.20079776908503405,0.020798259223102758,-0.606*** (0.072),-0.6064864560018376,0.07243716458516196,-0.029 (0.027),-0.112*** (0.035),-0.11205932113774912,0.034676412686808836,-0.168*** (0.035),4307
±30 d,σ+L+vol,-0.236*** (0.018),-0.23597009270065009,0.01831741872657848,-0.524*** (0.058),-0.5241010292940687,0.05834998235119844,+0.022 (0.023),-0.013 (0.010),-0.013213069999266695,0.01019230836699813,-0.133*** (0.027),4307
±30 d,σ+L+vol+趋势,-0.238*** (0.039),-0.2383721607387789,0.03883286455385292,-0.080 (0.112),-0.07960856960305901,0.11232212365444502,-0.108** (0.052),-0.017 (0.026),-0.016714875892171865,0.025567951458282775,+0.138*** (0.044),4307
±30 d,σ+L+vol+池别趋势,-0.254*** (0.037),-0.25399963379138507,0.036523427837612144,-0.151 (0.103),-0.15078363762697145,0.10302995483873892,-0.139*** (0.047),-0.026 (0.025),-0.02617001269249414,0.025324439917382646,+0.135*** (0.045),4307
±14 d,σ,-0.242*** (0.032),-0.24155321551565015,0.03173140185767347,-0.156* (0.094),-0.15575103073873847,0.09379454733874884,+0.019 (0.051),+0.037 (0.055),0.037105985883697054,0.05501456032938046,+0.021 (0.037),2006
±14 d,σ+L+vol,-0.226*** (0.029),-0.2256013518714333,0.02855068143248844,-0.206*** (0.076),-0.20615073262915107,0.07640681406489667,-0.018 (0.043),-0.018 (0.020),-0.018245404949275217,0.01953710729601883,+0.013 (0.034),2006
±14 d,σ+L+vol+趋势,-0.350*** (0.048),-0.3499660030842362,0.048295423102519795,-0.496*** (0.139),-0.4957969565591837,0.13897843895578377,-0.277*** (0.066),-0.038 (0.035),-0.038478340397005054,0.03518969729997052,+0.140** (0.063),2006
±14 d,σ+L+vol+池别趋势,-0.349*** (0.048),-0.34873418385908717,0.04791119524557977,-0.532*** (0.136),-0.532417147571112,0.13644927505574952,-0.284*** (0.066),-0.044 (0.034),-0.04430566211229182,0.034211284442978364,+0.132** (0.067),2006
±7 d,σ,-0.313*** (0.036),-0.31270205126281864,0.03556156050889185,-0.240* (0.124),-0.24018351784035125,0.12442241183361015,-0.076 (0.060),+0.085** (0.043),0.08541175982060212,0.043268565505873026,+0.090** (0.045),998
±7 d,σ+L+vol,-0.302*** (0.036),-0.3024061217524289,0.035730619851251186,-0.371*** (0.100),-0.3706157870495321,0.09971823110542634,-0.159*** (0.044),-0.032 (0.024),-0.032422029960472734,0.02397420308413997,+0.062 (0.049),998
±7 d,σ+L+vol+趋势,-0.273*** (0.060),-0.2729042993597495,0.059650715577249915,-0.557*** (0.157),-0.5568123014642106,0.15710128826753922,-0.279*** (0.069),-0.080*** (0.023),-0.07992666192660985,0.023452906490223992,+0.195** (0.083),998
±7 d,σ+L+vol+池别趋势,-0.275*** (0.062),-0.27498194654961183,0.06167452560552338,-0.554*** (0.157),-0.5540010615193739,0.15716413411150443,-0.285*** (0.070),-0.082*** (0.024),-0.08160413440641869,0.023535195651646145,+0.195** (0.083),998
