窗口,控制,log 越界幅度（严格）,_b_over,_se_over,log 套利者利润,_b_prof,_se_prof,log 单笔 LP 损失,log LP 损失（总）,_b_loss,_se_loss,log 套利笔数,n
±30 d,σ,-0.124*** (0.026),-0.12413389554324143,0.02613192756712424,-0.562*** (0.086),-0.5618665469928874,0.0856650386656763,-0.421*** (0.056),-0.314*** (0.071),-0.31362048288206573,0.07061344334816086,+0.008 (0.024),4308
±30 d,σ+L+vol,-0.193*** (0.021),-0.19336332158294783,0.02123767512343743,-0.304*** (0.048),-0.3044660790219569,0.04781844302576474,-0.212*** (0.029),-0.019* (0.011),-0.01894712522504414,0.01079607183156259,+0.044* (0.023),4308
±30 d,σ+L+vol+趋势,-0.132*** (0.037),-0.13208566066468075,0.03722593159470258,-0.283*** (0.079),-0.28331919311459947,0.0789631876554861,-0.068 (0.043),+0.019 (0.020),0.01916236310782994,0.020186380940136882,-0.069* (0.037),4308
±30 d,σ+L+vol+池别趋势,-0.132*** (0.037),-0.1317022325862134,0.03671026609003759,-0.283*** (0.079),-0.2830037288035604,0.07909587176570104,-0.069 (0.044),+0.019 (0.020),0.019189241153740322,0.02029162063934645,-0.067* (0.038),4308
±14 d,σ,-0.120*** (0.033),-0.12045920616551774,0.03300780103557744,-0.278*** (0.104),-0.27807957547213863,0.10360971296959973,-0.176*** (0.051),-0.104* (0.059),-0.10367689281513522,0.059378463549697565,-0.011 (0.033),2005
±14 d,σ+L+vol,-0.160*** (0.027),-0.15973921819268094,0.026847850017657916,-0.217*** (0.054),-0.21723632972910278,0.05354344162911901,-0.103*** (0.031),-0.017 (0.012),-0.01653139543121557,0.012433543108020691,-0.025 (0.027),2005
±14 d,σ+L+vol+趋势,-0.058 (0.045),-0.05781756110646304,0.04512056632379379,-0.236*** (0.082),-0.23585174697389957,0.08219117663306232,-0.017 (0.057),-0.000 (0.026),-0.00019379624954199027,0.026469377120416224,-0.082 (0.061),2005
±14 d,σ+L+vol+池别趋势,-0.050 (0.045),-0.050074541318433634,0.04526301828213378,-0.245*** (0.083),-0.24522643835881758,0.08255055557773817,-0.003 (0.058),-0.003 (0.027),-0.0030137214393043755,0.026592094321471013,-0.102* (0.062),2005
±7 d,σ,-0.035 (0.043),-0.03520356528637033,0.04347212098905547,-0.502*** (0.146),-0.5020574317548785,0.1457079140033222,-0.255*** (0.071),-0.260*** (0.085),-0.26031909732339875,0.08542221542741786,-0.089* (0.048),997
±7 d,σ+L+vol,-0.100*** (0.035),-0.09977673996657384,0.03490429815327644,-0.237*** (0.061),-0.23746847627440795,0.06132436975794118,-0.030 (0.039),-0.020 (0.022),-0.020174842253933765,0.021802558534504364,-0.099** (0.041),997
±7 d,σ+L+vol+趋势,-0.084 (0.069),-0.08394669713859743,0.06940901562029483,-0.141 (0.096),-0.1409007506291585,0.0955011054908208,-0.069 (0.086),+0.045 (0.037),0.045035001305296765,0.03696660951102949,+0.004 (0.076),997
±7 d,σ+L+vol+池别趋势,-0.083 (0.070),-0.08252256070086379,0.07030243684364022,-0.137 (0.096),-0.1366838764386505,0.09567479737120675,-0.069 (0.086),+0.046 (0.037),0.04615125940928982,0.037100765132577214,+0.007 (0.075),997
