,pre,post
hours,720.0,720.0
n_blocks,3455363.0,5757458.0
n_headers,3455363.0,5757458.0
block_interval_ms,750.1382054904811,450.1987682758608
n_intervals,3455362.0,5757458.0
swaps,180819.0,447991.0
swaps_per_block,0.05232995780761674,0.07781055458850068
share_blocks_with_swap,0.04277119364882937,0.06230041104945967
volume_quote_per_hour,984770.8744067489,2132308.023512954
arb_swaps_share,0.5402806121038165,0.5609599299985937
arb_strict_share,0.20606241600716738,0.19569812786417584
arb_volume_share,0.7209643030093992,0.6997151450411703
arb_swaps_per_hour,135.68477195236625,349.0347558868399
median_arb_size_quote,3811.3262310267387,2742.504430383682
fee_bps_of_volume,4.999999999999999,5.000000000000001
arb_loss_bps_of_volume,4.832677497359124,4.616775727117784
lp_net_bps_of_volume,0.16732250264087556,0.3832242728822161
arb_loss_over_fee,0.9665354994718249,0.9233551454235568
arb_loss_per_hour_quote,475.90800448001636,984.4387925693103
arb_loss_per_arb_quote,3.7493505358128414,3.4135550602601623
mean_abs_dev_bps,2.6468675554517356,2.8204510579281785
share_sec_outside_band,0.059229712425920907,0.0942511574074074
dev_half_life_s,36.78600689748347,11.487338109811287
outside_band_episode_mean_s,4.35983869593616,3.461993027803758
cex_vol_1s_bps,0.561804588390492,1.0198763343941357
cex_vol_1m_per_s_bps,0.6739712444934488,1.1577568404129164
arb_loss_rate_over_sigma2,104770803501.73578,73443608658.48705
arb_loss_rate_over_sigma3,1554529282335786.5,634361258727637.8
markout_30s_bps_of_volume,-0.42384843150036916,-0.29995913422861326
ref_kline_vs_tick_mean_abs_bps,0.38351282912925616,0.7540535303278125
ref_kline_vs_tick_rms_bps,0.9691523897758589,1.6206029174491452
IS_window_hours,336.0,336.0
IS_dex_upper,0.022140051213121584,0.045157624374533994
IS_dex_lower,2.3953654748173956e-06,1.2131749776458897e-05
alpha_dex,-0.00848171317080501,-0.009494628491480625
alpha_cex,-2.7420386876213982e-05,6.573205950517554e-05
