,pre,post
hours,720.0,720.0
n_blocks,3455363.0,5757458.0
n_headers,3455363.0,5757458.0
block_interval_ms,750.1382054904811,450.1987682758608
n_intervals,3455362.0,5757458.0
swaps,8987.0,10080.0
swaps_per_block,0.002600884480154473,0.0017507726500132525
share_blocks_with_swap,0.0023670450832517453,0.0016319702201909245
volume_quote_per_hour,8.747527960327458,8.920895361238042
arb_swaps_share,0.7363970179147658,0.7008928571428571
arb_strict_share,0.10670969177701124,0.11607142857142858
arb_volume_share,0.8362405106659984,0.7137961340760025
arb_swaps_per_hour,9.191670035527212,9.812500946421773
median_arb_size_quote,0.5543748757744442,0.410020341769041
fee_bps_of_volume,25.000000000000004,24.999999999999996
arb_loss_bps_of_volume,28.888562701487025,22.164594674832607
lp_net_bps_of_volume,-3.8885627014870194,2.8354053251673936
arb_loss_over_fee,1.1555425080594808,0.8865837869933042
arb_loss_per_hour_quote,0.025270350996493066,0.019772802981843557
arb_loss_per_arb_quote,0.002619538183533448,0.0021152979635713273
mean_abs_dev_bps,13.310143086888125,13.217547829316306
share_sec_outside_band,0.08731405290534613,0.08856211419753086
dev_half_life_s,212.47398164066198,128.58405066108654
outside_band_episode_mean_s,15.746953554766382,12.56585285745566
cex_vol_1s_bps,1.2145375987441887,1.5711014229460207
cex_vol_1m_per_s_bps,0.8341447326552625,0.8670855792537326
arb_loss_rate_over_sigma2,3631854.577890635,2629930.7451086533
arb_loss_rate_over_sigma3,43539861078.18075,30330694086.414555
markout_30s_bps_of_volume,-4.365855304915527,3.021594698920636
ref_kline_vs_tick_mean_abs_bps,1.6882822396048196,2.063875861274911
ref_kline_vs_tick_rms_bps,4.63347830796736,4.975577291694122
IS_window_hours,336.0,336.0
IS_dex_upper,0.21219334549272145,0.2440762301441458
IS_dex_lower,0.16653477355448262,0.1777239824893922
alpha_dex,-0.0005988436683751262,-0.000506305961099347
alpha_cex,0.001317486968181607,0.0012853869291210936
