,swaps,swaps,volume_quote,volume_quote,arb_share,arb_share,arb_loss,arb_loss,fee_income,fee_income,arb_loss_bps,arb_loss_bps
regime,post,pre,post,pre,post,pre,post,pre,post,pre,post,pre
hour,,,,,,,,,,,,
0,19614,6923,11874999.87162474,8044529.426571092,0.6214438666258795,0.6970966344070489,5586.692827456035,4155.498200053737,5937.4999358123705,4022.2647132855463,4.704583484506314,5.165619988073038
1,17077,6917,9244590.914074581,8403934.359629864,0.6721906658078117,0.702616741361862,4664.393604933787,4509.427550261576,4622.2954570372885,4201.967179814932,5.045538140397758,5.365852893763184
2,13057,7193,7329301.841034602,8885886.899746295,0.7015394041510301,0.6965104963158626,3628.504579285574,4588.112004787195,3664.6509205173015,4442.943449873149,4.950682422397513,5.163369798143832
3,13814,6792,6884233.056462181,8328311.87918004,0.6379035760822355,0.6612190812720848,2871.043600459604,3694.75495149273,3442.1165282310913,4164.15593959002,4.170462529249464,4.436379190756837
4,10606,4681,5215714.630231718,4611349.682624435,0.6717895530831605,0.6690878017517624,2372.4828914846967,2402.058555199072,2607.8573151158585,2305.6748413122177,4.548720663767019,5.209014107626729
5,10233,3947,4673740.862303883,3928494.397147518,0.6841590931300694,0.6782366354193058,2185.497639448695,2063.056758398231,2336.8704311519414,1964.2471985737593,4.676120700391959,5.251520174996858
6,12410,4417,6427102.772962244,4591513.843815206,0.6432715551974214,0.6588182023998189,3098.6943480079776,2295.409338315791,3213.551386481123,2295.7569219076026,4.821292668671289,4.999242986945841
7,12170,4852,5856853.196678075,4960849.071459519,0.6621199671322925,0.6248969497114591,2702.2653308488266,2379.1495020324755,2928.4265983390374,2480.4245357297596,4.613851910069239,4.795851411243422
8,12956,6090,7285720.223288392,6603124.19987784,0.674899660389009,0.6880131362889984,3646.591624215419,3505.1469092722978,3642.860111644196,3301.5620999389193,5.005121679747316,5.308315886799682
9,11097,5701,5635024.870367894,6368698.684006503,0.6268360818239164,0.6290124539554464,2553.0721799355374,2863.088954100355,2817.5124351839477,3184.3493420032514,4.530720340492223,4.495563530569178
10,8963,5854,4208076.156886171,5533195.035844714,0.6411915653241103,0.5491971301674069,2100.085478499993,2257.821736846825,2104.038078443086,2766.597517922358,4.990607109292392,4.0805027153758
11,10129,3754,5209957.707157427,3649476.7135281363,0.6562345739954586,0.6422482685135855,2515.8981851331923,1712.8527638293313,2604.9788535787134,1824.7383567640684,4.8290184422742195,4.693420175774813
12,11355,5133,5722952.387276374,5395267.547805598,0.6982826948480846,0.623222287161504,2774.1287074135303,2671.805549908703,2861.4761936381865,2697.633773902799,4.847373382978246,4.9521280015027225
13,12219,8166,6639874.823622283,11105307.222870393,0.7016940829855144,0.6811168258633358,3386.83734522081,6143.626933667329,3319.937411811142,5552.653611435197,5.100754811177558,5.532153960599194
14,30780,19409,23063422.619021513,27850009.977621052,0.6858674463937622,0.69421402442166,11673.724253527473,15576.613180279552,11531.711309510756,13925.004988810526,5.061574964983555,5.593036840129027
15,35506,19085,22138037.625301804,25598049.02828168,0.6793499690193207,0.7304165575058947,10967.333548258088,14407.142562252857,11069.018812650902,12799.024514140841,4.954067625092209,5.628218989007838
16,31226,13265,23128143.47016022,16110949.683948299,0.6719080253634792,0.7352431209950999,13753.062807526252,8498.572754974764,11564.071735080108,8055.47484197415,5.946462077801603,5.275029046513678
17,24691,10824,14256489.99856423,14735782.750651067,0.6964075979101697,0.7170177383592018,6832.11821713015,8120.849291418526,7128.244999282114,7367.891375325535,4.792286332623396,5.510972459918849
18,26863,8582,16550420.21050575,10219047.003748344,0.6586382756951942,0.7215101374970869,8157.078247232897,5253.742134054913,8275.210105252876,5109.523501874173,4.928623046111548,5.141127281367667
19,21387,7779,12879470.916511627,8770645.93740471,0.6949548791321831,0.7301709731327934,6456.014778722741,4490.073502115555,6439.735458255814,4385.322968702356,5.012639743179246,5.119433088692435
20,21087,6974,11391501.396136487,8023968.971322525,0.6600749276805615,0.7529394895325495,5708.064468814022,4171.095467233016,5695.750698068244,4011.9844856612626,5.01080961176018,5.1982946122304465
21,17332,4775,10829107.39740258,5755346.039488315,0.6627048234479576,0.709738219895288,3301.077115642577,2981.598333656236,5414.55369870129,2877.6730197441584,3.048337221620277,5.180571790469298
22,17918,6510,12663012.193017725,8045916.468307627,0.6650853889943074,0.670199692780338,4006.8227878206844,4809.906730673751,6331.506096508862,4022.958234153814,3.1641940533153807,5.978071919612487
23,17555,5282,8184908.300331482,6182016.022277795,0.6316149245229279,0.7145020825444908,3946.618034211676,3272.3716434925695,4092.4541501657413,3091.008011138897,4.821823152315392,5.2933729574625845
