,pre,post
hours,720.0,720.0
n_blocks,3455363.0,5757458.0
n_headers,3455363.0,5757458.0
block_interval_ms,750.1382054904811,450.1987682758608
n_intervals,3455362.0,5757458.0
swaps,182905.0,420045.0
swaps_per_block,0.05293365704268987,0.07295667636654926
share_blocks_with_swap,0.03958165900369947,0.0547708728400624
volume_quote_per_hour,307919.1001438719,343462.05735063297
arb_swaps_share,0.6925890489598425,0.668447428251735
arb_strict_share,0.32927476012137447,0.3331976335868776
arb_volume_share,0.8016439208209608,0.7391524936258721
arb_swaps_per_hour,175.94173115148325,389.9694820572417
median_arb_size_quote,963.7688753613793,393.85032096396736
fee_bps_of_volume,5.0,5.0
arb_loss_bps_of_volume,5.2694133906124625,4.807587246282536
lp_net_bps_of_volume,-0.2694133906124618,0.19241275371746336
arb_loss_over_fee,1.0538826781224924,0.9615174492565073
arb_loss_per_hour_quote,162.25530295234583,165.12238065008643
arb_loss_per_arb_quote,0.9558177357642271,0.5380856532095372
mean_abs_dev_bps,2.676856536509655,2.8536848469466665
share_sec_outside_band,0.07988859555007201,0.10767746913580246
dev_half_life_s,17.50841909543716,5.366347921945995
outside_band_episode_mean_s,3.634673781397553,2.6788370909998367
cex_vol_1s_bps,0.8150023957218299,1.539918749907267
cex_vol_1m_per_s_bps,0.9226555830592161,1.6101708016243603
arb_loss_rate_over_sigma2,19059858476.138126,6368865060.362678
arb_loss_rate_over_sigma3,206576092163687.3,39553971876385.34
markout_30s_bps_of_volume,-0.4982764177595624,-0.12566173348578497
ref_kline_vs_tick_mean_abs_bps,0.7394671780456917,1.4137086668497947
ref_kline_vs_tick_rms_bps,1.6000344037560195,3.0131794563036065
IS_window_hours,336.0,336.0
IS_dex_upper,0.018462179327155166,0.0546665186374908
IS_dex_lower,0.001339203879444148,0.0015899774375963782
alpha_dex,-0.015778943016076748,-0.01800096650281428
alpha_cex,-0.0010532905788565336,-0.001345636066179057
