,pre,post
hours,720.0,720.0
n_blocks,3455363.0,5757458.0
n_headers,3455363.0,5757458.0
block_interval_ms,750.1382054904811,450.1987682758608
n_intervals,3455362.0,5757458.0
swaps,401146.0,689195.0
swaps_per_block,0.11609373602715546,0.11970473775058368
share_blocks_with_swap,0.0941186208221828,0.094721837310841
volume_quote_per_hour,278914.13085827045,3759952.5613871315
arb_swaps_share,0.18302064584964078,0.21652072345272383
arb_strict_share,0.00022685007453645306,0.0002713310456402034
arb_volume_share,0.34332267645884956,0.254312882123759
arb_swaps_per_hour,101.96948181751841,207.25696443450659
median_arb_size_quote,39.13741885499914,162.92523603791182
fee_bps_of_volume,1.0000000000000002,0.9999999999999997
arb_loss_bps_of_volume,0.40477660092223,0.11595718238752008
lp_net_bps_of_volume,0.5952233990777702,0.8840428176124798
arb_loss_over_fee,0.4047766009222299,0.11595718238752012
arb_loss_per_hour_quote,11.289791383798876,43.59935049291909
arb_loss_per_arb_quote,0.2535393990731644,0.6923858065662389
mean_abs_dev_bps,0.7088147022237927,0.7371762707902372
share_sec_outside_band,0.29621149106711586,0.3132368827160494
dev_half_life_s,1.9893498463493222,2.152257548553641
outside_band_episode_mean_s,2.5059206360603943,2.591941106613375
cex_vol_1s_bps,0.6538806956716913,0.6645022950446768
cex_vol_1m_per_s_bps,0.08875180134067291,0.08936569819740132
arb_loss_rate_over_sigma2,143328172722.0348,545931701609.34076
arb_loss_rate_over_sigma3,1.614932548488464e+16,6.10896252836769e+16
markout_30s_bps_of_volume,0.6008670930434826,0.8850187129599367
ref_kline_vs_tick_mean_abs_bps,0.235557807070028,0.2619566492778334
ref_kline_vs_tick_rms_bps,0.48524305151304975,0.5117322033022604
IS_window_hours,336.0,336.0
IS_dex_upper,0.9400635591247389,0.9520442727021016
IS_dex_lower,0.9390421271751209,0.9507936178471416
alpha_dex,-0.0001826311338671853,-0.00018128820503573412
alpha_cex,0.04711539146308428,0.03936682282058961
