,pre,post
hours,720.0,720.0
n_blocks,3455363.0,5757458.0
n_headers,3455363.0,5757458.0
block_interval_ms,750.1382054904811,450.1987682758608
n_intervals,3455362.0,5757458.0
swaps,223388.0,396371.0
swaps_per_block,0.06464964751894374,0.0688447922676987
share_blocks_with_swap,0.057499892196565164,0.06127565324836065
volume_quote_per_hour,178330.3797042983,204215.63745595538
arb_swaps_share,0.34375615520976954,0.4032560404267719
arb_strict_share,0.1649417157591276,0.21299741908464545
arb_volume_share,0.6515818714196342,0.6585780285436776
arb_swaps_per_hour,106.65420575674979,221.99863252301625
median_arb_size_quote,732.9388572015424,381.4566175711406
fee_bps_of_volume,5.0,5.0
arb_loss_bps_of_volume,4.195171833340197,4.73771094327355
lp_net_bps_of_volume,0.8048281666598028,0.26228905672644953
arb_loss_over_fee,0.8390343666680394,0.94754218865471
arb_loss_per_hour_quote,74.81265859643347,96.75146603626636
arb_loss_per_arb_quote,2.0368659541984107,0.4354964401964615
mean_abs_dev_bps,2.6549086215353617,2.7090730713738873
share_sec_outside_band,0.057129805779957,0.06671489197530864
dev_half_life_s,43.49701763513555,12.298514953594411
outside_band_episode_mean_s,4.106775383420695,2.718305431109015
cex_vol_1s_bps,0.5107398328102098,1.0194580393263775
cex_vol_1m_per_s_bps,0.6370401013554373,1.1853378601796418
arb_loss_rate_over_sigma2,18434932203.81147,6886098681.655545
arb_loss_rate_over_sigma3,289384171649277.06,58093973988242.766
markout_30s_bps_of_volume,0.26397115407435795,-0.5831409760864155
ref_kline_vs_tick_mean_abs_bps,0.25839123881112047,0.6737912425963826
ref_kline_vs_tick_rms_bps,0.7889366339721919,1.7220771177979584
IS_window_hours,336.0,336.0
IS_dex_upper,0.01092143904083899,0.03366496765445859
IS_dex_lower,0.006732376071087725,0.0007361350941367613
alpha_dex,-0.009253235333872473,-0.010211235346181428
alpha_cex,-0.0014719177079029967,-0.000517195035543589
