hour,n_blocks,interval_ms,n_intervals,n_headers,gas_used,gas_limit
2025-12-15 02:00:00+00:00,2400,750.0,2399,6,21566318.5,100523924.83333333
2025-12-15 03:00:00+00:00,4799,750.1771202333819,4799,41,19021909.0,100907370.07317074
2025-12-15 04:00:00+00:00,4800,750.0,4800,12,19326905.583333332,100003576.41666667
2025-12-15 05:00:00+00:00,4799,750.0729318608044,4799,39,16759197.974358974,100405434.56410256
2025-12-15 06:00:00+00:00,4800,750.0,4800,14,21811004.07142857,100424279.42857143
2025-12-15 07:00:00+00:00,4800,750.0,4800,12,26113253.583333332,100774469.66666667
2025-12-15 08:00:00+00:00,4799,750.1667013961242,4799,41,25456725.43902439,100460391.14634146
2025-12-15 09:00:00+00:00,4800,750.0,4800,12,24179280.916666668,100269854.08333333
2025-12-15 10:00:00+00:00,4800,750.0,4800,12,30252635.583333332,100265538.75
2025-12-15 11:00:00+00:00,4799,750.1667013961242,4799,41,20805348.097560976,100336756.26829268
2025-12-15 12:00:00+00:00,4800,750.0,4800,12,28478707.25,100782488.25
2025-12-15 13:00:00+00:00,4800,750.0,4800,12,26696038.666666668,100544327.75
2025-12-15 14:00:00+00:00,4800,750.0,4800,12,27404348.083333332,100536309.16666667
2025-12-15 15:00:00+00:00,4800,750.0,4800,12,30516438.416666668,99757159.0
2025-12-15 16:00:00+00:00,4800,750.0,4800,12,24288255.666666668,100507776.25
2025-12-15 17:00:00+00:00,4798,750.354314297624,4798,70,16379010.4,100140147.37142856
2025-12-15 18:00:00+00:00,4800,750.0,4800,12,16433760.666666666,100000000.0
2025-12-15 19:00:00+00:00,4797,750.479466333125,4797,70,15551619.9,100134947.24285714
2025-12-15 20:00:00+00:00,4800,750.0,4800,12,14635845.75,100015910.25
2025-12-15 21:00:00+00:00,4799,750.1562825588665,4799,41,9879627.365853658,100261292.70731707
2025-12-15 22:00:00+00:00,4800,750.0,4800,12,13296990.083333334,100261724.08333333
2025-12-15 23:00:00+00:00,4800,750.0,4800,12,15032169.833333334,100520033.66666667
2025-12-16 00:00:00+00:00,4800,750.0,4800,12,16531674.333333334,100262089.33333333
2025-12-16 01:00:00+00:00,4800,750.0,4800,12,20276357.833333332,99757524.25
2025-12-16 02:00:00+00:00,4799,750.0625130235467,4799,64,16940378.1875,100346681.265625
2025-12-16 03:00:00+00:00,4800,750.03125,4800,41,14577292.43902439,100413850.0
2025-12-16 04:00:00+00:00,4800,750.0,4800,12,16598242.0,100770230.83333333
2025-12-16 05:00:00+00:00,4799,750.1562825588665,4799,41,17587893.17073171,100471263.97560975
