窗口,控制,log 越界幅度（严格）,log 套利者利润,log 单笔 LP 损失,log LP 损失（总）,log 套利笔数,n
±30 d,σ,-0.090*** (0.027),-0.434*** (0.079),-0.418*** (0.055),-0.298*** (0.070),+0.056** (0.025),4310
±30 d,σ+L+vol,-0.162*** (0.022),-0.176*** (0.041),-0.209*** (0.030),-0.004 (0.011),+0.100*** (0.023),4310
±30 d,σ+L+vol+趋势,-0.112*** (0.039),-0.133** (0.067),-0.063 (0.044),+0.028 (0.020),-0.017 (0.038),4310
±30 d,σ+L+vol+池别趋势,-0.111*** (0.038),-0.133** (0.067),-0.065 (0.045),+0.028 (0.020),-0.016 (0.038),4310
±14 d,σ,-0.093*** (0.034),-0.152 (0.095),-0.177*** (0.051),-0.093 (0.059),+0.039 (0.033),2006
±14 d,σ+L+vol,-0.131*** (0.028),-0.088* (0.048),-0.102*** (0.031),-0.004 (0.013),+0.028 (0.026),2006
±14 d,σ+L+vol+趋势,-0.017 (0.047),-0.071 (0.069),-0.002 (0.058),+0.017 (0.027),-0.035 (0.058),2006
±14 d,σ+L+vol+池别趋势,-0.007 (0.047),-0.076 (0.069),+0.011 (0.059),+0.015 (0.027),-0.054 (0.058),2006
±7 d,σ,+0.002 (0.045),-0.351*** (0.134),-0.247*** (0.071),-0.248*** (0.086),-0.043 (0.047),998
±7 d,σ+L+vol,-0.057 (0.035),-0.091* (0.055),-0.022 (0.039),-0.004 (0.022),-0.047 (0.039),998
±7 d,σ+L+vol+趋势,-0.043 (0.067),+0.009 (0.081),-0.050 (0.086),+0.066* (0.036),+0.057 (0.069),998
±7 d,σ+L+vol+池别趋势,-0.041 (0.068),+0.014 (0.083),-0.049 (0.086),+0.068* (0.037),+0.060 (0.068),998
