窗口,控制,log 越界幅度（严格）,_b_over,_se_over,log 套利者利润,_b_prof,_se_prof,log 单笔 LP 损失,log LP 损失（总）,_b_loss,_se_loss,log 套利笔数,n
±30 d,σ,-0.090*** (0.027),-0.09044449044719365,0.02721264650556575,-0.434*** (0.079),-0.434076643577686,0.07917588102910746,-0.418*** (0.055),-0.298*** (0.070),-0.29840351678711413,0.0696818993159936,+0.056** (0.025),4310
±30 d,σ+L+vol,-0.162*** (0.022),-0.16249691315125364,0.022014359928721503,-0.176*** (0.041),-0.17555407894343175,0.04137454594544388,-0.209*** (0.030),-0.004 (0.011),-0.003791373947318961,0.010828965158797292,+0.100*** (0.023),4310
±30 d,σ+L+vol+趋势,-0.112*** (0.039),-0.11193346439702188,0.03881195857641642,-0.133** (0.067),-0.13347739824155838,0.0673519853169612,-0.063 (0.044),+0.028 (0.020),0.02803781262476987,0.020321210662065645,-0.017 (0.038),4310
±30 d,σ+L+vol+池别趋势,-0.111*** (0.038),-0.11116801093415427,0.03786903901695551,-0.133** (0.067),-0.13330027541350606,0.06745396305280256,-0.065 (0.045),+0.028 (0.020),0.02811502416415679,0.020414891004148377,-0.016 (0.038),4310
±14 d,σ,-0.093*** (0.034),-0.09348871342301318,0.03438058476335571,-0.152 (0.095),-0.15224018116469565,0.09475519073136789,-0.177*** (0.051),-0.093 (0.059),-0.09318416709942262,0.0590285556390036,+0.039 (0.033),2006
±14 d,σ+L+vol,-0.131*** (0.028),-0.1314668984101553,0.028111883232235253,-0.088* (0.048),-0.08811425475849055,0.04784162889357297,-0.102*** (0.031),-0.004 (0.013),-0.004241776727083689,0.012531079367391416,+0.028 (0.026),2006
±14 d,σ+L+vol+趋势,-0.017 (0.047),-0.01664666858836962,0.04665123664319468,-0.071 (0.069),-0.07104811531156445,0.0687623438151708,-0.002 (0.058),+0.017 (0.027),0.016536753954426903,0.026595711111792077,-0.035 (0.058),2006
±14 d,σ+L+vol+池别趋势,-0.007 (0.047),-0.007346783313337003,0.04686325174463255,-0.076 (0.069),-0.07635587953990164,0.06913162868699163,+0.011 (0.059),+0.015 (0.027),0.014581222661588096,0.026604765510462668,-0.054 (0.058),2006
±7 d,σ,+0.002 (0.045),0.0015466839112539459,0.04521101821333524,-0.351*** (0.134),-0.35090322306526756,0.13391235827540113,-0.247*** (0.071),-0.248*** (0.086),-0.24763299828328575,0.08633145710393479,-0.043 (0.047),998
±7 d,σ+L+vol,-0.057 (0.035),-0.057241672537375825,0.03536440195694746,-0.091* (0.055),-0.09148835939200312,0.05485867142971979,-0.022 (0.039),-0.004 (0.022),-0.004155188881538092,0.022080519428243964,-0.047 (0.039),998
±7 d,σ+L+vol+趋势,-0.043 (0.067),-0.04278604370910778,0.06655664309258265,+0.009 (0.081),0.008555548755273555,0.08148667457700465,-0.050 (0.086),+0.066* (0.036),0.06615219254131673,0.036482137141702495,+0.057 (0.069),998
±7 d,σ+L+vol+池别趋势,-0.041 (0.068),-0.04103022466143302,0.06806954313349642,+0.014 (0.083),0.013754978261720778,0.08335210684497392,-0.049 (0.086),+0.068* (0.037),0.06768371748334598,0.036759924288813604,+0.060 (0.068),998
