,swaps,swaps,volume_quote,volume_quote,arb_share,arb_share,arb_loss,arb_loss,fee_income,fee_income,arb_loss_bps,arb_loss_bps
regime,post,pre,post,pre,post,pre,post,pre,post,pre,post,pre
hour,,,,,,,,,,,,
0,20915,6779,75124947.50760317,27366649.352466345,0.5788190294047334,0.5552441363032896,39097.08521584045,13929.547071201076,37562.4737538016,13683.324676233175,5.2042745469983265,5.089971699420233
1,18415,6271,62885983.60621163,24424955.94484366,0.6286179744773283,0.5849146866528464,32364.07724631335,12284.423774800227,31442.991803105822,12212.477972421832,5.146469116071288,5.0294558575830655
2,14455,6743,44736699.60460163,26136760.105599232,0.6334140435835351,0.5895002224529141,21538.17884085093,13549.928568691479,22368.349802300814,13068.380052799614,4.814431782230871,5.184241854746451
3,15073,6656,54626796.36503723,27987569.073049963,0.59676242287534,0.57421875,20369.422500849974,10568.19980910872,27313.398182518624,13993.784536524981,3.7288334400453707,3.776033488840996
4,12561,4502,42701920.45677588,13570430.632013576,0.6065599872621606,0.49333629498000886,14699.242955806629,6651.679488335736,21350.96022838794,6785.215316006788,3.4422908381101096,4.901597943873622
5,11682,4229,30059422.771937042,13612859.374540161,0.6200992980653998,0.4916055805154883,14623.544633924723,6446.640427665678,15029.71138596852,6806.429687270081,4.864878725341662,4.735698981598746
6,13867,4633,40002094.09752364,14022211.258063257,0.5950097353429004,0.4707532916037125,19361.739802489963,6779.2468712700165,20001.04704876182,7011.105629031629,4.840181555317267,4.834648934112809
7,13241,4890,39664028.7855108,17639268.9948297,0.5847745638546937,0.5016359918200409,18801.731972938956,6899.801409753465,19832.0143927554,8819.63449741485,4.740247662337114,3.91161414442735
8,14440,6580,45907131.68632983,26100942.849177577,0.6083102493074792,0.5183890577507598,19665.452939383165,9773.772265953277,22953.565843164906,13050.471424588788,4.283746820374561,3.7446050598364655
9,12359,5881,32039451.38980755,21291673.59348172,0.5469698195646897,0.5053562319333447,14744.61509584818,9018.3829445661,16019.725694903776,10645.836796740863,4.602018591535173,4.2356383611511905
10,11527,6156,27307838.766179364,18303941.867850397,0.525895723084931,0.406595191682911,12051.123555280925,7436.194500973839,13653.919383089684,9151.9709339252,4.41306383067055,4.062619164036462
11,11276,4189,28296371.071817998,13679206.556651419,0.5415040794608017,0.4497493435187396,13465.134370425514,5461.628723691558,14148.185535908999,6839.603278325709,4.758608210307301,3.9926502323600626
12,13519,5053,37875481.628729366,16245779.47724918,0.5691249352762778,0.4773401939441916,18171.970508075297,7190.6256980026965,18937.740814364686,8122.88973862459,4.7978189917699865,4.426150009036224
13,14337,8017,40555840.29172044,33875531.129408844,0.5799679151844876,0.5677934389422478,18956.417880215737,18149.810713517687,20277.920145860226,16937.765564704423,4.6741524140200665,5.35779369604069
14,31924,16929,126589558.16745736,79380023.41795596,0.6466608194461847,0.6556205328135153,66084.07747771661,46162.765841600856,63294.77908372868,39690.01170897799,5.220341901367421,5.815413482374802
15,36684,19569,139364205.05746606,93201243.09702533,0.6452949514774834,0.6618120496703971,72228.4895594466,49604.6276611731,69682.10252873303,46600.62154851267,5.182714566460132,5.322313953423687
16,31446,13392,119869849.66608608,53503843.50949862,0.6395089995547923,0.6464307048984468,64720.6758375153,27143.787463547535,59934.924833043035,26751.92175474931,5.399245599940571,5.073240665173644
17,27934,11062,112406003.488091,41730850.0653098,0.6277296484570773,0.5838003977580908,52023.57954355413,22096.909082249498,56203.001744045505,20865.4250326549,4.628185143960378,5.295101596940224
18,26176,8262,97117901.79096258,30231156.892923977,0.6068918092909535,0.5882352941176471,51581.0725688002,15313.162145327455,48558.950895481285,15115.578446461986,5.311180700734634,5.06535763734259
19,22142,7658,79616348.36533608,27402748.942298114,0.6552253635624605,0.5752154609558632,43704.796646981355,13688.646118760227,39808.17418266805,13701.374471149054,5.489424916404462,4.995355081924215
20,23586,7072,86790453.14800887,24832604.326764412,0.591198168404986,0.5666006787330317,38454.61227406794,11950.788698921398,43395.22657400446,12416.302163382208,4.430742193325,4.81253941055265
21,16203,5042,51872531.61926487,19779016.196101364,0.5906313645621182,0.5255850852836176,25526.760451250342,10634.744427852416,25936.265809632438,9889.50809805068,4.921055451585091,5.376781293069889
22,16717,6404,58696055.971460536,25642511.446795475,0.6049530418137226,0.5665209244222361,27567.2658419299,13683.402743210361,29348.027985730278,12821.255723397739,4.696612981174371,5.3362178551041906
23,17512,4850,61132803.18030666,19067830.357140157,0.610666971219735,0.5723711340206186,33187.72888305096,9325.514662010766,30566.401590153324,9533.915178570078,5.428792261523853,4.890705700304663
