,pre,post
hours,720.0,720.0
n_blocks,3455363.0,5757458.0
n_headers,3455363.0,5757458.0
block_interval_ms,750.1382054904811,450.1987682758608
n_intervals,3455362.0,5757458.0
swaps,180819.0,447991.0
swaps_per_block,0.05232995780761674,0.07781055458850068
share_blocks_with_swap,0.04277119364882937,0.06230041104945967
volume_quote_per_hour,984763.7060128311,2132277.592443137
arb_swaps_share,0.5717761960855884,0.6095814424843357
arb_strict_share,0.19090361079311355,0.16672656370328867
arb_volume_share,0.742516919345229,0.7371355367077057
arb_swaps_per_hour,143.5944970736004,379.287536582517
median_arb_size_quote,3649.5677436992846,2629.580293399126
fee_bps_of_volume,5.000000000000001,5.0
arb_loss_bps_of_volume,4.989132003668979,4.9046985140926305
lp_net_bps_of_volume,0.010867996331021246,0.09530148590736909
arb_loss_over_fee,0.9978264007337956,0.980939702818526
arb_loss_per_hour_quote,491.3116121720285,1045.8178739288865
arb_loss_per_arb_quote,3.7138717187897026,3.386331031491302
mean_abs_dev_bps,2.6468675554517356,2.8204510579281785
share_sec_outside_band,0.059229712425920907,0.0942511574074074
dev_half_life_s,36.78600689748347,11.487338109811287
outside_band_episode_mean_s,4.35983869593616,3.461993027803758
cex_vol_1s_bps,0.561804588390492,1.0198763343941357
cex_vol_1m_per_s_bps,0.6739712444934488,1.1577568404129164
arb_loss_rate_over_sigma2,108161896611.1718,78022767124.42363
arb_loss_rate_over_sigma3,1604844383122983.0,673913246728014.5
markout_30s_bps_of_volume,-0.4238515168217512,-0.2999634151334018
ref_kline_vs_tick_mean_abs_bps,0.5098314197361282,1.01376946220798
ref_kline_vs_tick_rms_bps,1.170223142761823,1.9719967518736674
IS_window_hours,336.0,336.0
IS_dex_upper,0.022140051213121584,0.045157624374533994
IS_dex_lower,2.3953654748173956e-06,1.2131749776458897e-05
alpha_dex,-0.00848171317080501,-0.009494628491480625
alpha_cex,-2.7420386876213982e-05,6.573205950517554e-05
