,pre,post
hours,720.0,720.0
n_blocks,3455363.0,5757458.0
n_headers,3455363.0,5757458.0
block_interval_ms,750.1382054904811,450.1987682758608
n_intervals,3455362.0,5757458.0
swaps,8987.0,10080.0
swaps_per_block,0.002600884480154473,0.0017507726500132525
share_blocks_with_swap,0.0023670450832517453,0.0016319702201909245
volume_quote_per_hour,8.747244930494897,8.920669204638935
arb_swaps_share,0.7491932791810393,0.7040674603174604
arb_strict_share,0.10337153666407033,0.11676587301587302
arb_volume_share,0.8531931888761135,0.7263053613573522
arb_swaps_per_hour,9.351392316289623,9.856945395152913
median_arb_size_quote,0.5555566935049359,0.4213370737695791
fee_bps_of_volume,25.00000000000001,24.999999999999996
arb_loss_bps_of_volume,29.48127739536053,22.569052447251345
lp_net_bps_of_volume,-4.481277395360524,2.430947552748652
arb_loss_over_fee,1.1792510958144207,0.9027620978900539
arb_loss_per_hour_quote,0.025787995424108118,0.020133105114407607
arb_loss_per_arb_quote,0.0026548391627500283,0.0021586815370772056
mean_abs_dev_bps,13.310143086888125,13.217547829316306
share_sec_outside_band,0.08731405290534613,0.08856211419753086
dev_half_life_s,212.47398164066198,128.58405066108654
outside_band_episode_mean_s,15.746953554766382,12.56585285745566
cex_vol_1s_bps,1.2145375987441887,1.5711014229460207
cex_vol_1m_per_s_bps,0.8341447326552625,0.8670855792537326
arb_loss_rate_over_sigma2,3706250.4295515083,2677853.624673504
arb_loss_rate_over_sigma3,44431742891.353096,30883383240.88182
markout_30s_bps_of_volume,-4.3659965685140385,3.0216713023194743
ref_kline_vs_tick_mean_abs_bps,1.9515678797358982,2.466304837559955
ref_kline_vs_tick_rms_bps,5.109180475217319,5.491931784862778
IS_window_hours,336.0,336.0
IS_dex_upper,0.21219334549272145,0.2440762301441458
IS_dex_lower,0.16653477355448262,0.1777239824893922
alpha_dex,-0.0005988436683751262,-0.000506305961099347
alpha_cex,0.001317486968181607,0.0012853869291210936
