,swaps,swaps,volume_quote,volume_quote,arb_share,arb_share,arb_loss,arb_loss,fee_income,fee_income,arb_loss_bps,arb_loss_bps
regime,post,pre,post,pre,post,pre,post,pre,post,pre,post,pre
hour,,,,,,,,,,,,
0,19614,6923,11874793.82805014,8044448.429955165,0.6508616294483532,0.7190524339159324,5977.566355431659,4386.183844093634,5937.396914025072,4022.2242149775825,5.033827485334274,5.4524357788916555
1,17077,6917,9244439.069478814,8403849.285339927,0.7125373309129238,0.733265866705219,5072.4233455004705,4691.437152294102,4622.2195347394045,4201.924642669963,5.486999597679695,5.582486064425342
2,13057,7193,7329144.813745318,8885830.258363415,0.7396798652064027,0.718615320450438,3897.4751767394573,4689.959139048631,3664.5724068726586,4442.915129181707,5.317776187789337,5.278020176712698
3,13814,6792,6884114.727210093,8328271.343618956,0.6671492688576807,0.6772673733804476,3093.451821741894,3798.9985784379533,3442.0573636050462,4164.1356718094785,4.493608756278774,4.5615691680707675
4,10606,4681,5215613.207938398,4611319.036561375,0.701489722798416,0.685750907925657,2534.677411183955,2455.463645251449,2607.806603969199,2305.6595182806873,4.859787929300551,5.324861771183088
5,10233,3947,4673687.061065719,3928473.1552704102,0.7171894849995114,0.6939447681783634,2272.512894240273,2107.487335263184,2336.843530532859,1964.236577635205,4.862355704496147,5.364647413807053
6,12410,4417,6426903.382458158,4591488.996608592,0.6763900080580177,0.6785148290695042,3368.984007431992,2364.8447493548406,3213.4516912290783,2295.7444983042956,5.242001951713525,5.150496388212155
7,12170,4852,5856754.893842188,4960841.887414375,0.6966310599835661,0.6442704039571311,2919.820373300404,2422.3780171755857,2928.3774469210944,2480.4209437071877,4.985389394339027,4.882997830108522
8,12956,6090,7285597.596509808,6603043.775746477,0.714418030256252,0.7055829228243021,3863.5471721592594,3634.951563264503,3642.7987982549053,3301.5218878732385,5.302992816965496,5.504963599690161
9,11097,5701,5634936.891034493,6368661.567168817,0.6702712444804902,0.6470794597439046,2733.151934016292,2944.859769628534,2817.4684455172464,3184.330783584408,4.850368312668937,4.623985335960738
10,8963,5854,4208003.378339257,5533177.229767766,0.6819145375432333,0.5606422958660745,2235.2722943670556,2321.3649606372433,2104.0016891696287,2766.588614883882,5.311954609811256,4.1953562379108424
11,10129,3754,5209887.297569593,3649464.9225201495,0.6970085891993286,0.6555673947789025,2656.3792276042445,1740.321686018396,2604.9436487847956,1824.7324612600746,5.098726855076966,4.768703694832642
12,11355,5133,5722857.647039883,5395245.371775571,0.732892998678996,0.6341320864991233,2952.9398686062455,2719.369454302296,2861.428823519941,2697.622685887785,5.159904458105188,5.040307283387472
13,12219,8166,6639823.745356021,11105204.20009337,0.7495703412717898,0.6873622336517267,3513.616565591242,6329.934730952781,3319.9118726780107,5552.602100046686,5.291731678945109,5.699971488052026
14,30780,19409,23063123.536683857,27849709.809480894,0.7083820662768031,0.6939048894842599,12272.427275267266,16185.175314532631,11531.561768341928,13924.854904740449,5.321233811086746,5.811613630897764
15,35506,19085,22137713.939153265,25597771.34040347,0.6996282318481384,0.7306785433586587,11597.55247851829,14917.119849507737,11068.856969576633,12798.885670201738,5.238821185599744,5.827507266604333
16,31226,13265,23128039.63924469,16110814.302013138,0.6939089220521361,0.7494157557482096,14508.030964196283,8888.005585939703,11564.019819622348,8055.40715100657,6.272918583025259,5.516794756196213
17,24691,10824,14256275.707258785,14735563.00048704,0.7260135271961443,0.7335550628233555,7268.957357165396,8454.82090119607,7128.137853629392,7367.781500243517,5.098777202705405,5.737697908737264
18,26863,8582,16550078.468932852,10218969.731367394,0.6861854595540334,0.741668608715917,8857.400083309585,5435.657519498368,8275.039234466427,5109.484865683698,5.351877998606679,5.31918350126185
19,21387,7779,12879286.03116401,8770509.591127621,0.7377378781502782,0.7527959892016969,7006.666084599122,4703.035538274572,6439.643015582006,4385.254795563809,5.440259706667817,5.362328710103952
20,21087,6974,11391338.631903525,8023923.918876246,0.7072603974012425,0.7748781187266992,6200.0078246542635,4286.938264336678,5695.669315951764,4011.9619594381234,5.442738579722324,5.3426955535454095
21,17332,4775,10828970.598855136,5755288.420550212,0.7012462497115163,0.738848167539267,3592.584418338317,3090.3415691336704,5414.485299427568,2877.644210275106,3.3175678016136945,5.3695685486397045
22,17918,6510,12662792.685362518,8045924.0784761775,0.7017524277263087,0.7026113671274962,4344.492396964222,4949.629060463775,6331.396342681258,4022.96203923809,3.4309117308587176,6.151722303351871
23,17555,5282,8184753.816623229,6181975.868665688,0.6716604955853034,0.7364634608102991,4227.077316605764,3378.0918878538805,4092.376908311614,3090.9879343328444,5.164574782958742,5.464421019461217
