,pre,post
hours,720.0,720.0
n_blocks,3455363.0,5757458.0
n_headers,3455363.0,5757458.0
block_interval_ms,750.1382054904811,450.1987682758608
n_intervals,3455362.0,5757458.0
swaps,182905.0,420045.0
swaps_per_block,0.05293365704268987,0.07295667636654926
share_blocks_with_swap,0.03958165900369947,0.0547708728400624
volume_quote_per_hour,307916.4594130342,343456.88117498887
arb_swaps_share,0.7074656242311582,0.7015653084788535
arb_strict_share,0.29324512725185203,0.2779749788713114
arb_volume_share,0.810360057879686,0.7671083814755845
arb_swaps_per_hour,179.72089920326167,409.2903172540815
median_arb_size_quote,955.6887585425767,393.28626125876843
fee_bps_of_volume,4.999999999999998,5.000000000000001
arb_loss_bps_of_volume,5.453157230488365,5.134359000305076
lp_net_bps_of_volume,-0.45315723048836604,-0.134359000305074
arb_loss_over_fee,1.0906314460976734,1.0268718000610149
arb_loss_per_hour_quote,167.91168670345647,176.34309290775147
arb_loss_per_arb_quote,0.9765796101378138,0.5521110345355688
mean_abs_dev_bps,2.676856536509655,2.8536848469466665
share_sec_outside_band,0.07988859555007201,0.10767746913580246
dev_half_life_s,17.50841909543716,5.366347921945995
outside_band_episode_mean_s,3.634673781397553,2.6788370909998367
cex_vol_1s_bps,0.8150023957218299,1.539918749907267
cex_vol_1m_per_s_bps,0.9226555830592161,1.6101708016243603
arb_loss_rate_over_sigma2,19724304394.522438,6801654376.801041
arb_loss_rate_over_sigma3,213777543394072.0,42241819128377.24
markout_30s_bps_of_volume,-0.49828069104168765,-0.12566362731071587
ref_kline_vs_tick_mean_abs_bps,0.9407146292892611,1.8126807242766207
ref_kline_vs_tick_rms_bps,1.917834350520268,3.7092890693413336
IS_window_hours,336.0,336.0
IS_dex_upper,0.018462179327155166,0.0546665186374908
IS_dex_lower,0.001339203879444148,0.0015899774375963782
alpha_dex,-0.015778943016076748,-0.01800096650281428
alpha_cex,-0.0010532905788565336,-0.001345636066179057
