,pre,post
hours,720.0,720.0
n_blocks,3455363.0,5757458.0
n_headers,3455363.0,5757458.0
block_interval_ms,750.1382054904811,450.1987682758608
n_intervals,3455362.0,5757458.0
swaps,401146.0,689195.0
swaps_per_block,0.11609373602715546,0.11970473775058368
share_blocks_with_swap,0.0941186208221828,0.094721837310841
volume_quote_per_hour,278914.14442270395,3759951.550669407
arb_swaps_share,0.18272399575217002,0.21704307198978517
arb_strict_share,0.0002393143643461483,0.00026262523668918084
arb_volume_share,0.3416654286216391,0.2555692399451074
arb_swaps_per_hour,101.80420397916427,207.75696448273192
median_arb_size_quote,39.39480997838337,165.19871859585697
fee_bps_of_volume,1.0000000000000002,1.0000000000000009
arb_loss_bps_of_volume,0.39643690070219073,0.12186716984368592
lp_net_bps_of_volume,0.6035630992978094,0.8781328301563148
arb_loss_over_fee,0.3964369007021906,0.12186716984368581
arb_loss_per_hour_quote,11.057185897693998,45.821465422945884
arb_loss_per_arb_quote,0.25630939591215895,0.6947880067963679
mean_abs_dev_bps,0.7088147022237927,0.7371762707902372
share_sec_outside_band,0.29621149106711586,0.3132368827160494
dev_half_life_s,1.9893498463493222,2.152257548553641
outside_band_episode_mean_s,2.5059206360603943,2.591941106613375
cex_vol_1s_bps,0.6538806956716913,0.6645022950446768
cex_vol_1m_per_s_bps,0.08875180134067291,0.08936569819740132
arb_loss_rate_over_sigma2,140375158077.6389,573756037779.6254
arb_loss_rate_over_sigma3,1.581659819374372e+16,6.420316176708499e+16
markout_30s_bps_of_volume,0.6008670638215091,0.8850189508630287
ref_kline_vs_tick_mean_abs_bps,0.298326768694431,0.324796756216046
ref_kline_vs_tick_rms_bps,0.5460848460149755,0.5698600251943563
IS_window_hours,336.0,336.0
IS_dex_upper,0.9400635591247389,0.9520442727021016
IS_dex_lower,0.9390421271751209,0.9507936178471416
alpha_dex,-0.0001826311338671853,-0.00018128820503573412
alpha_cex,0.04711539146308428,0.03936682282058961
