fork,window,spec,outcome,lag0,_b_lag0,_se_lag0,lag250,_b_lag250,_se_lag250,Δ (lag250 − lag0),share of prediction lag0 / lag250,elasticity lag0 / lag250
Fermi,±30 d,σ,overshoot (strict),-0.090*** (0.027),-0.09044449044719437,0.027212646505566682,-0.124*** (0.026),-0.12413389554324186,0.026131927567124142,-0.034,35% / 49%,0.18 / 0.24
Fermi,±30 d,σ,overshoot (all),-0.058** (0.028),-0.057791762837222246,0.028092573868568307,-0.098*** (0.029),-0.09838699761821891,0.02850818615605843,-0.041,,
Fermi,±30 d,σ,arb profit,-0.434*** (0.079),-0.4340766435776872,0.07917588102910647,-0.562*** (0.086),-0.5618665469928842,0.085665038665674,-0.128,,
Fermi,±30 d,σ,LP loss (total),-0.298*** (0.070),-0.29840351678709526,0.06968189931599288,-0.314*** (0.071),-0.31362048288204286,0.07061344334815887,-0.015,,
Fermi,±30 d,σ,loss per arb,-0.418*** (0.055),-0.41767785565890275,0.055121467863304366,-0.421*** (0.056),-0.4214593517192872,0.05574669851377844,-0.004,,
Fermi,±30 d,σ,arbs/h,+0.056** (0.025),0.05599450331380289,0.02495047579154544,+0.008 (0.024),0.00832860920591552,0.02435371751865187,-0.048,,
Fermi,±30 d,σ+L+vol,overshoot (strict),-0.162*** (0.022),-0.16249691315125592,0.022014359928705606,-0.193*** (0.021),-0.19336332158294933,0.021237675123451254,-0.031,64% / 76%,0.32 / 0.38
Fermi,±30 d,σ+L+vol,overshoot (all),-0.103*** (0.026),-0.10260294819578131,0.025636279108738395,-0.146*** (0.026),-0.14609290596130894,0.026425281975859343,-0.043,,
Fermi,±30 d,σ+L+vol,arb profit,-0.176*** (0.041),-0.1755540789434343,0.04137454594541082,-0.304*** (0.048),-0.30446607902195766,0.04781844302577224,-0.129,,
Fermi,±30 d,σ+L+vol,LP loss (total),-0.004 (0.011),-0.0037913739473105583,0.010828965158794763,-0.019* (0.011),-0.01894712522503293,0.010796071831553164,-0.015,,
Fermi,±30 d,σ+L+vol,loss per arb,-0.209*** (0.030),-0.20901781073381445,0.029558978370878126,-0.212*** (0.029),-0.21151001083486126,0.029123166481069107,-0.002,,
Fermi,±30 d,σ+L+vol,arbs/h,+0.100*** (0.023),0.10015797128631405,0.02341841916135318,+0.044* (0.023),0.04412076143668184,0.023028599201555727,-0.056,,
Fermi,±30 d,σ+L+vol+trend,overshoot (strict),-0.112*** (0.039),-0.1119334643970204,0.03881195857641669,-0.132*** (0.037),-0.13208566066468042,0.03722593159470532,-0.020,44% / 52%,0.22 / 0.26
Fermi,±30 d,σ+L+vol+trend,overshoot (all),-0.061 (0.039),-0.06071141626831479,0.03934160783402511,-0.105*** (0.041),-0.10533016324354037,0.04077403533463788,-0.045,,
Fermi,±30 d,σ+L+vol+trend,arb profit,-0.133** (0.067),-0.13347739824155974,0.06735198531696063,-0.283*** (0.079),-0.28331919311460063,0.0789631876554869,-0.150,,
Fermi,±30 d,σ+L+vol+trend,LP loss (total),+0.028 (0.020),0.02803781262477335,0.02032121066205831,+0.019 (0.020),0.01916236310783661,0.02018638094013999,-0.009,,
Fermi,±30 d,σ+L+vol+trend,loss per arb,-0.063 (0.044),-0.06347000164165867,0.04421314168424044,-0.068 (0.043),-0.06756881389682402,0.04338186753279862,-0.004,,
Fermi,±30 d,σ+L+vol+trend,arbs/h,-0.017 (0.038),-0.017307856485863804,0.037796031908358126,-0.069* (0.037),-0.06888584122178691,0.03720629355406526,-0.052,,
Fermi,±30 d,RD,overshoot (strict),-0.114*** (0.037),-0.11438597564486373,0.03705565047639398,-0.134*** (0.036),-0.1339368949102366,0.03554531762720727,-0.020,45% / 52%,0.22 / 0.26
