窗口,控制,log 越界幅度（严格）,_b_over,_se_over,log 套利者利润,_b_prof,_se_prof,log 单笔 LP 损失,log LP 损失（总）,_b_loss,_se_loss,log 套利笔数,n
±30 d,σ,-0.610*** (0.026),-0.6097699540947424,0.026037308837089924,+0.133*** (0.031),0.13332022390777437,0.030642695596603566,-0.218*** (0.029),+0.332*** (0.029),0.3323878213811032,0.029450112382255325,+0.505*** (0.037),4322
±30 d,σ+L+vol,-0.502*** (0.035),-0.5024144807315084,0.035075926622366096,-0.413*** (0.038),-0.41287600349412024,0.03842705803208783,-0.360*** (0.032),-0.030** (0.015),-0.030254957868771134,0.014745549015170622,+0.142*** (0.030),4322
±30 d,σ+L+vol+趋势,-0.324*** (0.045),-0.32445742076247247,0.04548708204185067,-0.361*** (0.066),-0.3613513656642886,0.06555610851592036,-0.201*** (0.051),-0.087*** (0.021),-0.0866186749706366,0.020977146692411172,+0.037 (0.044),4322
±30 d,σ+L+vol+池别趋势,-0.336*** (0.048),-0.33644001876050433,0.04778468634170247,-0.411*** (0.067),-0.4112284301814141,0.0666818519583952,-0.220*** (0.053),-0.094*** (0.021),-0.09366275949315427,0.0212878241796066,+0.026 (0.042),4322
±14 d,σ,-0.490*** (0.038),-0.48971991862344605,0.03781562101345882,+0.062 (0.048),0.06207057409702034,0.04798472460795812,-0.186*** (0.042),+0.197*** (0.033),0.19735330961384778,0.03300692642656659,+0.405*** (0.054),2015
±14 d,σ+L+vol,-0.391*** (0.040),-0.3909433295883718,0.03986940263943948,-0.391*** (0.059),-0.39108524950437346,0.058828338265146,-0.300*** (0.043),-0.058*** (0.021),-0.05816523876900403,0.021410041369764758,+0.111*** (0.028),2015
±14 d,σ+L+vol+趋势,-0.205*** (0.057),-0.20505571939218162,0.057131875606628975,-0.261*** (0.094),-0.2608528185155796,0.09388551599581463,-0.025 (0.061),-0.110*** (0.023),-0.10988719240403039,0.023080503886443667,-0.114*** (0.034),2015
±14 d,σ+L+vol+池别趋势,-0.204*** (0.057),-0.20383995534779722,0.0566444544844882,-0.259*** (0.095),-0.2586160570418048,0.09539486869459399,-0.024 (0.061),-0.110*** (0.021),-0.10950739656520489,0.020649944655201945,-0.114*** (0.033),2015
±7 d,σ,-0.345*** (0.049),-0.3453722596780668,0.048609740780293474,-0.032 (0.083),-0.032360223833454584,0.08290252900315896,-0.019 (0.042),+0.142*** (0.039),0.14193068139390042,0.038570819333176985,+0.127** (0.050),1007
±7 d,σ+L+vol,-0.272*** (0.052),-0.2716519100119237,0.052235938613462984,-0.325*** (0.066),-0.32475683314624915,0.06596300077016763,-0.150*** (0.055),-0.099*** (0.019),-0.09906637990601569,0.01901324489289307,-0.027 (0.027),1007
±7 d,σ+L+vol+趋势,-0.125* (0.070),-0.12492717221203847,0.06983240243522733,-0.146 (0.105),-0.14643666504455474,0.10508628426605827,-0.041 (0.091),-0.059** (0.028),-0.05856896954191102,0.028197345787591786,-0.040 (0.050),1007
±7 d,σ+L+vol+池别趋势,-0.137* (0.071),-0.13691739002080303,0.07069001018178597,-0.190* (0.111),-0.18991935724463596,0.11092056017842149,-0.053 (0.092),-0.069** (0.028),-0.06910257145560574,0.028415713458509878,-0.058 (0.050),1007
