,pre,post
hours,720.0,720.0
n_blocks,863799.0,1727278.0
n_headers,863799.0,1727278.0
block_interval_ms,3000.6969221970876,1500.6290243956098
n_intervals,863798.0,1727278.0
swaps,123986.0,129872.0
swaps_per_block,0.14353570680216116,0.07518882310780314
share_blocks_with_swap,0.11671928307395586,0.06425369859397272
volume_quote_per_hour,1140640.8033374953,939202.5469662967
arb_swaps_share,0.6513719290887681,0.6274331649624245
arb_strict_share,0.3301259819657058,0.23448472341998275
arb_volume_share,0.85286352539223,0.8339153571519894
arb_swaps_per_hour,112.16822865467384,113.174978168407
median_arb_size_quote,6336.285325472015,5232.364168851268
fee_bps_of_volume,5.000000000000001,5.0
arb_loss_bps_of_volume,5.571239379144877,5.014182227544441
lp_net_bps_of_volume,-0.5712393791448757,-0.014182227544441251
arb_loss_over_fee,1.114247875828975,1.0028364455088883
arb_loss_per_hour_quote,635.4782961013301,470.93327190628787
arb_loss_per_arb_quote,6.168459640277101,4.575017968417153
mean_abs_dev_bps,3.1319907813144496,3.028313963810243
share_sec_outside_band,0.15887612853394464,0.1406496370950474
dev_half_life_s,20.49176082415978,44.47065431260428
outside_band_episode_mean_s,6.924300511164918,8.911802092500244
cex_vol_1s_bps,0.774786179743373,0.5227359305271255
cex_vol_1m_per_s_bps,0.9391035342902808,0.6563437959513859
arb_loss_rate_over_sigma2,72056601056.08975,109319240550.21895
arb_loss_rate_over_sigma3,767291341423242.2,1665578942385798.2
markout_30s_bps_of_volume,-0.9197779048673254,-0.47363144630831494
IS_window_hours,336.0,336.0
IS_dex_upper,0.00018498944041414554,0.001045378340175308
IS_dex_lower,4.1556334906791596e-05,0.00040587542285732846
alpha_dex,-0.011928010223540064,-0.009437894018343329
alpha_cex,0.00024668234428892926,-0.0005020482297726482
